Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
PD_100P_cutadapt_1	3.15927839569	49.0	139.113807117	3345608.0	18.1818181818
PD_100P_cutadapt_2	3.84330236111	50.0	150.464446821	3345608.0	27.2727272727
PD_104P_cutadapt_1	2.80839554493	46.0	127.107235868	4934916.0	9.09090909091
PD_104P_cutadapt_2	3.00579042191	47.0	149.384204311	4934916.0	18.1818181818
PD_105P_cutadapt_1	5.92076763121	53.0	126.420864662	3313526.0	18.1818181818
PD_105P_cutadapt_2	6.18037840446	53.0	149.40533981	3313526.0	27.2727272727
PD_107P_cutadapt_1	34.9930909611	80.0	147.566684138	20987.0	54.5454545455
PD_107P_cutadapt_2	89.221899271	92.0	150.961071139	20987.0	54.5454545455
PD_108S_cutadapt_1	2.83000257944	48.0	131.170614216	5536895.0	9.09090909091
PD_108S_cutadapt_2	3.12118490781	48.0	150.381569273	5536895.0	18.1818181818
PD_109S_cutadapt_1	3.30278334332	46.0	130.001496372	5121720.0	9.09090909091
PD_109S_cutadapt_2	3.72931397893	47.0	149.479536171	5121720.0	18.1818181818
PD_10P_cutadapt_1	2.08243921718	50.0	126.302296383	2743096.0	18.1818181818
PD_10P_cutadapt_2	2.88439663431	51.0	150.449189164	2743096.0	27.2727272727
PD_110S_cutadapt_1	2.66720206982	46.0	128.064658456	4156703.0	9.09090909091
PD_110S_cutadapt_2	3.10990843291	47.0	150.407431563	4156703.0	18.1818181818
PD_111P_cutadapt_1	3.33840396676	49.0	130.79215616	4230224.0	9.09090909091
PD_111P_cutadapt_2	3.58757013548	49.0	149.425272042	4230224.0	18.1818181818
PD_112S_cutadapt_1	12.2924134302	62.0	133.675819659	30409.0	45.4545454545
PD_112S_cutadapt_2	54.115557894	74.0	150.715774935	30409.0	54.5454545455
PD_113P_cutadapt_1	6.17606672026	51.0	134.9330017	5209371.0	18.1818181818
PD_113P_cutadapt_2	6.33720272257	52.0	149.474234413	5209371.0	27.2727272727
PD_114P_cutadapt_1	3.32211389518	47.0	123.618653655	3550961.0	9.09090909091
PD_114P_cutadapt_2	3.721693138	48.0	150.368619931	3550961.0	18.1818181818
PD_115S_cutadapt_1	4.60481605007	47.0	136.563293469	3872003.0	9.09090909091
PD_115S_cutadapt_2	4.81215308539	48.0	150.395721284	3872003.0	18.1818181818
PD_116P_cutadapt_1	2.68395635528	46.0	130.088331389	5931323.0	9.09090909091
PD_116P_cutadapt_2	2.94515565721	47.0	150.375712299	5931323.0	18.1818181818
PD_117_cutadapt_1	3.1298312781	46.0	132.937818594	4281698.0	9.09090909091
PD_117_cutadapt_2	3.4484625636	47.0	150.403575638	4281698.0	18.1818181818
PD_118_cutadapt_1	2.57071328148	47.0	133.932154659	4347653.0	9.09090909091
PD_118_cutadapt_2	3.00167245771	48.0	150.505281355	4347653.0	18.1818181818
PD_119P_cutadapt_1	2.57784622363	48.0	126.81498829	4203815.0	9.09090909091
PD_119P_cutadapt_2	2.92594365875	49.0	150.395158207	4203815.0	18.1818181818
PD_11P_cutadapt_1	2.69312551145	48.0	127.31851416	4190652.0	9.09090909091
PD_11P_cutadapt_2	3.1381683903	49.0	150.42729246	4190652.0	18.1818181818
PD_120S_cutadapt_1	2.65884146908	48.0	127.16727215	3438576.0	9.09090909091
PD_120S_cutadapt_2	3.00463660766	49.0	150.397891744	3438576.0	18.1818181818
PD_121S_cutadapt_1	3.08809996111	50.0	132.586117388	5971657.0	9.09090909091
PD_121S_cutadapt_2	3.44138650546	51.0	150.435449323	5971657.0	18.1818181818
PD_122S_cutadapt_1	2.66950166456	49.0	127.85496427	4671704.0	9.09090909091
PD_122S_cutadapt_2	2.86212886563	50.0	150.362876586	4671704.0	18.1818181818
PD_123P_cutadapt_1	4.96305120561	46.0	132.773485731	5457303.0	9.09090909091
PD_123P_cutadapt_2	5.35616456617	47.0	150.406908871	5457303.0	18.1818181818
PD_126P_cutadapt_1	3.70728138891	51.0	127.156309427	5457873.0	18.1818181818
PD_126P_cutadapt_2	4.02048279977	51.0	149.418076969	5457873.0	27.2727272727
PD_127S_cutadapt_1	2.19193185238	49.0	133.384064468	5665804.0	9.09090909091
PD_127S_cutadapt_2	2.51769800829	50.0	150.453559107	5665804.0	18.1818181818
PD_128S_cutadapt_1	2.64143204881	46.0	130.25302652	5094217.0	9.09090909091
PD_128S_cutadapt_2	2.94343478907	47.0	150.405143322	5094217.0	18.1818181818
PD_129P_cutadapt_1	4.54194831605	53.0	125.491471227	3046628.0	18.1818181818
PD_129P_cutadapt_2	5.04309850682	53.0	149.468701791	3046628.0	27.2727272727
PD_12P_cutadapt_1	2.2994521904	49.0	125.269646834	3149197.0	9.09090909091
PD_12P_cutadapt_2	2.70862488555	49.0	150.381166691	3149197.0	18.1818181818
PD_130S_cutadapt_1	3.08379221048	45.0	133.72206588	3860843.0	9.09090909091
PD_130S_cutadapt_2	3.45269239441	46.0	149.467023135	3860843.0	18.1818181818
PD_131P_cutadapt_1	6.36507433093	47.0	124.680303365	4182684.0	9.09090909091
PD_131P_cutadapt_2	6.59980353059	48.0	149.447566204	4182684.0	18.1818181818
PD_134S_cutadapt_1	3.56432129601	46.0	130.177838516	6464134.0	9.09090909091
PD_134S_cutadapt_2	3.90401846179	47.0	150.414026689	6464134.0	18.1818181818
PD_137P_cutadapt_1	2.25436005062	45.0	133.728401166	5019646.0	9.09090909091
PD_137P_cutadapt_2	2.56170348678	46.0	150.426781689	5019646.0	18.1818181818
PD_138S_cutadapt_1	4.23722423861	44.0	126.032248767	3341213.0	9.09090909091
PD_138S_cutadapt_2	4.4203303554	46.0	150.413303791	3341213.0	18.1818181818
PD_13P_cutadapt_1	4.40228757323	48.0	128.032280207	4204372.0	9.09090909091
PD_13P_cutadapt_2	4.78533682463	48.0	150.395416248	4204372.0	18.1818181818
PD_140S_cutadapt_1	3.10565376552	47.0	133.0528244	6754549.0	9.09090909091
PD_140S_cutadapt_2	3.3413621944	48.0	150.417055972	6754549.0	18.1818181818
PD_141P_cutadapt_1	7.15102060563	46.0	134.025286065	6372759.0	9.09090909091
PD_141P_cutadapt_2	7.35644263458	47.0	149.488433189	6372759.0	18.1818181818
PD_142S_cutadapt_1	4.65428667411	44.0	137.102940753	4378538.0	9.09090909091
PD_142S_cutadapt_2	4.98227563509	45.0	150.498811932	4378538.0	18.1818181818
PD_145P_cutadapt_1	2.46015318176	48.0	133.453587436	6536980.0	9.09090909091
PD_145P_cutadapt_2	2.84799704369	48.0	149.464696542	6536980.0	18.1818181818
PD_146S_cutadapt_1	2.5070742793	47.0	132.18869965	4212790.0	9.09090909091
PD_146S_cutadapt_2	2.80062941765	48.0	149.500393326	4212790.0	18.1818181818
PD_147_cutadapt_1	2.7871529412	46.0	136.257040821	4927941.0	9.09090909091
PD_147_cutadapt_2	3.04133783203	47.0	149.484769805	4927941.0	18.1818181818
PD_148P_cutadapt_1	3.33581382939	47.0	132.656521726	5965338.0	9.09090909091
PD_148P_cutadapt_2	3.73432987264	48.0	150.474892118	5965338.0	18.1818181818
PD_149S_cutadapt_1	2.32465250451	49.0	133.785049863	4166343.0	9.09090909091
