Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_bmtagged_1	pass	0.0	pass	138.306555069	Sanger / Illumina 1.9	pass	437.6 Mbp	60-151	Conventional base calls	pass	fail	warn	3145001.0	pass	warn	pass	49.0	97.7337082936	PD_100P_bmtagged_1.fastq	fail	pass
PD_100P_bmtagged_2	fail	0.0	pass	147.191901052	Sanger / Illumina 1.9	pass	465.9 Mbp	60-151	Conventional base calls	pass	fail	warn	3145001.0	pass	warn	pass	50.0	97.6635359128	PD_100P_bmtagged_2.fastq	fail	pass
PD_104P_bmtagged_1	pass	0.0	pass	126.252395717	Sanger / Illumina 1.9	pass	600.4 Mbp	60-151	Conventional base calls	pass	pass	warn	4728543.0	pass	pass	pass	46.0	97.6743712434	PD_104P_bmtagged_1.fastq	fail	pass
PD_104P_bmtagged_2	fail	0.0	pass	144.350688574	Sanger / Illumina 1.9	pass	687 Mbp	60-151	Conventional base calls	pass	pass	warn	4728543.0	pass	pass	pass	47.0	97.7236339138	PD_104P_bmtagged_2.fastq	fail	pass
PD_105P_bmtagged_1	pass	0.0	pass	125.587579504	Sanger / Illumina 1.9	pass	402.1 Mbp	60-151	Conventional base calls	pass	fail	warn	3183319.0	pass	pass	pass	53.0	94.5545834192	PD_105P_bmtagged_1.fastq	fail	pass
PD_105P_bmtagged_2	fail	0.0	pass	143.02137863	Sanger / Illumina 1.9	pass	458.3 Mbp	60-151	Conventional base calls	pass	fail	warn	3183319.0	pass	pass	pass	53.0	94.5589512198	PD_105P_bmtagged_2.fastq	fail	pass
PD_107P_bmtagged_1	pass	0.0	pass	124.589060309	Sanger / Illumina 1.9	pass	89.3 kbp	60-151	Conventional base calls	pass	warn	warn	713.0	pass	fail	warn	45.0	98.316970547	PD_107P_bmtagged_1.fastq	fail	pass
PD_107P_bmtagged_2	fail	0.0	pass	139.035063114	Sanger / Illumina 1.9	pass	99.8 kbp	61-151	Conventional base calls	pass	warn	warn	713.0	pass	warn	warn	46.0	98.316970547	PD_107P_bmtagged_2.fastq	fail	pass
PD_108S_bmtagged_1	pass	0.0	pass	130.26324897	Sanger / Illumina 1.9	pass	690.7 Mbp	60-151	Conventional base calls	pass	warn	warn	5271542.0	pass	warn	pass	48.0	97.7398187085	PD_108S_bmtagged_1.fastq	fail	pass
PD_108S_bmtagged_2	fail	0.0	pass	145.020628499	Sanger / Illumina 1.9	pass	769.4 Mbp	60-151	Conventional base calls	pass	warn	warn	5271542.0	pass	pass	pass	48.0	97.6755946816	PD_108S_bmtagged_2.fastq	fail	pass
PD_109S_bmtagged_1	pass	0.0	pass	129.078547001	Sanger / Illumina 1.9	pass	633 Mbp	60-151	Conventional base calls	pass	pass	warn	4875654.0	pass	warn	pass	46.0	97.2349714795	PD_109S_bmtagged_1.fastq	fail	pass
PD_109S_bmtagged_2	fail	0.0	pass	144.565940487	Sanger / Illumina 1.9	pass	709.4 Mbp	60-151	Conventional base calls	pass	pass	warn	4875654.0	pass	warn	pass	47.0	97.1790140209	PD_109S_bmtagged_2.fastq	fail	pass
PD_10P_bmtagged_1	pass	0.0	pass	125.119370543	Sanger / Illumina 1.9	pass	325.9 Mbp	60-151	Conventional base calls	pass	fail	warn	2590170.0	pass	pass	pass	50.0	98.6972244459	PD_10P_bmtagged_1.fastq	fail	pass
PD_10P_bmtagged_2	fail	0.0	pass	143.822764529	Sanger / Illumina 1.9	pass	374.9 Mbp	60-151	Conventional base calls	pass	fail	warn	2590170.0	pass	pass	pass	51.0	98.6984373713	PD_10P_bmtagged_2.fastq	fail	pass
PD_110S_bmtagged_1	pass	0.0	pass	127.082067769	Sanger / Illumina 1.9	pass	505.1 Mbp	60-151	Conventional base calls	pass	pass	warn	3952124.0	pass	warn	pass	46.0	97.9790912957	PD_110S_bmtagged_1.fastq	fail	pass
PD_110S_bmtagged_2	fail	0.0	pass	143.479669666	Sanger / Illumina 1.9	pass	570.8 Mbp	60-151	Conventional base calls	pass	pass	warn	3952124.0	pass	warn	pass	47.0	97.9848182833	PD_110S_bmtagged_2.fastq	fail	pass
PD_111P_bmtagged_1	pass	0.0	pass	129.912273889	Sanger / Illumina 1.9	pass	527.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4040439.0	pass	pass	pass	49.0	97.2582279216	PD_111P_bmtagged_1.fastq	fail	pass
PD_111P_bmtagged_2	fail	0.0	pass	145.098031179	Sanger / Illumina 1.9	pass	590 Mbp	60-151	Conventional base calls	pass	pass	warn	4040439.0	pass	pass	pass	49.0	97.3280444041	PD_111P_bmtagged_2.fastq	fail	pass
PD_112S_bmtagged_1	pass	0.0	pass	126.295945597	Sanger / Illumina 1.9	pass	1.4 Mbp	60-151	Conventional base calls	pass	pass	warn	11617.0	pass	fail	pass	45.0	98.3472497202	PD_112S_bmtagged_1.fastq	fail	pass
PD_112S_bmtagged_2	fail	0.0	pass	141.664457261	Sanger / Illumina 1.9	pass	1.6 Mbp	61-151	Conventional base calls	pass	pass	warn	11617.0	pass	warn	pass	45.0	98.4591546871	PD_112S_bmtagged_2.fastq	fail	pass
PD_113P_bmtagged_1	pass	0.0	pass	134.193188651	Sanger / Illumina 1.9	pass	667.2 Mbp	60-151	Conventional base calls	pass	fail	warn	4942692.0	pass	pass	pass	51.0	94.367000276	PD_113P_bmtagged_1.fastq	fail	pass
PD_113P_bmtagged_2	fail	0.0	pass	145.782533486	Sanger / Illumina 1.9	pass	725.2 Mbp	60-151	Conventional base calls	pass	fail	warn	4942692.0	pass	pass	pass	51.0	94.4422442163	PD_113P_bmtagged_2.fastq	fail	pass
PD_114P_bmtagged_1	pass	0.0	pass	122.734487484	Sanger / Illumina 1.9	pass	419.6 Mbp	60-151	Conventional base calls	pass	pass	warn	3399497.0	pass	warn	pass	47.0	97.1433582921	PD_114P_bmtagged_1.fastq	fail	pass
PD_114P_bmtagged_2	fail	0.0	pass	143.583971982	Sanger / Illumina 1.9	pass	491.3 Mbp	60-151	Conventional base calls	pass	pass	warn	3399497.0	pass	warn	pass	48.0	97.0741972772	PD_114P_bmtagged_2.fastq	fail	pass
PD_115S_bmtagged_1	pass	0.0	pass	135.907579056	Sanger / Illumina 1.9	pass	506.1 Mbp	60-151	Conventional base calls	pass	warn	warn	3702018.0	pass	warn	pass	47.0	96.0628629611	PD_115S_bmtagged_1.fastq	fail	pass
PD_115S_bmtagged_2	fail	0.0	pass	146.1225564	Sanger / Illumina 1.9	pass	544.4 Mbp	60-151	Conventional base calls	pass	warn	warn	3702018.0	pass	warn	pass	47.0	96.1413174285	PD_115S_bmtagged_2.fastq	fail	pass
PD_116P_bmtagged_1	pass	0.0	pass	129.281126155	Sanger / Illumina 1.9	pass	737.1 Mbp	60-151	Conventional base calls	pass	warn	warn	5668633.0	pass	pass	pass	46.0	97.7460998401	PD_116P_bmtagged_1.fastq	fail	pass
PD_116P_bmtagged_2	fail	0.0	pass	144.914902411	Sanger / Illumina 1.9	pass	826.8 Mbp	60-151	Conventional base calls	pass	warn	warn	5668633.0	pass	pass	pass	47.0	97.7053268465	PD_116P_bmtagged_2.fastq	fail	pass
PD_117_bmtagged_1	pass	0.0	pass	132.080366934	Sanger / Illumina 1.9	pass	540.7 Mbp	60-151	Conventional base calls	pass	pass	warn	4069833.0	pass	warn	pass	46.0	97.5228355073	PD_117_bmtagged_1.fastq	fail	pass
PD_117_bmtagged_2	fail	0.0	pass	144.042943285	Sanger / Illumina 1.9	pass	590 Mbp	60-151	Conventional base calls	pass	pass	warn	4069833.0	pass	warn	pass	47.0	97.4780106231	PD_117_bmtagged_2.fastq	fail	pass
PD_118_bmtagged_1	pass	0.0	pass	132.984014701	Sanger / Illumina 1.9	pass	548.5 Mbp	60-151	Conventional base calls	pass	warn	warn	4100455.0	pass	warn	pass	47.0	98.1175615237	PD_118_bmtagged_1.fastq	fail	pass
PD_118_bmtagged_2	fail	0.0	pass	145.589580668	Sanger / Illumina 1.9	pass	600.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4100455.0	pass	warn	pass	48.0	98.1783861827	PD_118_bmtagged_2.fastq	fail	pass
PD_119P_bmtagged_1	pass	0.0	pass	125.907703874	Sanger / Illumina 1.9	pass	507.6 Mbp	60-151	Conventional base calls	pass	pass	warn	4008879.0	pass	pass	pass	48.0	97.9174447004	PD_119P_bmtagged_1.fastq	fail	pass
PD_119P_bmtagged_2	fail	0.0	pass	143.807206453	Sanger / Illumina 1.9	pass	580.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4008879.0	pass	pass	pass	49.0	97.9845339461	PD_119P_bmtagged_2.fastq	fail	pass
PD_11P_bmtagged_1	pass	0.0	pass	126.275000715	Sanger / Illumina 1.9	pass	506.2 Mbp	60-151	Conventional base calls	pass	warn	warn	3985866.0	pass	pass	pass	48.0	97.9091977682	PD_11P_bmtagged_1.fastq	fail	pass
PD_11P_bmtagged_2	fail	0.0	pass	143.918136234	Sanger / Illumina 1.9	pass	577.4 Mbp	60-151	Conventional base calls	pass	warn	warn	3985866.0	pass	pass	pass	48.0	97.9219475855	PD_11P_bmtagged_2.fastq	fail	pass
PD_120S_bmtagged_1	pass	0.0	pass	126.204273534	Sanger / Illumina 1.9	pass	415.7 Mbp	60-151	Conventional base calls	pass	warn	warn	3274854.0	pass	pass	pass	48.0	97.8644896621	PD_120S_bmtagged_1.fastq	fail	pass
PD_120S_bmtagged_2	fail	0.0	pass	143.497850591	Sanger / Illumina 1.9	pass	473 Mbp	60-151	Conventional base calls	pass	warn	warn	3274854.0	pass	pass	pass	49.0	97.9415012124	PD_120S_bmtagged_2.fastq	fail	pass
PD_121S_bmtagged_1	pass	0.0	pass	131.648264785	Sanger / Illumina 1.9	pass	749.9 Mbp	60-151	Conventional base calls	pass	warn	warn	5663044.0	pass	warn	pass	50.0	97.4352473658	PD_121S_bmtagged_1.fastq	fail	pass
PD_121S_bmtagged_2	fail	0.0	pass	145.545205723	Sanger / Illumina 1.9	pass	829.6 Mbp	60-151	Conventional base calls	pass	warn	warn	5663044.0	pass	pass	pass	51.0	97.3742727516	PD_121S_bmtagged_2.fastq	fail	pass
PD_122S_bmtagged_1	pass	0.0	pass	126.956936596	Sanger / Illumina 1.9	pass	571.7 Mbp	60-151	Conventional base calls	pass	warn	warn	4477816.0	pass	pass	pass	49.0	97.7909569964	PD_122S_bmtagged_1.fastq	fail	pass
