#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	7.52972
d__Bacteria	92.470281
d__Bacteria;p__Bacillota_A	82.62549
d__Bacteria;p__Actinomycetota	5.054392
d__Bacteria;p__Bacteroidota	3.0399510000000003
d__Bacteria;p__Pseudomonadota	0.664381
d__Bacteria;p__Bacillota	0.5725410000000001
d__Bacteria;p__Bacillota_C	0.354885
d__Bacteria;p__Bacillota_I	0.158641
d__Bacteria;p__Bacillota_A;c__Clostridia	82.62549
d__Bacteria;p__Actinomycetota;c__Actinomycetes	4.374309
d__Bacteria;p__Bacteroidota;c__Bacteroidia	3.0399510000000003
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.664381
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	0.680083
d__Bacteria;p__Bacillota;c__Bacilli	0.5725410000000001
d__Bacteria;p__Bacillota_C;c__Negativicutes	0.354885
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.158641
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	67.196933
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	4.374309
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	14.965817999999999
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	3.0399510000000003
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	0.664381
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales	0.680083
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales	0.5725410000000001
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381	0.32947
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales	0.354885
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales	0.158641
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	0.09328
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales	0.025795
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales	0.014194
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	67.00239
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae	4.374309
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	4.99703
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	8.991144999999998
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	2.004976
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae	0.664381
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.639021
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.8799440000000001
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.564865
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.5725410000000001
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381	0.32947
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae	0.354885
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae	0.194543
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	0.338622
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae	0.158641
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.090952
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	0.064079
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.115218
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae	0.09328
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae	0.025795
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.014194
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	33.999021
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium	4.374309
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	5.334097
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E	3.906329
