#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
UNCLASSIFIED	2.778215
d__Archaea	10.923293
d__Bacteria	86.29849600000003
d__Archaea;p__Methanobacteriota	10.923293
d__Bacteria;p__Bacillota_A	67.644225
d__Bacteria;p__Verrucomicrobiota	4.88576
d__Bacteria;p__Bacteroidota	8.038176
d__Bacteria;p__Bacillota_C	1.68304
d__Bacteria;p__Synergistota	0.746351
d__Bacteria;p__Actinomycetota	1.902264
d__Bacteria;p__Desulfobacterota	0.552173
d__Bacteria;p__Bacillota_I	0.496069
d__Bacteria;p__Bacillota_B	0.141389
d__Bacteria;p__Pseudomonadota	0.19211899999999998
d__Bacteria;p__Bacillota_G	0.013868
d__Bacteria;p__Cyanobacteriota	0.003062
d__Archaea;p__Methanobacteriota;c__Methanobacteria	10.923293
d__Bacteria;p__Bacillota_A;c__Clostridia	67.644225
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	4.88576
d__Bacteria;p__Bacteroidota;c__Bacteroidia	8.038176
d__Bacteria;p__Bacillota_C;c__Negativicutes	1.68304
d__Bacteria;p__Synergistota;c__Synergistia	0.746351
d__Bacteria;p__Actinomycetota;c__Coriobacteriia	1.902264
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.552173
d__Bacteria;p__Bacillota_I;c__Bacilli_A	0.496069
d__Bacteria;p__Bacillota_B;c__Dehalobacteriia	0.141389
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria	0.11688
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria	0.075239
d__Bacteria;p__Bacillota_G;c__DTU025	0.013868
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia	0.003062
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales	10.923293
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales	31.638018
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	20.986100000000004
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	4.88576
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	7.8358989999999995
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales	1.68304
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales	13.081114000000005
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales	0.746351
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales	1.902264
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77	0.8417539999999999
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales	0.552173
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__ML615J-28	0.294895
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales	0.830204
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales	0.202277
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1212	0.15648
d__Bacteria;p__Bacillota_B;c__Dehalobacteriia;o__UBA4068	0.141389
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32	0.11688
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381	0.110555
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales	0.120492
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RFN20	0.080682
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	0.064122
d__Bacteria;p__Bacillota_G;c__DTU025;o__DTUO25	0.013868
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales	0.011117
d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales	0.003062
d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	10.923293
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae	14.241647999999998
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138	9.558075
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae	10.658184
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	4.88576
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae	14.296588
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	4.7405729999999995
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	1.68304
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	13.064890000000005
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	2.853896
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae	0.746351
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	1.004491
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	2.375723
d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508	0.8417539999999999
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	0.552173
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382	0.395864
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.8917320000000001
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__ML615J-28;f__CAG-313	0.294895
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae	0.819474
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820	0.202277
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae	0.160371
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Feifaniaceae	0.157004
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1212;f__UBA1255	0.15648
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1750	0.136299
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae	0.120248
d__Bacteria;p__Bacillota_B;c__Dehalobacteriia;o__UBA4068;f__UBA4068	0.141389
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239	0.11688
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381	0.110555
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__QAND01	0.133484
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae	0.10499
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-314	0.09496
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0.092325
