Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_1_bbduk_filt	pass	0.0	pass	145.834870364	Sanger / Illumina 1.9	pass	383.5 Mbp	60-151	Conventional base calls	pass	fail	warn	2614891.0	pass	pass	pass	49.0	96.8258951258	PD_100P_1_bbduk_filt.fastq.gz	fail	pass
PD_100P_2_bbduk_filt	pass	0.0	pass	144.822025851	Sanger / Illumina 1.9	pass	380.8 Mbp	60-151	Conventional base calls	pass	fail	warn	2614891.0	pass	pass	warn	49.0	96.6327649539	PD_100P_2_bbduk_filt.fastq.gz	fail	pass
PD_104P_1_bbduk_filt	pass	0.0	pass	144.54629757	Sanger / Illumina 1.9	pass	428 Mbp	60-151	Conventional base calls	pass	warn	warn	2945241.0	pass	pass	pass	46.0	97.397875002	PD_104P_1_bbduk_filt.fastq.gz	fail	pass
PD_104P_2_bbduk_filt	pass	0.0	pass	143.956483018	Sanger / Illumina 1.9	pass	426.3 Mbp	60-151	Conventional base calls	pass	warn	warn	2945241.0	pass	pass	warn	46.0	97.2419692626	PD_104P_2_bbduk_filt.fastq.gz	fail	pass
PD_105P_1_bbduk_filt	pass	0.0	pass	144.693665318	Sanger / Illumina 1.9	pass	287.3 Mbp	60-151	Conventional base calls	pass	fail	warn	1975111.0	pass	pass	pass	53.0	94.9858870593	PD_105P_1_bbduk_filt.fastq.gz	fail	pass
PD_105P_2_bbduk_filt	pass	0.0	pass	144.148425076	Sanger / Illumina 1.9	pass	286.2 Mbp	60-151	Conventional base calls	pass	fail	warn	1975111.0	pass	pass	warn	53.0	94.8519969797	PD_105P_2_bbduk_filt.fastq.gz	fail	pass
PD_107P_1_bbduk_filt	fail	0.0	fail	105.456256614	Sanger / Illumina 1.9	pass	8.4 Mbp	60-151	Conventional base calls	pass	fail	warn	79372.0	pass	fail	fail	91.0	2.98215995565	PD_107P_1_bbduk_filt.fastq.gz	fail	pass
PD_107P_2_bbduk_filt	fail	0.0	fail	134.451796603	Sanger / Illumina 1.9	pass	10.7 Mbp	60-151	Conventional base calls	pass	fail	warn	79372.0	pass	fail	fail	99.0	0.63498462934	PD_107P_2_bbduk_filt.fastq.gz	fail	pass
PD_108S_1_bbduk_filt	pass	0.0	pass	145.189632416	Sanger / Illumina 1.9	pass	538.5 Mbp	60-151	Conventional base calls	pass	warn	warn	3688304.0	pass	pass	pass	47.0	97.1529983259	PD_108S_1_bbduk_filt.fastq.gz	fail	pass
PD_108S_2_bbduk_filt	pass	0.0	pass	144.523485049	Sanger / Illumina 1.9	pass	536 Mbp	60-151	Conventional base calls	pass	warn	warn	3688304.0	pass	pass	warn	47.0	96.9754088784	PD_108S_2_bbduk_filt.fastq.gz	fail	pass
