Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
PD_100P_1_bbduk_filt	39.2458087163	39.5965445596	39.5586263443	39.5617775272	39.5743700215	39.5419770843	39.2506257431	39.2402788491	39.2732102409	39.1789455086	39.4761797719	39.5478707143	39.5195452506	39.5255028221	39.5558006816	39.5687847792	39.4686086724	39.4687720444	39.3014185295	39.2512096103	39.311635182	39.3743589813	39.5567731243	39.5402738113	39.5327413667	39.5183220901	39.5166144254	39.4984169571	39.4946726922	39.4967738578	39.4848065147	39.4673840539	39.4555761695	39.4436975121	39.4353702515	39.4753436302	39.6155875158	39.4263603789
PD_100P_2_bbduk_filt	38.342979497	39.2225021999	39.3981546458	39.4465543688	39.5024435053	39.5347936109	39.4220225623	39.4073665021	39.4319916203	39.4529179228	39.4790063525	39.4858422779	39.456364032	39.467798849	39.4806712785	39.4738203619	39.4971577783	39.5052804878	39.5201742635	39.524306448	39.5300817051	39.5267658347	39.5184779164	39.4965620097	39.4774018695	39.4648785773	39.4465124767	39.4022954984	39.3563839606	39.3246389329	39.2785240804	39.2212367357	39.2051041258	39.1634092788	39.1736105223	39.219486569	39.4366659244	39.2879058664
PD_104P_1_bbduk_filt	39.2768646097	39.5892818279	39.5497332816	39.570018209	39.5702029138	39.5395853854	39.2476187857	39.2412206675	39.2754861147	39.1913881411	39.4716471759	39.5366417892	39.5073228982	39.5128776219	39.5422902234	39.557726108	39.4541827986	39.4620080326	39.3062804708	39.2488998355	39.3037657334	39.3638523023	39.5505305835	39.5359899213	39.5324314478	39.5189211514	39.5180778157	39.5036879325	39.4991855601	39.4993014478	39.4925951183	39.4760489758	39.4708006274	39.4601029414	39.4564619957	39.4948133227	39.6261275473	39.4400968481
PD_104P_2_bbduk_filt	38.8182590151	39.4936536603	39.5885810363	39.5983323606	39.637022573	39.6567588187	39.5560444799	39.532942805	39.5524848391	39.5559744007	39.5803823185	39.5886804509	39.5694681692	39.5652772727	39.5705818301	39.5548229839	39.5713958892	39.5764342544	39.58474461	39.5871096541	39.5898772225	39.5859312394	39.5733090506	39.5522054387	39.5298778677	39.5209751079	39.5030158203	39.4615506962	39.4162810441	39.3900225809	39.3493855914	39.2994415243	39.2908025392	39.2523622299	39.2544307575	39.2889950911	39.4789467418	39.308117059
PD_105P_1_bbduk_filt	39.3416471277	39.6475823384	39.6080665846	39.610999078	39.6276867477	39.6012213997	39.3457663898	39.3365537431	39.3505600445	39.2655408228	39.5405054197	39.6066226151	39.581725584	39.5853964663	39.6085457476	39.6200497086	39.5245468229	39.5239258958	39.3630616203	39.3165085732	39.3792159909	39.4596023583	39.5979853131	39.5780676645	39.5713559039	39.5575691835	39.5536618906	39.5369236244	39.5299466334	39.5304451429	39.5189073848	39.5011396543	39.4892209261	39.4778873277	39.4697420576	39.5021599923	39.6309359458	39.4149055889
PD_105P_2_bbduk_filt	38.9495273937	39.5069522675	39.6353420137	39.6510251829	39.6897794605	39.7043042138	39.6087207251	39.5948440366	39.6128561888	39.6200217608	39.6319331926	39.6356097455	39.6210161353	39.6134710404	39.6140425525	39.5980268451	39.6086713101	39.6102963327	39.615685802	39.617860859	39.6197218581	39.6161250351	39.6055011534	39.581239325	39.5587583894	39.5454429678	39.5318736412	39.492176274	39.4480146306	39.4212543255	39.3818390236	39.3354665274	39.3242110879	39.2807889501	39.2809673406	39.310704415	39.4891975302	39.2964941036
PD_107P_1_bbduk_filt	32.9391725042	34.1734616741	35.2771254347	36.1546137177	36.6900166305	37.080481782	37.0712593862	37.4276067127	37.7851635337	38.2470795747	38.9818878194	39.4341581414	39.6407700449	39.4669354432	39.6923751449	39.594254901	35.6502847352	37.1027767979	35.3953132087	34.423046914	33.8604541401	36.4374652482	39.6735619786	39.8886046848	39.9280016235	39.9448808308	39.9503744795	39.9558086412	39.9510453758	39.9478596068	39.9486252741	39.9387508851	39.9422544163	39.9464774018	39.9503680221	39.9538836807	39.9637788793	39.9724738304
PD_107P_2_bbduk_filt	38.7316434007	39.5631708915	39.6788792017	39.7093181475	39.7173814443	39.7373381041	39.6293403215	39.5934586504	39.622889684	39.5342236557	39.4411732097	39.6029229451	39.5776646676	39.4529557023	38.4698483092	38.7313208688	39.4579851837	39.669999496	39.7593408255	39.7760164405	39.6862731405	39.4874237362	39.3482170729	39.3975604075	39.4681147838	39.5139907596	39.4286811445	39.3192198562	39.0910928116	39.0936078449	39.2851543112	39.3331758284	39.3949293738	39.4716774777	39.4599089031	39.461731865	39.509272717	39.5066539824
PD_108S_1_bbduk_filt	39.3043046343	39.6154590294	39.5810497182	39.5909664713	39.5978769646	39.5688207913	39.2981251003	39.2895488007	39.3187730729	39.2338920002	39.5047516691	39.5674360899	39.5381981529	39.5440089537	39.5708091307	39.5841524994	39.486051909	39.4898366295	39.3330612661	39.2813691224	39.338021247	39.3967736915	39.5731113312	39.5580346203	39.5518612805	39.5397418618	39.5387706904	39.5239205903	39.5207490601	39.522510149	39.5144090013	39.4989560654	39.4915132131	39.4808858099	39.4761654421	39.5105303415	39.6381819193	39.4432814102
PD_108S_2_bbduk_filt	38.7994568777	39.4665211978	39.5881467471	39.5867542372	39.6327894881	39.6545317306	39.5545312968	39.5298099072	39.5591198556	39.5594165774	39.5804636494	39.5873257736	39.5692932036	39.5673267713	39.5722818943	39.5602618439	39.5781874813	39.5823955943	39.5918828817	39.5926662208	39.5971803652	39.5936860436	39.5815422906	39.5597115347	39.5376339339	39.5270763689	39.5104452606	39.4694972948	39.42571228	39.3987543044	39.3535913928	39.3055144502	39.2907812805	39.2501983378	39.2535974429	39.2928892568	39.4815126338	39.2994129329
PD_109S_1_bbduk_filt	39.2619296542	39.5903015861	39.5581907554	39.5663490342	39.5755518822	39.5416565791	39.2551762242	39.2516036525	39.2907798332	39.1984960138	39.479935597	39.5448023766	39.5158448392	39.5234252198	39.5533235949	39.5685092613	39.4680311352	39.4772576794	39.3209117856	39.2661007541	39.3148513524	39.3703308975	39.5639861151	39.552432182	39.5458147978	39.5341840587	39.5315662437	39.5175621382	39.512132848	39.5140982878	39.5071001378	39.4929557476	39.4829345417	39.472440455	39.4667084249	39.5006501038	39.6340444178	39.4489327676
PD_109S_2_bbduk_filt	38.3704478802	39.3378833752	39.4931469793	39.5366610237	39.5819305247	39.5998671318	39.5002957497	39.4771145348	39.5088094722	39.5137963229	39.5368631672	39.5427362091	39.5165965905	39.5199464658	39.5312643247	39.5210483412	39.5413978548	39.5506599435	39.5612204896	39.5657111234	39.5711985697	39.5670220393	39.5559554011	39.5338432571	39.5122480957	39.504034615	39.4854276993	39.4418547881	39.4004078741	39.3722008931	39.3269745319	39.2768791718	39.2614001327	39.2195902499	39.2212390398	39.2610462242	39.4650383885	39.2977343008
PD_10P_1_bbduk_filt	39.0494798027	39.4321203536	39.4130513359	39.4315537537	39.4570019049	39.4340546085	39.1444683241	39.1393884629	39.1752014849	39.0963327309	39.4120612514	39.4967825917	39.4739598496	39.4812758267	39.5158887315	39.5263249157	39.3806867582	39.3440013677	39.1301421384	39.0474882093	39.109566963	39.2587416916	39.5105923719	39.4956759926	39.4891216165	39.4750900084	39.4772502148	39.4614232719	39.4558424321	39.4569211535	39.4504855108	39.4328846928	39.4245122312	39.4142103969	39.4120160189	39.4538232684	39.6007515461	39.4115970435
PD_10P_2_bbduk_filt	38.5206564744	39.3065989352	39.4346798222	39.4745078884	39.5280613491	39.5536560348	39.4423557857	39.4144629512	39.4476407952	39.4567376545	39.4797968055	39.4907004347	39.4609090021	39.4681458506	39.4707175304	39.4560484541	39.4879573096	39.5023411322	39.5187188004	39.5245062984	39.5279106089	39.5200567597	39.5088417173	39.4877864581	39.4678826039	39.456514911	39.4363108298	39.3899080092	39.3392433696	39.310654006	39.274396585	39.2245025995	39.2139993408	39.1754617063	39.1792622234	39.2255828131	39.4343815533	39.2890071632
PD_110S_1_bbduk_filt	39.2559592836	39.573526838	39.5416197776	39.5528334004	39.5567687709	39.5265144413	39.2429214201	39.2350428833	39.2690891387	39.188288375	39.477402141	39.5484171789	39.5258926403	39.5325918133	39.5613243831	39.5738502119	39.4467814041	39.4780782015	39.3164994381	39.2503120534	39.3031070196	39.371859716	39.5683042401	39.5588270821	39.5527131691	39.5383251839	39.537574234	39.5221273721	39.5158420806	39.5163502992	39.5062094786	39.4897240081	39.4809228464	39.4718719218	39.4670275911	39.4984840593	39.6327395131	39.4474081717
PD_110S_2_bbduk_filt	38.6653793037	39.323615224	39.5000832212	39.5218369012	39.5661425613	39.6003509714	39.4971925014	39.4694952272	39.4972221259	39.4989415896	39.5245367774	39.5354170475	39.5095125185	39.5139362241	39.5226439328	39.5118721815	39.5316881125	39.5411579484	39.5512096703	39.5564858257	39.5623892757	39.5587174985	39.5491620603	39.5271327405	39.5095610798	39.5013288882	39.482355152	39.4399182251	39.3966372367	39.3679602503	39.328155965	39.277814848	39.2651604152	39.2243481082	39.2283169309	39.267637728	39.4635185056	39.3049643176
PD_111P_1_bbduk_filt	39.3019376275	39.6057199808	39.5695232162	39.5765784203	39.5890832803	39.5564716643	39.290459973	39.2839888662	39.3133102596	39.2321647672	39.5108036049	39.5811427229	39.5544235834	39.5585137027	39.5878376857	39.5996335725	39.5061860717	39.5042185559	39.3514661956	39.2998410667	39.3585188479	39.4178850405	39.5851161329	39.5675776445	39.5617250966	39.5495769261	39.5463381806	39.5328031102	39.5257197055	39.5270446115	39.5197588797	39.505071943	39.4902263498	39.4779191037	39.470566663	39.50399657	39.6317549556	39.4340833022
PD_111P_2_bbduk_filt	38.8270119075	39.4511385041	39.5819360018	39.6088044745	39.6464341475	39.6616609582	39.5612192526	39.5421267541	39.5696455026	39.5740314111	39.5918656548	39.5974499696	39.5788371214	39.5762259478	39.5794586239	39.5670092963	39.5825353489	39.5862200529	39.5948350555	39.5984760867	39.6007499302	39.5950105261	39.5847178096	39.5602341891	39.5374639798	39.5257624116	39.5079307024	39.4675822518	39.42244294	39.394355587	39.3544047472	39.3031557122	39.2912197357	39.2510621343	39.2542348732	39.2870761299	39.4767959238	39.2890586506
PD_112S_1_bbduk_filt	31.5982569497	32.6753418482	33.7242975207	34.652081142	35.4170999249	35.9640570999	36.3312997746	36.7876183321	37.2263861758	38.015014275	38.9596513899	39.4312246431	39.5997114951	39.0806912096	38.4484207363	39.5217190083	37.9426836965	38.3476964688	37.683269722	36.8365012821	36.6892864969	37.7510194639	39.6405438997	39.7686517003	39.7974813745	39.7978685747	39.7931167321	39.7974869315	39.7988233803	39.7887498174	39.782192384	39.7699227307	39.7770006154	39.7817971159	39.7983536988	39.8062127929	39.8569620464	39.8113809432
PD_112S_2_bbduk_filt	39.0022539444	39.7425093914	39.8081442524	39.7954019534	39.8023741548	39.7987678437	39.68162284	39.6394290008	39.6475432006	39.5293163035	39.3787648385	39.6089556724	39.5821607814	39.5164537941	39.5533463561	39.1476363636	39.4465634861	39.6461487603	39.7670323065	39.7943488931	39.7423977917	39.6177582336	39.4509201481	39.4612021367	39.4843154053	39.522394479	39.4352051842	39.3264978983	39.1267123593	39.1116400015	39.2351173807	39.2901409153	39.3079923135	39.3780333203	39.3380393692	39.3886750757	39.4824602586	39.4765391226
PD_113P_1_bbduk_filt	39.2695943121	39.6039792389	39.5553186982	39.5596820713	39.5759660435	39.5394217308	39.2498645084	39.2323578561	39.2645898294	39.1655944205	39.4676920877	39.5383515136	39.5083824554	39.5111374194	39.5416859217	39.5557629032	39.4496961507	39.4506791855	39.2790153279	39.2256727979	39.2903988215	39.3677762327	39.5365182796	39.5189402217	39.5124971736	39.4962892019	39.4956786009	39.4805816158	39.4739383171	39.4769061464	39.4663090509	39.4511962674	39.4384511348	39.4267936984	39.4221503921	39.4609175083	39.6063019722	39.4126698524
PD_113P_2_bbduk_filt	38.6561236204	39.3724908146	39.4912630205	39.5213898577	39.568332267	39.5915440509	39.4707772816	39.436082937	39.4733948802	39.4864537414	39.5111948322	39.521682663	39.5004360981	39.5012375383	39.5060315074	39.4908994061	39.5087556386	39.5121389539	39.5211253335	39.5255664033	39.5296783127	39.5269291789	39.5173286389	39.4949941483	39.4754053431	39.4606684645	39.4449862351	39.3995614297	39.3546962146	39.3219934925	39.2793689609	39.2235304086	39.2088779661	39.1661755954	39.1727611343	39.2173814226	39.4316756951	39.2795944966
PD_114P_1_bbduk_filt	39.2813777748	39.591568185	39.552117942	39.5701345884	39.5757586595	39.5425537513	39.2758068381	39.2639762612	39.2999727686	39.2133526729	39.4905000304	39.5579181741	39.5297855567	39.5352894624	39.562873978	39.5760312798	39.4639083105	39.4752173529	39.3147559829	39.2550466269	39.3125906399	39.3822852616	39.5650105648	39.5498960732	39.5451966644	39.5340784432	39.5297584993	39.5174775886	39.5120450072	39.5175377589	39.5060355292	39.4947611752	39.4882477965	39.4785062167	39.4737786704	39.5083423268	39.6355541374	39.4480645566
