Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PD_100P_1_bbduk_filt	0	0
PD_100P_2_bbduk_filt	0.236606420688	0.0
PD_104P_1_bbduk_filt	0	0
PD_104P_2_bbduk_filt	0.248638396654	0.0
PD_105P_1_bbduk_filt	0	0
PD_105P_2_bbduk_filt	0.374054926533	0.0
PD_107P_1_bbduk_filt	60.6259134203	32.5102051101
PD_107P_2_bbduk_filt	98.8585395354	0.0
PD_108S_1_bbduk_filt	0	0
PD_108S_2_bbduk_filt	0.20990677558	0.0
PD_109S_1_bbduk_filt	0	0
PD_109S_2_bbduk_filt	0.244095509169	0.0
PD_10P_1_bbduk_filt	1.35678698774	0.333671176672
PD_10P_2_bbduk_filt	2.58853123626	0.0
PD_110S_1_bbduk_filt	0.201173205023	0.0
PD_110S_2_bbduk_filt	0.756436197768	0.0
PD_111P_1_bbduk_filt	0.138543260061	0.0
PD_111P_2_bbduk_filt	0.347077481721	0.0
PD_112S_1_bbduk_filt	68.3651389932	14.3380916604
PD_112S_2_bbduk_filt	89.1314800902	0.0
PD_113P_1_bbduk_filt	0	0
PD_113P_2_bbduk_filt	0.20315095288	0.0
PD_114P_1_bbduk_filt	0.145915216924	0.0
PD_114P_2_bbduk_filt	0.619730945828	0.0
PD_115S_1_bbduk_filt	0	0
PD_115S_2_bbduk_filt	0.34733190317	0.0
PD_116P_1_bbduk_filt	0	0
PD_116P_2_bbduk_filt	0.213084454166	0.0
PD_117_1_bbduk_filt	0	0
PD_117_2_bbduk_filt	0.214868886541	0.0
PD_118_1_bbduk_filt	0	0
PD_118_2_bbduk_filt	0.288074990336	0.0
PD_119P_1_bbduk_filt	0.191503661052	0.0
PD_119P_2_bbduk_filt	0.440900043118	0.0
PD_11P_1_bbduk_filt	0.200090241408	0.0
PD_11P_2_bbduk_filt	0.793037710042	0.0
PD_120S_1_bbduk_filt	0	0
PD_120S_2_bbduk_filt	0.367777301743	0.0
PD_121S_1_bbduk_filt	0	0
PD_121S_2_bbduk_filt	0.225889741307	0.0
PD_122S_1_bbduk_filt	0	0
PD_122S_2_bbduk_filt	0.181102246494	0.0
PD_123P_1_bbduk_filt	0	0
PD_123P_2_bbduk_filt	0.249368130608	0.0
PD_126P_1_bbduk_filt	0	0
PD_126P_2_bbduk_filt	0.222088251644	0.0
PD_127S_1_bbduk_filt	0	0
PD_127S_2_bbduk_filt	0.215006810199	0.0
PD_128S_1_bbduk_filt	0	0
PD_128S_2_bbduk_filt	0.302662506867	0.0
PD_129P_1_bbduk_filt	0.190462037762	0.0
PD_129P_2_bbduk_filt	1.08321739047	0.0
PD_12P_1_bbduk_filt	0.635486260908	0.0
PD_12P_2_bbduk_filt	1.14492430551	0.0
PD_130S_1_bbduk_filt	0	0
PD_130S_2_bbduk_filt	0.303687492488	0.0
PD_131P_1_bbduk_filt	0.17453564677	0.0
PD_131P_2_bbduk_filt	0.487566132978	0.0
PD_134S_1_bbduk_filt	0	0
PD_134S_2_bbduk_filt	0.314244223732	0.0
PD_137P_1_bbduk_filt	0	0
PD_137P_2_bbduk_filt	0.220069483954	0.0
PD_138S_1_bbduk_filt	0	0
PD_138S_2_bbduk_filt	0.228574853769	0.0
PD_13P_1_bbduk_filt	0.155277645614	0.0
PD_13P_2_bbduk_filt	0.558135155608	0.0
PD_140S_1_bbduk_filt	0	0
PD_140S_2_bbduk_filt	0.229802648634	0.0
PD_141P_1_bbduk_filt	0	0
PD_141P_2_bbduk_filt	0.206555263567	0.0
PD_142S_1_bbduk_filt	0	0
PD_142S_2_bbduk_filt	0.187583874089	0.0
PD_145P_1_bbduk_filt	0	0
PD_145P_2_bbduk_filt	0.182193044542	0.0
PD_146S_1_bbduk_filt	0	0
PD_146S_2_bbduk_filt	0.199345004289	0.0
PD_147_1_bbduk_filt	0	0
PD_147_2_bbduk_filt	0.203187134559	0.0
PD_148P_1_bbduk_filt	0	0
PD_148P_2_bbduk_filt	0.275371913097	0.0
PD_149S_1_bbduk_filt	0	0
PD_149S_2_bbduk_filt	0.277210634771	0.0
PD_14P_1_bbduk_filt	0.559159457074	0.0
PD_14P_2_bbduk_filt	0.792733074368	0.0
PD_150P_1_bbduk_filt	0	0
PD_150P_2_bbduk_filt	0.236284510067	0.0
PD_151S_1_bbduk_filt	0	0
PD_151S_2_bbduk_filt	0.231683342405	0.0
PD_152P_1_bbduk_filt	0	0
PD_152P_2_bbduk_filt	0.284456909427	0.0
PD_153S_1_bbduk_filt	0	0
PD_153S_2_bbduk_filt	0.220791576555	0.0
PD_156P_1_bbduk_filt	0.193555659191	0.0
PD_156P_2_bbduk_filt	0.679875546163	0.0
PD_157S_1_bbduk_filt	0	0
PD_157S_2_bbduk_filt	0.209347031398	0.0
PD_158P_1_bbduk_filt	0	0
PD_158P_2_bbduk_filt	0.184562357175	0.0
PD_159S_1_bbduk_filt	0	0
PD_159S_2_bbduk_filt	0.189458026995	0.0
PD_15P_1_bbduk_filt	0.160176826723	0.0
PD_15P_2_bbduk_filt	0.468513598622	0.0
PD_160P_1_bbduk_filt	0	0
PD_160P_2_bbduk_filt	0.180124173641	0.0
PD_161S_1_bbduk_filt	14.1945844671	26.6471874024
PD_161S_2_bbduk_filt	65.4228189915	0.447576987703
PD_162P_1_bbduk_filt	0	0
PD_162P_2_bbduk_filt	0.249751973942	0.0
PD_163S_1_bbduk_filt	0	0
PD_163S_2_bbduk_filt	0.250307274338	0.0
PD_164P_1_bbduk_filt	0.161155774374	0.0
PD_164P_2_bbduk_filt	0.773187866495	0.0
PD_165S_1_bbduk_filt	0	0
PD_165S_2_bbduk_filt	0.231934467195	0.0
PD_166_1_bbduk_filt	0	0
PD_166_2_bbduk_filt	0.218986873698	0.0
PD_167P_1_bbduk_filt	0	0
PD_167P_2_bbduk_filt	0.235741016118	0.0
PD_169P_1_bbduk_filt	0	0
PD_169P_2_bbduk_filt	0.305285029426	0.0
PD_16P_1_bbduk_filt	0.605827071693	0.0
PD_16P_2_bbduk_filt	0.803309571211	0.0
PD_170S_1_bbduk_filt	0	0
PD_170S_2_bbduk_filt	0.26310092345	0.0
PD_171P_1_bbduk_filt	0	0
PD_171P_2_bbduk_filt	0.184519856331	0.0
PD_172S_1_bbduk_filt	0.491872051744	0.0
PD_172S_2_bbduk_filt	1.20821394673	0.0
PD_173P_1_bbduk_filt	0	0
PD_173P_2_bbduk_filt	0.212207781209	0.0
PD_174S_1_bbduk_filt	0	0
PD_174S_2_bbduk_filt	0.333403070756	0.0
PD_175P_1_bbduk_filt	0.522668981777	0.0
PD_175P_2_bbduk_filt	0.80055127705	0.0
PD_176S_1_bbduk_filt	0	0
PD_176S_2_bbduk_filt	0.170177987894	0.0
PD_177P_1_bbduk_filt	0	0
PD_177P_2_bbduk_filt	0.239099517156	0.0
PD_178S_1_bbduk_filt	0	0
PD_178S_2_bbduk_filt	0.227577787287	0.0
PD_179P_1_bbduk_filt	0	0
PD_179P_2_bbduk_filt	0.213809276632	0.0
PD_180S_1_bbduk_filt	0	0
PD_180S_2_bbduk_filt	0.275075918973	0.0
PD_181P_1_bbduk_filt	0	0
PD_181P_2_bbduk_filt	0.198257899357	0.0
PD_182S_1_bbduk_filt	30.4432810374	10.9433929771
PD_182S_2_bbduk_filt	62.3323057847	0.131744364269
PD_183P_1_bbduk_filt	0	0
PD_183P_2_bbduk_filt	0.219941406851	0.0
PD_184S_1_bbduk_filt	0	0
PD_184S_2_bbduk_filt	0.212131883109	0.0
PD_188S_1_bbduk_filt	0	0
PD_188S_2_bbduk_filt	0.19067352014	0.0
PD_189P_1_bbduk_filt	0	0
PD_189P_2_bbduk_filt	0.206396955746	0.0
PD_190S_1_bbduk_filt	0	0
PD_190S_2_bbduk_filt	0.216215833025	0.0
PD_191P_1_bbduk_filt	19.5964079858	29.5616429049
PD_191P_2_bbduk_filt	65.7365780742	0.0
PD_192S_1_bbduk_filt	38.6835358486	52.0878559571
PD_192S_2_bbduk_filt	98.566839877	0.0
PD_193P_1_bbduk_filt	0	0
PD_193P_2_bbduk_filt	0.261130218487	0.0
PD_194S_1_bbduk_filt	0	0
PD_194S_2_bbduk_filt	0.228708728973	0.0
PD_195_1_bbduk_filt	0	0
PD_195_2_bbduk_filt	0.17655407049	0.0
PD_196_1_bbduk_filt	0	0
PD_196_2_bbduk_filt	0.28294147693	0.0
PD_197_1_bbduk_filt	0	0
PD_197_2_bbduk_filt	0.312325310124	0.0
PD_198_1_bbduk_filt	0	0
PD_198_2_bbduk_filt	0.161726318915	0.0
PD_199P_1_bbduk_filt	100.0	0.0
PD_199P_2_bbduk_filt	100.0	0.0
PD_1P_1_bbduk_filt	0.156183193699	0.0
PD_1P_2_bbduk_filt	0.412410203498	0.0
PD_200S_1_bbduk_filt	0	0
PD_200S_2_bbduk_filt	0.193879300532	0.0
PD_203_1_bbduk_filt	0	0
PD_203_2_bbduk_filt	0.20022240949	0.0
PD_204_1_bbduk_filt	0	0
PD_204_2_bbduk_filt	0.273531336581	0.0
PD_205P_1_bbduk_filt	0	0
PD_205P_2_bbduk_filt	0.191501904361	0.0
PD_206S_1_bbduk_filt	0	0
PD_206S_2_bbduk_filt	0.239071638498	0.0
PD_207P_1_bbduk_filt	0	0
PD_207P_2_bbduk_filt	0.205073753985	0.0
PD_208S_1_bbduk_filt	0	0
PD_208S_2_bbduk_filt	0.262427996775	0.0
PD_209P_1_bbduk_filt	0	0
PD_209P_2_bbduk_filt	0.202926449586	0.0
PD_210S_1_bbduk_filt	0	0
PD_210S_2_bbduk_filt	0.254329435175	0.0
PD_211P_1_bbduk_filt	46.4018210395	3.8556175817
PD_211P_2_bbduk_filt	68.3139125251	0.211370657417
PD_212S_1_bbduk_filt	12.2127867911	50.176421927
PD_212S_2_bbduk_filt	80.8333192646	0.0
PD_213S_1_bbduk_filt	0	0
PD_213S_2_bbduk_filt	0.218853388991	0.0
PD_214S_1_bbduk_filt	0	0
PD_214S_2_bbduk_filt	0.216257642198	0.0
PD_215S_1_bbduk_filt	0	0
PD_215S_2_bbduk_filt	0.19326359144	0.0
PD_216S_1_bbduk_filt	54.0540540541	6.18243243243
PD_216S_2_bbduk_filt	78.3070570571	0.0
PD_217P_1_bbduk_filt	9.98621195029	27.5114980764
PD_217P_2_bbduk_filt	59.7437158312	0.345183342493
PD_218S_1_bbduk_filt	0.250626566416	99.7493734336
PD_218S_2_bbduk_filt	1.12781954887	98.8721804511
PD_221P_1_bbduk_filt	0	0
PD_221P_2_bbduk_filt	0.21966112904	0.0
PD_222S_1_bbduk_filt	0	0
PD_222S_2_bbduk_filt	0.266655079964	0.0
PD_223P_1_bbduk_filt	0	0
PD_223P_2_bbduk_filt	0.17427175154	0.0
PD_224S_1_bbduk_filt	0	0
PD_224S_2_bbduk_filt	0.224469218871	0.0
PD_225P_1_bbduk_filt	0	0
PD_225P_2_bbduk_filt	0.170886441039	0.0
PD_226S_1_bbduk_filt	0	0
PD_226S_2_bbduk_filt	0.277862841289	0.0
PD_227P_1_bbduk_filt	0	0
PD_227P_2_bbduk_filt	0.326295723361	0.0
PD_228S_1_bbduk_filt	0	0
PD_228S_2_bbduk_filt	0.178550690207	0.0
PD_229P_1_bbduk_filt	0	0
PD_229P_2_bbduk_filt	0.202234439761	0.0
PD_230S_1_bbduk_filt	0	0
PD_230S_2_bbduk_filt	0.21529723361	0.0
PD_231P_1_bbduk_filt	0	0
PD_231P_2_bbduk_filt	0.20092633453	0.0
PD_232S_1_bbduk_filt	0	0
PD_232S_2_bbduk_filt	0.27548845077	0.0
PD_25P_1_bbduk_filt	0.10194900428	0.0
PD_25P_2_bbduk_filt	0.541420950874	0.0
PD_26P_1_bbduk_filt	0.136239782016	0.544959128065
PD_26P_2_bbduk_filt	0.772025431426	0.681198910082
PD_27P_1_bbduk_filt	0	0
PD_27P_2_bbduk_filt	0.509010465826	0.0
PD_28P_1_bbduk_filt	6.14900288682	12.5808806451
PD_28P_2_bbduk_filt	22.092859276	0.0
PD_29P_1_bbduk_filt	0.333469372094	0.0
PD_29P_2_bbduk_filt	0.719012189173	0.0
PD_2P_1_bbduk_filt	0.378652114779	0.209946902067
PD_2P_2_bbduk_filt	1.62237091648	0.0
PD_30P_1_bbduk_filt	0.830703689705	0.0
PD_30P_2_bbduk_filt	1.11227333058	0.0
PD_31P_1_bbduk_filt	0	0
PD_31P_2_bbduk_filt	0.588242669722	0.0
PD_32P_1_bbduk_filt	0.150179405382	0.0
PD_32P_2_bbduk_filt	0.948097164455	0.0
PD_33P_1_bbduk_filt	0	0
PD_33P_2_bbduk_filt	0.367536742014	0.0
PD_34P_1_bbduk_filt	0.242694730379	0.0
PD_34P_2_bbduk_filt	0.696239161317	0.0
PD_35P_1_bbduk_filt	0.148804448767	0.0
PD_35P_2_bbduk_filt	0.531791662796	0.0
PD_36P_1_bbduk_filt	89.3954606054	5.52858106885
PD_36P_2_bbduk_filt	97.3583290814	0.103691755682
PD_38P_1_bbduk_filt	0.180237707296	0.0
PD_38P_2_bbduk_filt	0.517054234296	0.0
PD_39P_1_bbduk_filt	0.270598999768	0.657830430996
PD_39P_2_bbduk_filt	1.96077710859	0.0
PD_3P_1_bbduk_filt	0.163184863636	0.0
PD_3P_2_bbduk_filt	0.625677446685	0.0
PD_40P_1_bbduk_filt	0.121759235868	0.0
PD_40P_2_bbduk_filt	1.10213618926	0.0
PD_41P_1_bbduk_filt	0.355429624667	0.0
PD_41P_2_bbduk_filt	0.753236024363	0.0
PD_42P_1_bbduk_filt	0	0
PD_42P_2_bbduk_filt	0.309307381764	0.0
PD_43P_1_bbduk_filt	0.768549789877	0.418310572622
PD_43P_2_bbduk_filt	2.41325048669	0.0
PD_44P_1_bbduk_filt	0.179634453147	0.0
PD_44P_2_bbduk_filt	0.87247713133	0.0
PD_45P_1_bbduk_filt	0	0
PD_45P_2_bbduk_filt	0.329741151042	0.0
PD_46P_1_bbduk_filt	0.620714493735	0.0
PD_46P_2_bbduk_filt	0.93986031339	0.0
PD_47P_1_bbduk_filt	0.157663056303	0.0
PD_47P_2_bbduk_filt	0.562737261067	0.0
PD_48P_1_bbduk_filt	0.374243044735	0.0
PD_48P_2_bbduk_filt	0.848565328965	0.0
PD_4P_1_bbduk_filt	0.15761687149	0.0
PD_4P_2_bbduk_filt	0.748639944864	0.0
PD_50P_1_bbduk_filt	7.42233916143	14.5497368868
PD_50P_2_bbduk_filt	26.0206246817	0.0
PD_51P_1_bbduk_filt	0	0
PD_51P_2_bbduk_filt	0.375810127353	0.0
PD_52P_1_bbduk_filt	1.47651491876	0.0
PD_52P_2_bbduk_filt	1.98391307301	0.0
PD_53P_1_bbduk_filt	0.134542886612	0.0
PD_53P_2_bbduk_filt	0.56822469875	0.0
PD_54P_1_bbduk_filt	0	0
PD_54P_2_bbduk_filt	0.44138446348	0.0
PD_55P_1_bbduk_filt	0.124372713205	0.0
PD_55P_2_bbduk_filt	0.536928963325	0.0
PD_56P_1_bbduk_filt	0	0
PD_56P_2_bbduk_filt	0.326910061423	0.0
PD_57P_1_bbduk_filt	0.560799825081	0.0
PD_57P_2_bbduk_filt	1.05986851515	0.0
PD_58P_1_bbduk_filt	0.261823984704	0.0
PD_58P_2_bbduk_filt	0.820532422123	0.0
PD_59P_1_bbduk_filt	0.462712992769	0.0
PD_59P_2_bbduk_filt	1.70811466564	0.0
PD_5P_1_bbduk_filt	0	0
PD_5P_2_bbduk_filt	0.616312782049	0.0
PD_60P_1_bbduk_filt	0	0
PD_60P_2_bbduk_filt	0.491352244621	0.0
PD_63P_1_bbduk_filt	0.136604795044	0.0
PD_63P_2_bbduk_filt	0.488717184533	0.0
PD_64P_1_bbduk_filt	0	0
PD_64P_2_bbduk_filt	0.487656902406	0.0
PD_65P_1_bbduk_filt	0	0
PD_65P_2_bbduk_filt	0.598905285685	0.0
PD_66P_1_bbduk_filt	1.16101895735	0.0
PD_66P_2_bbduk_filt	1.8394549763	0.0
PD_6P_1_bbduk_filt	0.402079517092	0.104775371276
PD_6P_2_bbduk_filt	1.70851556188	0.0
PD_70P_1_bbduk_filt	0.702565855595	0.0
PD_70P_2_bbduk_filt	1.15736803997	0.0
PD_73P_1_bbduk_filt	0.471638453073	0.0
PD_73P_2_bbduk_filt	0.80344024199	0.0
PD_74P_1_bbduk_filt	0	0
PD_74P_2_bbduk_filt	0.524201319398	0.0
PD_75P_1_bbduk_filt	0.305227075167	0.369465264907
PD_75P_2_bbduk_filt	1.57074674845	0.0
PD_76P_1_bbduk_filt	0.181704629543	0.0
PD_76P_2_bbduk_filt	0.941885687701	0.0
PD_77P_1_bbduk_filt	0	0
PD_77P_2_bbduk_filt	0.571718098472	0.0
PD_78P_1_bbduk_filt	1.47102350086	0.0
PD_78P_2_bbduk_filt	2.38554184179	0.0
PD_79S_1_bbduk_filt	0.45363452475	0.0
PD_79S_2_bbduk_filt	0.803703993789	0.0
PD_7P_1_bbduk_filt	0.283346488165	0.0
PD_7P_2_bbduk_filt	0.497207186325	0.0
PD_81P_1_bbduk_filt	24.3998807216	63.5306396302
PD_81P_2_bbduk_filt	98.7699418518	0.0
PD_82P_1_bbduk_filt	0.178329938751	0.0
PD_82P_2_bbduk_filt	0.984474590042	0.0
PD_83P_1_bbduk_filt	0	0
PD_83P_2_bbduk_filt	0.51365233847	0.0
PD_84P_1_bbduk_filt	0.223071356969	0.0
PD_84P_2_bbduk_filt	0.867555797805	0.0
PD_8P_1_bbduk_filt	0.540791683563	0.0
PD_8P_2_bbduk_filt	0.743506477515	0.0
PD_9P_1_bbduk_filt	0.181811415169	0.0
PD_9P_2_bbduk_filt	0.684911809411	0.0
PD_Extr_neg_plate1_1_bbduk_filt	64.7184986595	24.9183524251
PD_Extr_neg_plate1_2_bbduk_filt	94.6478186693	0.0
PD_Extr_neg_plate2_1_bbduk_filt	58.4220566764	34.8051283691
PD_Extr_neg_plate2_2_bbduk_filt	99.6376464068	0.0
PD_Extr_neg_plate3_1_bbduk_filt	23.1363524287	63.1133393606
PD_Extr_neg_plate3_2_bbduk_filt	97.5096572697	0.0
PD_Extr_pos_plate1_1_bbduk_filt	48.5904969495	6.76943473815
PD_Extr_pos_plate1_2_bbduk_filt	71.7593788973	0.321337483006
PD_Extr_pos_plate2_1_bbduk_filt	51.6808726597	38.5114891223
PD_Extr_pos_plate2_2_bbduk_filt	98.9091754002	0.0
PD_Extr_pos_plate3_1_bbduk_filt	0.10385056483	0.0
PD_Extr_pos_plate3_2_bbduk_filt	0.388456968344	0.0
PD_Lib_neg_plate1_1_bbduk_filt	26.2197708952	55.1407155989
PD_Lib_neg_plate1_2_bbduk_filt	94.7744307736	0.0
PD_Lib_neg_plate2_1_bbduk_filt	18.3713646532	64.2953020134
PD_Lib_neg_plate2_2_bbduk_filt	96.6621923937	0.456375838926
PD_Lib_pos_plate1_1_bbduk_filt	0	0
PD_Lib_pos_plate1_2_bbduk_filt	0.241519785059	0.0
PD_Lib_pos_plate2_1_bbduk_filt	0.118284590801	0.0
PD_Lib_pos_plate2_2_bbduk_filt	0.417724407728	0.0
