Module	Section	Sample Name	Source
FastQC	all_sections	PD_77P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_77P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_180S_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_180S_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_46P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_46P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_82P_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_82P_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_204_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_204_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_175P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_175P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_Lib_neg_plate1_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_Lib_neg_plate1_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_228S_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_228S_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_Lib_pos_plate1_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_Lib_pos_plate1_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_181P_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_181P_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_188S_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_188S_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_198_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_198_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_128S_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_128S_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_42P_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_42P_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_16P_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_16P_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_107P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_107P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_150P_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_150P_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_56P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_56P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_200S_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_200S_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_226S_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_226S_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_84P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_84P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_Extr_pos_plate3_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_Extr_pos_plate3_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_217P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_217P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_26P_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_26P_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_118_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_118_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_212S_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_212S_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_74P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_74P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_121S_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_121S_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_177P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_177P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_179P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_179P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_25P_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_25P_2_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_44P_1_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_44P_1_bbduk_filt_fastqc.zip
FastQC	all_sections	PD_Extr_neg_plate3_2_bbduk_filt	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_May_2026/fastqc_bbduk/PD_Extr_neg_plate3_2_bbduk_filt_fastqc.zip
