Module	Section	Sample Name	Source
FastQC	all_sections	PD_120S_filtered_2	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_120S_filtered_2_fastqc.zip
FastQC	all_sections	PD_120S_filtered_1	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_120S_filtered_1_fastqc.zip
FastQC	all_sections	PD_153S_filtered_1	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_153S_filtered_1_fastqc.zip
FastQC	all_sections	PD_153S_filtered_2	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_153S_filtered_2_fastqc.zip
FastQC	all_sections	PD_213S_filtered_2	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_213S_filtered_2_fastqc.zip
FastQC	all_sections	PD_213S_filtered_1	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_213S_filtered_1_fastqc.zip
FastQC	all_sections	PD_118_filtered_2	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_118_filtered_2_fastqc.zip
FastQC	all_sections	PD_118_filtered_1	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_118_filtered_1_fastqc.zip
FastQC	all_sections	PD_163S_filtered_1	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_163S_filtered_1_fastqc.zip
FastQC	all_sections	PD_163S_filtered_2	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_163S_filtered_2_fastqc.zip
FastQC	all_sections	PD_7P_filtered_1	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_7P_filtered_1_fastqc.zip
FastQC	all_sections	PD_7P_filtered_2	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_7P_filtered_2_fastqc.zip
FastQC	all_sections	PD_34P_filtered_1	/bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/prinseq/fastqc/PD_34P_filtered_1_fastqc.zip
