	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_100P_filtered_1	8428.0	9001.0	9655.0	10176.0	10793.0	11676.0	12226.0	13008.0	13834.0	14348.0	15122.0	15963.0	16458.0	17358.0	17702.0	17938.0	18487.0	19294.0	19880.0	20457.0	21159.0	22086.0	22080.0	22932.0	23057.0	23741.0	24409.0	24985.0	25476.0	25768.0	26207.0	26891.0	27486.0	28331.0	28549.0	28889.0	29625.0	30101.0	30529.0	31340.0	31771.0	32770.0	35859.0	66457.0	194185.0	1974467.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_100P_filtered_2	8262.0	8882.0	9629.0	10149.0	10898.0	11698.0	12210.0	12950.0	13750.0	14184.0	14760.0	15820.0	16290.0	17209.0	17602.0	17761.0	18292.0	19021.0	19576.0	20298.0	20868.0	21973.0	21838.0	22731.0	22931.0	23509.0	24077.0	24757.0	25143.0	25256.0	25660.0	26464.0	27380.0	28895.0	29072.0	29573.0	30553.0	31361.0	32668.0	33983.0	35053.0	36653.0	41079.0	73017.0	198295.0	1948924.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_104P_filtered_1	33221.0	35934.0	38717.0	40808.0	42866.0	44903.0	47132.0	49507.0	51352.0	53361.0	54667.0	56586.0	57698.0	59053.0	59424.0	60168.0	60743.0	60696.0	61520.0	61739.0	62614.0	62881.0	62113.0	62461.0	62443.0	61927.0	61738.0	61533.0	61866.0	60316.0	60896.0	60637.0	60243.0	59854.0	59055.0	58985.0	58358.0	58196.0	57881.0	57574.0	56797.0	56899.0	59440.0	91099.0	195223.0	2008100.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_104P_filtered_2	31779.0	34358.0	37456.0	39908.0	42365.0	44096.0	45954.0	48713.0	50088.0	52167.0	52883.0	55768.0	56835.0	58423.0	58919.0	59554.0	59909.0	60047.0	60917.0	61232.0	62076.0	62422.0	61610.0	62169.0	62087.0	61699.0	61236.0	60975.0	61073.0	59434.0	60175.0	59807.0	60496.0	61327.0	60489.0	60397.0	59775.0	59986.0	59938.0	59949.0	59607.0	59768.0	63452.0	96468.0	200496.0	2000942.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_105P_filtered_1	28045.0	30171.0	31237.0	32048.0	33158.0	34340.0	35153.0	35550.0	36612.0	37493.0	38618.0	39965.0	39888.0	40297.0	39750.0	39630.0	39307.0	39069.0	39761.0	40094.0	41001.0	41253.0	40521.0	39401.0	39797.0	39684.0	40164.0	40467.0	39979.0	38979.0	39301.0	39498.0	39086.0	39786.0	39023.0	38951.0	38872.0	38546.0	38672.0	38117.0	37645.0	37190.0	38779.0	56826.0	143198.0	1339341.0
