Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
PD_122S_filtered_2	2.10699123231	49.0	127.326355872	4461890.0	9.09090909091
PD_123P_filtered_1	4.34650460964	46.0	131.919804065	5163354.0	9.09090909091
PD_123P_filtered_2	4.37511015818	46.0	132.137795704	5163354.0	9.09090909091
PD_126P_filtered_1	3.18570930688	51.0	126.448312796	5218013.0	18.1818181818
PD_126P_filtered_2	3.27414128076	51.0	126.619556908	5218013.0	18.1818181818
PD_127S_filtered_1	1.5528653712	49.0	132.47228004	5359748.0	9.09090909091
PD_127S_filtered_2	1.53054581821	49.0	132.646564727	5359748.0	9.09090909091
PD_128S_filtered_1	2.0192416141	46.0	129.466830155	4830517.0	9.09090909091
PD_128S_filtered_2	1.96181059365	46.0	129.587382469	4830517.0	9.09090909091
PD_129P_filtered_1	3.72235270043	53.0	124.594241791	2891281.0	27.2727272727
PD_129P_filtered_2	3.73184610127	53.0	124.826854948	2891281.0	27.2727272727
PD_12P_filtered_1	1.49261051674	48.0	124.55075025	3006931.0	9.09090909091
PD_12P_filtered_2	1.51022832375	48.0	124.79821253	3006931.0	9.09090909091
PD_130S_filtered_1	2.35209529874	45.0	133.019576439	3671301.0	9.09090909091
PD_130S_filtered_2	2.30424358407	45.0	133.085730099	3671301.0	9.09090909091
PD_131P_filtered_1	5.69448392057	46.0	123.813450998	3974248.0	9.09090909091
PD_131P_filtered_2	5.63168008173	47.0	124.105481087	3974248.0	9.09090909091
PD_134S_filtered_1	2.87171654897	46.0	129.354554464	6107403.0	9.09090909091
PD_134S_filtered_2	2.87563500695	46.0	129.554908035	6107403.0	9.09090909091
PD_137P_filtered_1	1.64319156683	45.0	132.962912411	4771057.0	9.09090909091
PD_137P_filtered_2	1.68012042787	45.0	133.121714958	4771057.0	9.09090909091
PD_138S_filtered_1	3.56610005617	44.0	125.384164014	3201872.0	9.09090909091
PD_138S_filtered_2	3.56835277682	44.0	125.585585557	3201872.0	9.09090909091
PD_13P_filtered_1	3.63072161204	47.0	127.243891093	4002762.0	9.09090909091
PD_13P_filtered_2	3.63768368337	48.0	127.406177534	4002762.0	9.09090909091
PD_140S_filtered_1	2.46770233476	47.0	132.236664274	6410431.0	9.09090909091
PD_140S_filtered_2	2.44453661503	47.0	132.432640489	6410431.0	9.09090909091
PD_141P_filtered_1	6.45851795654	46.0	133.155595257	6009277.0	9.09090909091
PD_141P_filtered_2	6.41052490398	46.0	133.32732773	6009277.0	9.09090909091
PD_142S_filtered_1	3.92372564618	44.0	136.423842635	4160832.0	9.09090909091
PD_142S_filtered_2	4.05769739284	44.0	136.455137338	4160832.0	9.09090909091
PD_145P_filtered_1	1.78735541071	47.0	132.604386884	6174952.0	9.09090909091
PD_145P_filtered_2	1.83278877701	48.0	132.746875765	6174952.0	9.09090909091
PD_146S_filtered_1	1.87145282388	47.0	131.404082565	4001504.0	9.09090909091
PD_146S_filtered_2	1.8525469329	47.0	131.527478668	4001504.0	9.09090909091
PD_147_filtered_1	1.98615523207	46.0	135.485674948	4654259.0	9.09090909091
PD_147_filtered_2	1.91080344518	46.0	135.551609397	4654259.0	9.09090909091
PD_148P_filtered_1	2.76313163696	47.0	131.74210289	5630509.0	9.09090909091
PD_148P_filtered_2	2.62667507555	47.0	131.825579535	5630509.0	9.09090909091
PD_149S_filtered_1	1.54740925419	49.0	132.877394281	3934115.0	9.09090909091
PD_149S_filtered_2	1.51603142616	49.0	132.884697067	3934115.0	9.09090909091
PD_14P_filtered_1	1.47756968368	47.0	124.01270968	3099370.0	9.09090909091
PD_14P_filtered_2	1.48918863743	47.0	124.340231725	3099370.0	9.09090909091
PD_150P_filtered_1	2.83354469777	45.0	129.118938893	4226456.0	9.09090909091
PD_150P_filtered_2	2.85637587981	45.0	129.312470779	4226456.0	9.09090909091
PD_151S_filtered_1	1.84496907272	46.0	127.834648413	4001280.0	9.09090909091
PD_151S_filtered_2	1.85793162687	46.0	128.092477907	4001280.0	9.09090909091
PD_152P_filtered_1	1.69262328821	49.0	133.854105786	3823044.0	9.09090909091
PD_152P_filtered_2	1.68023628955	49.0	133.839009962	3823044.0	9.09090909091
PD_153S_filtered_1	2.6189799392	50.0	126.587476745	5486018.0	9.09090909091
PD_153S_filtered_2	2.66207993949	50.0	126.900387494	5486018.0	9.09090909091
PD_156P_filtered_1	4.71165649483	44.0	127.264642513	3597026.0	9.09090909091
PD_156P_filtered_2	4.71575428288	44.0	127.492812118	3597026.0	9.09090909091
PD_157S_filtered_1	3.00360707005	47.0	126.053642993	4815093.0	9.09090909091
PD_157S_filtered_2	3.07229172681	47.0	126.352001509	4815093.0	9.09090909091
PD_158P_filtered_1	2.722868039	45.0	132.325431245	5396464.0	9.09090909091
PD_158P_filtered_2	2.77410119985	45.0	132.522588866	5396464.0	9.09090909091
PD_159S_filtered_1	2.95257521873	46.0	131.345053051	5414408.0	9.09090909091
PD_159S_filtered_2	3.0192712561	46.0	131.524536755	5414408.0	9.09090909091
PD_15P_filtered_1	1.41238094749	47.0	124.803043846	3377701.0	9.09090909091
PD_15P_filtered_2	1.4033007495	47.0	125.073327094	3377701.0	9.09090909091
PD_160P_filtered_1	3.16943817287	49.0	128.319750876	5269984.0	9.09090909091
PD_160P_filtered_2	3.12279751825	49.0	128.590925134	5269984.0	9.09090909091
PD_161S_filtered_1	1.66870234047	46.0	134.994949328	60586.0	9.09090909091
PD_161S_filtered_2	1.54491136566	46.0	134.302082989	60586.0	9.09090909091
PD_162P_filtered_1	1.44993497137	47.0	132.967980784	4511978.0	9.09090909091
PD_162P_filtered_2	1.43432920592	47.0	133.036383156	4511978.0	9.09090909091
PD_163S_filtered_1	1.81420352525	47.0	129.056251656	5203989.0	9.09090909091
PD_163S_filtered_2	1.75699473455	47.0	129.156731115	5203989.0	9.09090909091
PD_164P_filtered_1	1.46397018448	48.0	130.48665741	3508764.0	9.09090909091
PD_164P_filtered_2	1.4242348717	48.0	130.630615225	3508764.0	9.09090909091
PD_165S_filtered_1	2.30237766984	48.0	128.599156722	5755399.0	9.09090909091
PD_165S_filtered_2	2.28606600965	48.0	128.772689782	5755399.0	9.09090909091
PD_166_filtered_1	1.76446479695	49.0	132.669507695	4098047.0	9.09090909091
PD_166_filtered_2	1.75521953638	49.0	132.796962065	4098047.0	9.09090909091
PD_167P_filtered_1	3.0598491873	47.0	136.871965409	4543405.0	9.09090909091
PD_167P_filtered_2	2.99720244815	47.0	136.905962378	4543405.0	9.09090909091
PD_169P_filtered_1	2.43864274629	50.0	126.368946777	5084316.0	9.09090909091
PD_169P_filtered_2	2.37713458174	50.0	126.592149268	5084316.0	9.09090909091
PD_16P_filtered_1	1.50788342357	47.0	123.016373753	3826673.0	9.09090909091
PD_16P_filtered_2	1.50617269191	47.0	123.366038854	3826673.0	9.09090909091
PD_170S_filtered_1	1.60113284856	47.0	129.323996467	4216975.0	9.09090909091
PD_170S_filtered_2	1.64847977357	48.0	129.500058691	4216975.0	9.09090909091
PD_171P_filtered_1	1.87211317548	46.0	132.696206297	5193949.0	9.09090909091
PD_171P_filtered_2	1.95714656763	46.0	132.860273368	5193949.0	9.09090909091
PD_172S_filtered_1	1.0688380866	49.0	131.915630152	3093783.0	9.09090909091
PD_172S_filtered_2	1.08630471411	49.0	132.037097624	3093783.0	9.09090909091
PD_173P_filtered_1	1.95378924713	48.0	132.871534089	4558470.0	9.09090909091
PD_173P_filtered_2	1.91538412728	48.0	133.044401301	4558470.0	9.09090909091
PD_174S_filtered_1	2.92680120339	46.0	137.077808123	4477296.0	9.09090909091
PD_174S_filtered_2	2.86154853921	46.0	137.002118243	4477296.0	9.09090909091
PD_175P_filtered_1	2.40709892642	47.0	127.26217493	3566653.0	9.09090909091
PD_175P_filtered_2	2.40229251324	48.0	127.465141689	3566653.0	9.09090909091
PD_176S_filtered_1	1.76432085405	47.0	134.498300308	4830874.0	9.09090909091
PD_176S_filtered_2	1.70491280819	47.0	134.545648262	4830874.0	9.09090909091
PD_177P_filtered_1	2.22825600984	47.0	133.971117925	3542197.0	9.09090909091
PD_177P_filtered_2	2.19959830495	47.0	134.123770078	3542197.0	9.09090909091
PD_178S_filtered_1	2.08886264702	48.0	131.864696151	5670733.0	9.09090909091
PD_178S_filtered_2	2.09695136258	48.0	132.019123806	5670733.0	9.09090909091
PD_179P_filtered_1	4.26758098457	46.0	133.632276335	5192535.0	9.09090909091
PD_179P_filtered_2	4.22272544183	46.0	133.745492327	5192535.0	9.09090909091
PD_180S_filtered_1	1.95954456124	45.0	133.364039097	4442141.0	9.09090909091
PD_180S_filtered_2	1.99188931994	45.0	133.398644032	4442141.0	9.09090909091
PD_181P_filtered_1	2.17556061873	46.0	129.698744075	4711509.0	9.09090909091
PD_181P_filtered_2	2.22039737022	46.0	129.885814078	4711509.0	9.09090909091
PD_182S_filtered_1	1.7745266179	45.0	134.796086941	57142.0	9.09090909091
PD_182S_filtered_2	1.92502887543	45.0	134.273599104	57142.0	9.09090909091
PD_183P_filtered_1	2.51313603296	48.0	134.815362182	6547299.0	9.09090909091
PD_183P_filtered_2	2.52003436559	48.0	134.983158399	6547299.0	9.09090909091
PD_184S_filtered_1	2.84624729521	45.0	133.574413833	7205878.0	9.09090909091
PD_184S_filtered_2	2.87353719932	45.0	133.747906084	7205878.0	9.09090909091
PD_188S_filtered_1	1.52156136804	47.0	128.320655312	3733916.0	9.09090909091
PD_188S_filtered_2	1.48785358069	47.0	128.472041685	3733916.0	9.09090909091
PD_189P_filtered_1	2.14990394294	46.0	129.356740118	4356600.0	9.09090909091
PD_189P_filtered_2	2.2042951729	46.0	129.591199559	4356600.0	9.09090909091
PD_190S_filtered_1	1.54924965774	48.0	134.874556594	4373247.0	9.09090909091
