Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	517.3 Mbp	151.0	Conventional base calls	pass	fail	pass	3426316.0	pass	warn	warn	50.0	95.9133752712	PD_100P_1.fastq.gz	fail	pass
PD_100P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	517.3 Mbp	151.0	Conventional base calls	pass	fail	pass	3426316.0	pass	warn	fail	51.0	95.2567542132	PD_100P_2.fastq.gz	fail	pass
PD_104P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	797.1 Mbp	151.0	Conventional base calls	pass	pass	pass	5279453.0	pass	fail	fail	49.0	94.4465254599	PD_104P_1.fastq.gz	fail	pass
PD_104P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	797.1 Mbp	151.0	Conventional base calls	pass	warn	pass	5279453.0	pass	warn	fail	49.0	94.2668642913	PD_104P_2.fastq.gz	fail	pass
PD_105P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	569.2 Mbp	151.0	Conventional base calls	pass	fail	pass	3769677.0	pass	fail	fail	55.0	87.6904737684	PD_105P_1.fastq.gz	fail	pass
PD_105P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	569.2 Mbp	151.0	Conventional base calls	pass	fail	pass	3769677.0	pass	warn	fail	57.0	87.4650650389	PD_105P_2.fastq.gz	fail	pass
PD_107P_1	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	812.3 Mbp	151.0	Conventional base calls	pass	fail	pass	5379489.0	pass	fail	fail	83.0	0.727076493697	PD_107P_1.fastq.gz	fail	pass
PD_107P_2	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	812.3 Mbp	151.0	Conventional base calls	pass	fail	pass	5379489.0	pass	fail	fail	99.0	0.51452842454	PD_107P_2.fastq.gz	fail	pass
PD_108S_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	896.1 Mbp	151.0	Conventional base calls	pass	warn	pass	5934877.0	pass	warn	fail	50.0	93.9777874871	PD_108S_1.fastq.gz	fail	pass
PD_108S_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	896.1 Mbp	151.0	Conventional base calls	pass	warn	pass	5934877.0	pass	warn	fail	50.0	93.751288757	PD_108S_2.fastq.gz	fail	pass
PD_109S_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	827.9 Mbp	151.0	Conventional base calls	pass	pass	pass	5483344.0	pass	warn	fail	49.0	93.889405853	PD_109S_1.fastq.gz	fail	pass
PD_109S_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	827.9 Mbp	151.0	Conventional base calls	pass	warn	pass	5483344.0	pass	warn	fail	49.0	93.4914008752	PD_109S_2.fastq.gz	fail	pass
PD_10P_1	fail	0.0	warn	151.0	Sanger / Illumina 1.9	pass	775.7 Mbp	151.0	Conventional base calls	pass	fail	pass	5137447.0	pass	fail	fail	65.0	54.0522702995	PD_10P_1.fastq.gz	fail	pass
PD_10P_2	fail	0.0	warn	151.0	Sanger / Illumina 1.9	pass	775.7 Mbp	151.0	Conventional base calls	pass	fail	pass	5137447.0	pass	fail	fail	71.0	53.7964331607	PD_10P_2.fastq.gz	fail	pass
PD_110S_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	762.7 Mbp	151.0	Conventional base calls	pass	fail	pass	5051185.0	pass	fail	fail	52.0	83.7553327739	PD_110S_1.fastq.gz	fail	pass
PD_110S_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	762.7 Mbp	151.0	Conventional base calls	pass	fail	pass	5051185.0	pass	fail	fail	55.0	83.4360483988	PD_110S_2.fastq.gz	fail	pass
PD_111P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	696.9 Mbp	151.0	Conventional base calls	pass	pass	pass	4615872.0	pass	warn	fail	51.0	91.3648696873	PD_111P_1.fastq.gz	fail	pass
PD_111P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	696.9 Mbp	151.0	Conventional base calls	pass	warn	pass	4615872.0	pass	warn	fail	52.0	91.1226832494	PD_111P_2.fastq.gz	fail	pass
PD_112S_1	fail	0.0	fail	151.0	Sanger / Illumina 1.9	warn	726.1 Mbp	151.0	Conventional base calls	pass	fail	pass	4808982.0	pass	fail	fail	82.0	1.50886403817	PD_112S_1.fastq.gz	fail	pass
PD_112S_2	fail	0.0	fail	151.0	Sanger / Illumina 1.9	pass	726.1 Mbp	151.0	Conventional base calls	pass	fail	pass	4808982.0	pass	fail	fail	98.0	0.71083651384	PD_112S_2.fastq.gz	fail	pass
PD_113P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	834.5 Mbp	151.0	Conventional base calls	pass	fail	pass	5526969.0	pass	warn	fail	53.0	90.8830045988	PD_113P_1.fastq.gz	fail	pass
PD_113P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	834.5 Mbp	151.0	Conventional base calls	pass	fail	pass	5526969.0	pass	warn	fail	53.0	90.7486117503	PD_113P_2.fastq.gz	fail	pass
PD_114P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	656.9 Mbp	151.0	Conventional base calls	pass	fail	pass	4350476.0	pass	fail	fail	54.0	84.7056665629	PD_114P_1.fastq.gz	fail	pass
PD_114P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	656.9 Mbp	151.0	Conventional base calls	pass	fail	pass	4350476.0	pass	fail	fail	55.0	84.435844641	PD_114P_2.fastq.gz	fail	pass
PD_115S_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	651.5 Mbp	151.0	Conventional base calls	pass	fail	pass	4314601.0	pass	warn	fail	51.0	87.1233289163	PD_115S_1.fastq.gz	fail	pass
PD_115S_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	651.5 Mbp	151.0	Conventional base calls	pass	fail	pass	4314601.0	pass	warn	fail	52.0	86.9502488548	PD_115S_2.fastq.gz	fail	pass
PD_116P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	967.1 Mbp	151.0	Conventional base calls	pass	warn	pass	6404676.0	pass	fail	fail	49.0	93.6734804528	PD_116P_1.fastq.gz	fail	pass
PD_116P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	967.1 Mbp	151.0	Conventional base calls	pass	warn	pass	6404676.0	pass	warn	fail	50.0	93.4593137004	PD_116P_2.fastq.gz	fail	pass
PD_117_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	687.4 Mbp	151.0	Conventional base calls	pass	warn	pass	4552609.0	pass	warn	fail	48.0	93.8243146218	PD_117_1.fastq.gz	fail	pass
PD_117_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	687.4 Mbp	151.0	Conventional base calls	pass	warn	pass	4552609.0	pass	warn	fail	49.0	93.4811974429	PD_117_2.fastq.gz	fail	pass
PD_118_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	723 Mbp	151.0	Conventional base calls	pass	warn	pass	4788321.0	pass	warn	fail	50.0	91.9010668341	PD_118_1.fastq.gz	fail	pass
PD_118_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	723 Mbp	151.0	Conventional base calls	pass	warn	pass	4788321.0	pass	warn	fail	51.0	91.5443263372	PD_118_2.fastq.gz	fail	pass
PD_119P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	715.9 Mbp	151.0	Conventional base calls	pass	pass	pass	4741097.0	pass	fail	fail	52.0	90.6535152425	PD_119P_1.fastq.gz	fail	pass
PD_119P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	715.9 Mbp	151.0	Conventional base calls	pass	fail	pass	4741097.0	pass	warn	fail	53.0	90.3713640901	PD_119P_2.fastq.gz	fail	pass
PD_11P_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	799.1 Mbp	151.0	Conventional base calls	pass	fail	pass	5292450.0	pass	fail	fail	55.0	81.5852421212	PD_11P_1.fastq.gz	fail	pass
PD_11P_2	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	799.1 Mbp	151.0	Conventional base calls	pass	fail	pass	5292450.0	pass	fail	fail	57.0	81.2949163359	PD_11P_2.fastq.gz	fail	pass
PD_120S_1	fail	0.0	pass	151.0	Sanger / Illumina 1.9	pass	569.4 Mbp	151.0	Conventional base calls	pass	warn	pass	3770955.0	pass	fail	fail	51.0	92.783834037	PD_120S_1.fastq.gz	fail	pass
