feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	Group	PD	GroupPD	-0.712676343	0.242512267	0.253668848	0.000323454	0.615665296	0.000646803	0.846109679	NA	abundance	146	132
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anthropogastromicrobium;s__Anthropogastromicrobium sp934292725	Group	PD	GroupPD	-2.035633271	0	0.544336802	0.000184271	0.615665296	0.000368508	0.846109679	NA	prevalence	146	94
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp003478505	Group	PD	GroupPD	-2.075308931	0	0.550655952	0.000164038	0.615665296	0.000164038	0.846109679	NA	prevalence	146	22
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp003480315	Group	PD	GroupPD	-2.03545946	0	0.57494496	0.00039972	0.615665296	0.000799281	0.846109679	NA	prevalence	146	21
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola sp003480725	Group	PD	GroupPD	-1.686314228	0	0.456599146	0.000221445	0.615665296	0.000442842	0.846109679	NA	prevalence	146	40
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B zhanii	Group	PD	GroupPD	-2.042651809	0	0.577258949	0.000402352	0.615665296	0.000804542	0.846109679	NA	prevalence	146	20
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Limiplasma;s__Limiplasma pullistercoris	Group	PD	GroupPD	-1.500353889	0.242512267	0.276350764	0.000800287	0.720907378	0.001599934	0.990126363	NA	abundance	146	13
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UMGS416;g__Parachristensenella;s__Parachristensenella sp900542005	Sex_Male1_Female2	Female	Sex_Male1_Female2Female	0.819782627	0.083843141	0.167611694	0.001572122	0.720907378	0.003141771	0.990126363	NA	abundance	146	17
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	Group	PD	GroupPD	-0.963669848	0.242512267	0.370202551	0.001648446	0.720907378	0.003294175	0.990126363	NA	abundance	146	110
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alitiscatomonas;s__Alitiscatomonas aceti	BMI	BMI	BMI	0.265674435	-0.012478422	0.072013998	0.000782513	0.720907378	0.001564413	0.990126363	NA	abundance	146	82
