feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Pullichristensenella;s__Pullichristensenella excrementigallinarum	Group	PD	GroupPD	-0.293890351	0.237902005	0.201447921	0.018786505	0.320921188	0.018786505	0.320921188	NA	abundance	146	18
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii	Group	PD	GroupPD	0.887136319	0.237902005	0.271198491	0.01930353	0.320921188	0.01930353	0.320921188	NA	abundance	146	96
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp900539115	Group	PD	GroupPD	-0.496231742	0.237902005	0.300622975	0.021312609	0.340149243	0.021312609	0.340149243	NA	abundance	146	31
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Limivivens;s__Limivivens faecihominis	Group	PD	GroupPD	-0.01397717	0.237902005	0.106360862	0.024334227	0.362956563	0.024334227	0.362956563	NA	abundance	146	75
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola sp003480725	Group	PD	GroupPD	-0.079246077	0.237902005	0.133251875	0.025259533	0.362956563	0.025259533	0.362956563	NA	abundance	146	40
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_F	Group	PD	GroupPD	1.365861183	0.237902005	0.494230133	0.026323201	0.362956563	0.026323201	0.362956563	NA	abundance	146	61
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus;s__Hominisplanchenecus faecis	Group	PD	GroupPD	-0.448356378	0.237902005	0.300529866	0.026380302	0.362956563	0.026380302	0.362956563	NA	abundance	146	65
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp000435975	Group	PD	GroupPD	1.220364954	0.237902005	0.423827758	0.029214717	0.38569249	0.029214717	0.38569249	NA	abundance	146	27
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp000433735	Group	PD	GroupPD	-0.412795591	0.237902005	0.285972749	0.030861008	0.38569249	0.030861008	0.38569249	NA	abundance	146	32
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Evtepia;s__Evtepia gabavorous	Group	PD	GroupPD	0.616149403	0.237902005	0.170774332	0.03140434	0.38569249	0.03140434	0.38569249	NA	abundance	146	82
