# Pathway,PD_100P,PD_104P,PD_105P,PD_108S,PD_109S,PD_10P,PD_110S,PD_111P,PD_113P,PD_114P,PD_115S,PD_116P,PD_117,PD_118,PD_119P,PD_11P,PD_120S,PD_121S,PD_122S,PD_123P,PD_126P,PD_127S,PD_128S,PD_129P,PD_12P,PD_130S,PD_131P,PD_134S,PD_137P,PD_138S,PD_13P,PD_140S,PD_141P,PD_142S,PD_145P,PD_146S,PD_147,PD_148P,PD_149S,PD_14P,PD_150P,PD_151S,PD_152P,PD_153S,PD_156P,PD_157S,PD_158P,PD_159S,PD_15P,PD_160P,PD_162P,PD_163S,PD_164P,PD_165S,PD_166,PD_167P,PD_169P,PD_16P,PD_170S,PD_171P,PD_172S,PD_173P,PD_174S,PD_175P,PD_176S,PD_177P,PD_178S,PD_179P,PD_180S,PD_181P,PD_183P,PD_184S,PD_188S,PD_189P,PD_190S,PD_193P,PD_194S,PD_195,PD_196,PD_197,PD_198,PD_1P,PD_200S,PD_203,PD_204,PD_205P,PD_206S,PD_207P,PD_208S,PD_209P,PD_210S,PD_213S,PD_214S,PD_215S,PD_221P,PD_222S,PD_223P,PD_224S,PD_225P,PD_226S,PD_227P,PD_228S,PD_229P,PD_230S,PD_231P,PD_232S,PD_25P,PD_27P,PD_28P,PD_29P,PD_2P,PD_30P,PD_31P,PD_32P,PD_33P,PD_34P,PD_35P,PD_38P,PD_39P,PD_3P,PD_40P,PD_41P,PD_42P,PD_43P,PD_44P,PD_45P,PD_46P,PD_47P,PD_48P,PD_4P,PD_50P,PD_51P,PD_52P,PD_53P,PD_54P,PD_55P,PD_56P,PD_57P,PD_58P,PD_59P,PD_5P,PD_60P,PD_63P,PD_64P,PD_65P,PD_66P,PD_6P,PD_70P,PD_73P,PD_74P,PD_75P,PD_76P,PD_77P,PD_78P,PD_79S,PD_7P,PD_82P,PD_84P,PD_8P,PD_9P
1CMET2-PWY: folate transformations III (E. coli),964.754118,1585.126801,776.5741431,2113.276244,1801.533496,557.4191549,1493.837652,1554.270433,2221.405518,1489.980598,1667.74521,2117.564446,1359.350627,1551.418123,1443.540683,1750.915134,1024.482891,1147.39786,1074.529571,1388.638448,1314.165645,1575.182693,1848.941544,1227.946336,1160.74718,1681.570074,1527.026601,2422.843072,1894.610852,1180.702687,1269.571926,2764.01944,1996.037255,2000.332949,1990.093954,1229.652231,1610.180918,2014.53206,786.6461884,1237.573115,1393.689282,1478.244754,1399.587676,2485.453773,1658.912838,1870.805964,2214.794659,2243.016849,1279.767145,1509.335636,1702.219334,2203.791751,1145.24776,2122.665154,1170.103042,1802.722987,1997.539768,1373.063081,1239.737468,1898.840479,853.0993149,1402.28065,1666.361768,1182.209233,1573.306526,1166.08694,2288.672862,2817.127078,1804.047661,1473.355238,2490.465648,2925.470875,1419.921982,1468.345031,1546.922289,1953.309281,1366.88744,1740.792286,3011.960936,1976.627732,1606.437565,846.4254711,1565.498819,1215.01233,1321.202623,1265.45048,2156.768896,2109.778628,1596.304732,1895.704348,1687.553952,1873.243016,1484.107806,2622.031018,1506.470686,1597.040678,2932.971457,3151.730181,2338.289702,1664.728877,1261.39248,1554.854504,2310.990016,2403.699611,2119.611041,2309.712321,1181.736676,1274.472283,0,992.1905315,885.9607085,921.9927621,1187.600459,1411.342125,1624.411611,1579.385124,1817.474524,1325.633279,559.4474559,1444.74449,1466.184692,1093.371125,1824.502363,676.1973781,1394.446422,1548.885251,1403.538565,1283.712678,1353.808263,937.947486,27.88184489,1469.30697,776.6742219,1058.226969,1243.184373,2058.212062,2230.266043,1973.129335,1329.843,586.9583324,1311.587567,1248.21538,1176.576774,1282.085669,951.880062,1115.580285,847.7897793,887.8243366,301.9972441,1481.675153,1034.038849,1196.769115,1262.127081,862.056731,1457.797402,1512.832125,1206.560477,657.1123277,1260.757132,1678.27419
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,0,0,7.74395233,0,0,0,0,166.9721951,37.22262653,218.6564481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29293861,0,0,0,0,0,0,0,0,0,0,17.25587407,247.9756346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.0547764,0,0,0,0,0,0,0,0,0,69.7563705,275.2940867,0,0,0,0,9.663582155,0,56.19510402,0,0,0,0,0,0,0,0,0,0,75.75801551,0,0,0,0,0,0,0,0,354.7012808,0,0,0,0,0,0,0,0,0,0,0,0,0,32.36942652,19.57958588,0,11.77410782,0,0,0,0,0,81.61986627,0,0,0,0,0,0,400.2408273,0,0,8.436528864,0,0,0,0,0,0,0,0,0,0,0,0,16.13072169,0,0,0,0,0,0,23.53231738,0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEROBACTINSYN-PWY: aerobactin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.6761583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.79317181,0,33.50836595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6548994,0,0,0,0,0,0,0,0,0,0,43.51986671,0,0,0,0,0,17.99267789,0,0,14.3785977,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,24.96678549,0,5.669756669,19.92170986,0,0,0,0,156.2964318,0,0,0,0,0,70.42488752,0,18.6720328,0,0,15.84489122,0,0,0,0,0,0,0,0,0,0,0,0,24.98625061,0,22.09929665,0,0,13.75987215,0,0,13.69531677,0,14.04280034,219.6536903,0,0,0,0,59.80833305,0,83.7469071,31.16795326,3.734488276,14.65323377,0,20.81677324,0,0,0,0,0,0,0,0,30.66054603,0,0,21.77014186,0,0,0,0,0,0,0,21.64400219,0,64.22732754,0,0,0,0,0,10.17475148,0,0,0,0,0,0,16.85527697,0,0,0,0,0,0,0,0,0,0,0,146.9074631,0,0,0,0,6.973068082,0,0,0,0,52.22258904,0,0,0,17.43535578,0,0,38.4157557,0,0,36.36538422,14.59862744,0,0,0,0,0,15.21140836,0,0,7.368149936,0,0,33.77595121,0,80.38223402,28.39872604,0,105.6726786,0,0,71.87975051,0,0,42.23049036,0,0,0,0,122.9782936,0,0,0,0,22.30007901,0,0,0
ANAEROFRUCAT-PWY: homolactic fermentation,1029.162338,749.0716192,1005.405588,552.7313793,668.7753867,360.0274294,551.5320448,1486.45309,2120.807569,1100.997112,216.0969731,836.9444111,733.5498888,776.2179576,1147.980741,1338.430847,742.1639045,944.173384,864.5024151,632.4333829,898.2574313,977.2882613,938.6423268,1403.460108,697.9306318,647.8092365,438.4041907,697.4114432,850.2472103,416.8971843,357.4956245,1502.532107,505.4464903,359.4674975,1080.635366,546.2116715,721.6814308,885.3593432,609.6978314,873.9041389,1549.624288,564.6289914,591.628423,2511.682498,355.0046077,751.9232621,645.3691369,671.0306637,981.5106607,1681.171514,1367.625784,861.2520702,921.9474223,1484.194857,200.9356924,1081.429795,937.3230654,498.7603532,698.8759924,576.7318714,475.4451949,922.9347383,581.5292827,700.5517344,676.4523259,482.2216604,728.3293366,3124.806562,923.9625916,1767.312194,990.0998531,797.4154251,558.3441309,719.8008997,632.5286902,1259.050396,1000.617714,1337.151383,2366.761491,1898.663183,575.3114905,714.4153459,658.1588186,921.5619598,789.481253,1139.57415,869.0703561,1644.856755,540.215511,736.8901082,534.93284,525.9648557,509.6619719,1092.024455,858.9765599,512.1840999,1528.344937,1189.39864,788.6082062,407.0077456,728.7850738,740.9530873,1820.643203,927.2918035,940.7336905,2164.175369,659.2642552,664.8901737,14.64932387,996.5620974,470.9042366,452.985031,1292.2947,717.7957645,425.1841303,612.6077309,565.1351601,235.3315954,400.8207057,1159.406783,1003.136778,795.5628828,1809.518904,484.520777,871.3921752,773.4376887,1402.592059,827.6155266,1146.588046,458.6344548,0,652.3913979,580.2841366,684.0140333,699.072759,2174.543732,1329.585507,700.9907128,1196.630492,388.2407606,1145.980276,638.9910848,378.6633523,737.4866019,855.8865715,311.5199749,492.8069756,511.1538218,199.4745405,1477.377899,389.909486,993.9945788,403.8960176,462.6096178,901.0853817,184.4459477,380.8914674,344.2852066,644.3085488,1112.577353
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),1348.054032,2318.141248,1380.072382,2848.463269,2330.849267,641.3907499,1926.112088,1982.048544,2686.231655,1711.404391,1970.482515,3186.767248,1612.164007,1889.645701,1752.060815,2172.270845,1378.937929,1656.354059,2044.01424,2055.114483,1593.196837,1958.059204,2468.520686,1866.389614,1211.859365,1846.396717,1609.186475,3422.093356,2598.605461,1313.882932,1555.741712,3769.661929,2429.918147,2352.889729,2784.628439,1881.055749,2291.278374,2729.380315,1399.158082,1563.268198,1980.785637,2030.354903,1496.314086,3417.145525,2130.329179,2314.638297,2837.741304,3224.726364,1869.042085,2208.662768,2241.779257,2717.069762,1541.882954,2383.758233,1862.747276,1752.708912,1899.620111,1891.756443,1905.218753,2283.2244,1029.345931,1656.775056,2105.019321,1193.771702,2114.332508,1716.732565,2914.281889,3864.72172,2331.613771,2280.818706,2958.627577,4130.826229,2071.35033,2092.424577,2252.835421,2073.55662,1896.49782,1796.588723,3336.845335,2551.704096,1883.067973,1037.512798,2313.821543,1678.352557,1288.014659,1457.708428,2608.051581,2795.621145,1927.635234,2995.651724,2240.528681,2657.370249,2138.768083,3164.862772,2094.824338,2344.940375,2824.787859,4225.58665,2841.267084,1955.236427,1870.055056,2289.895446,2859.994725,3297.90078,2889.883691,2746.378559,1621.947329,1758.631982,38.15949276,1453.554849,995.4908775,1124.686119,1664.19412,1686.457214,1804.965871,1740.081821,2503.379558,1891.002107,818.9801383,1789.458856,1786.324301,1344.323124,2322.758966,925.6755671,1874.816748,2100.113879,1803.994391,1775.317636,1567.996115,1169.634903,26.50007948,1936.357025,928.3429479,1291.650892,1516.54753,2711.190995,3310.769895,2317.989023,1550.47748,663.6888503,1583.735468,1319.22626,1526.765894,1648.202677,1428.984353,1446.015235,1030.456432,1273.223133,414.5897503,1885.833276,1329.993471,1323.640467,1406.450288,996.7562335,1836.396703,1733.126563,1639.460122,572.6307142,1619.996204,1919.001415
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,239.9879796,206.2074031,112.1722078,202.63604,152.3283868,0,174.6066543,808.2420976,673.632434,795.8937295,254.293514,342.3142035,98.60917449,81.6692511,701.7775292,169.6859255,220.2784208,212.691717,94.69812158,125.5572746,292.2464486,426.6389936,380.8518395,0,280.144361,224.8876485,84.40583067,381.7110964,166.0379886,247.0179657,106.9736218,494.3105848,226.2947169,164.3939698,584.1123118,216.2885853,193.1798068,287.2835707,183.0093533,138.1352721,0,96.62286517,376.7096438,1959.257291,226.6538135,121.03103,293.6284505,346.415005,480.0745287,435.2043645,1047.271041,634.5789818,129.2329432,582.9903828,0,504.1924649,119.8309698,146.9960546,196.325181,284.1842381,73.32832486,198.6747218,128.757737,93.54498258,111.9018097,72.13049962,380.4649909,2523.849623,286.3925438,164.4617522,156.7642871,246.1465854,182.5996347,36.94511306,195.9749252,503.5105056,72.09536242,723.3869807,1636.954991,393.6464292,125.3612156,0,134.7833646,293.2101804,118.6486187,660.7498134,360.9123354,39.71016944,27.77724949,83.09599657,271.7243772,157.5803674,261.6609489,679.4461798,266.2373523,336.3857607,1056.894593,305.82967,453.413228,221.7123307,429.4646303,173.1662232,851.3301137,0,221.1988669,1579.405941,75.83089254,256.5645153,0,109.9178352,54.76558958,138.4317531,346.0574069,54.15116768,347.3085282,307.3320903,329.4142454,51.77886733,59.68891849,718.6536455,695.6276902,65.15426313,142.6484594,249.8128183,107.6389739,382.0338691,788.2663643,206.9960958,409.0685046,175.8236095,0,0,187.6892626,0,118.4896297,1551.95837,251.045199,627.5230131,186.5914536,0,896.4201698,158.9134965,207.4421124,281.4331877,113.8816989,0,248.806811,124.804578,0,820.7191487,78.99880167,565.4474243,221.9898166,148.1124914,302.2109107,0,218.5584152,60.93707574,421.031962,122.6383047
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",27.75417545,0,14.42550917,0,0,0,0,134.6276976,25.53156576,120.6460386,0,0,0,0,64.71600987,0,0,0,0,0,0,42.74748723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.84534737,732.8134122,0,0,0,0,0,0,0,0,0,0,0,53.48265728,0,0,0,0,0,0,0,0,0,0,0,789.5451864,0,0,0,0,0,0,0,0,0,0,537.4035233,32.24416223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14242783,0,138.1783939,0,0,0,0,0,0,0,0,522.6149331,0,0,0,0,0,0,0,0,0,0,0,0,0,45.51854178,148.3995516,0,0,14.41007313,0,0,44.170285,0,90.14462091,0,0,0,0,0,0,670.0561425,0,0,0,0,125.4934853,0,0,20.17693551,0,0,0,0,0,171.1829825,0,16.93893038,0,0,0,0,0,0,16.65198614,0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,158.1846103,616.0555053,115.0101428,97.74843361,565.8648293,72.35984438,681.2954924,740.0369851,296.2457139,689.3681531,844.3321961,157.387022,449.921984,265.7341601,463.8681949,119.1759179,72.58610599,81.70712716,134.499159,883.5850178,71.18744615,166.5766493,137.8764302,118.740143,113.8812348,815.0477633,706.6752545,664.9008739,410.6288651,800.2910705,354.919501,154.5210574,68.62018637,85.39928378,388.6884341,367.82123,625.9187604,428.4804798,116.5833434,70.34964711,562.2111045,53.08422468,129.4351969,1082.620419,159.9763868,880.0971294,303.9508039,228.6040033,573.4540799,471.0515886,666.313117,315.0426927,478.0100507,568.6208453,0,882.8405965,834.6060367,225.342511,223.6774097,796.674694,154.9044941,305.290439,460.5326495,631.4912511,276.2344377,345.5054993,362.2407903,1782.696951,168.8383669,202.59859,565.2372055,717.6001443,164.7013514,59.37344653,317.2802813,1000.955697,230.5767517,260.7020751,858.915728,230.0685959,460.3257583,253.1695152,145.1775768,231.2159399,542.5397908,449.6844365,478.9701291,90.09995331,405.9240442,268.3173841,454.0902242,522.2018174,128.4511441,1108.766998,371.8200658,114.0565925,512.9617767,179.639799,614.6247704,638.7583234,359.8479628,270.7282349,425.6563126,71.18341599,226.9784169,724.6174025,71.19418107,127.0792007,14.54892085,182.0959724,26.07523547,193.2273547,201.2629585,643.11172,282.6029041,700.0962848,12.59280237,43.29894665,157.9584133,368.5868312,16.4386237,336.0018902,204.1775731,255.8745662,33.67527936,266.9987091,530.853003,188.6152788,230.1948689,307.8838601,0,393.3048498,125.6146948,215.8050931,705.3438256,868.3362821,112.7287539,158.9699779,416.0132044,313.9135658,514.0006707,180.7221714,30.83092915,373.9908468,84.05438054,60.70158655,123.5529669,20.99698381,38.96990909,463.046654,126.5405958,340.1129287,68.11701512,180.6641753,188.90129,0,232.1006745,135.1051907,522.6749181,205.0218922
