# Pathway	PD_100P_Abundance	PD_104P_Abundance	PD_105P_Abundance	PD_107P_Abundance	PD_108S_Abundance	PD_109S_Abundance	PD_10P_Abundance	PD_110S_Abundance	PD_111P_Abundance	PD_112S_Abundance	PD_113P_Abundance	PD_114P_Abundance	PD_115S_Abundance	PD_116P_Abundance	PD_117_Abundance	PD_118_Abundance	PD_119P_Abundance	PD_11P_Abundance	PD_120S_Abundance	PD_121S_Abundance	PD_122S_Abundance	PD_123P_Abundance	PD_126P_Abundance	PD_127S_Abundance	PD_128S_Abundance	PD_129P_Abundance	PD_12P_Abundance	PD_130S_Abundance	PD_131P_Abundance	PD_134S_Abundance	PD_137P_Abundance	PD_138S_Abundance	PD_13P_Abundance	PD_140S_Abundance	PD_141P_Abundance	PD_142S_Abundance	PD_145P_Abundance	PD_146S_Abundance	PD_147_Abundance	PD_148P_Abundance	PD_149S_Abundance	PD_14P_Abundance	PD_150P_Abundance	PD_151S_Abundance	PD_152P_Abundance	PD_153S_Abundance	PD_156P_Abundance	PD_157S_Abundance	PD_158P_Abundance	PD_159S_Abundance	PD_15P_Abundance	PD_160P_Abundance	PD_161S_Abundance	PD_162P_Abundance	PD_163S_Abundance	PD_164P_Abundance	PD_165S_Abundance	PD_166_Abundance	PD_167P_Abundance	PD_169P_Abundance	PD_16P_Abundance	PD_170S_Abundance	PD_171P_Abundance	PD_172S_Abundance	PD_173P_Abundance	PD_174S_Abundance	PD_175P_Abundance	PD_176S_Abundance	PD_177P_Abundance	PD_178S_Abundance	PD_179P_Abundance	PD_180S_Abundance	PD_181P_Abundance	PD_182S_Abundance	PD_183P_Abundance	PD_184S_Abundance	PD_188S_Abundance	PD_189P_Abundance	PD_190S_Abundance	PD_191P_Abundance	PD_192S_Abundance	PD_193P_Abundance	PD_194S_Abundance	PD_195_Abundance	PD_196_Abundance	PD_197_Abundance	PD_198_Abundance	PD_199P_Abundance	PD_1P_Abundance	PD_200S_Abundance	PD_203_Abundance	PD_204_Abundance	PD_205P_Abundance	PD_206S_Abundance	PD_207P_Abundance	PD_208S_Abundance	PD_209P_Abundance	PD_210S_Abundance	PD_211P_Abundance	PD_212S_Abundance	PD_213S_Abundance	PD_214S_Abundance	PD_215S_Abundance	PD_216S_Abundance	PD_217P_Abundance	PD_218S_Abundance	PD_221P_Abundance	PD_222S_Abundance	PD_223P_Abundance	PD_224S_Abundance	PD_225P_Abundance	PD_226S_Abundance	PD_227P_Abundance	PD_228S_Abundance	PD_229P_Abundance	PD_230S_Abundance	PD_231P_Abundance	PD_232S_Abundance	PD_25P_Abundance	PD_26P_Abundance	PD_27P_Abundance	PD_28P_Abundance	PD_29P_Abundance	PD_2P_Abundance	PD_30P_Abundance	PD_31P_Abundance	PD_32P_Abundance	PD_33P_Abundance	PD_34P_Abundance	PD_35P_Abundance	PD_36P_Abundance	PD_38P_Abundance	PD_39P_Abundance	PD_3P_Abundance	PD_40P_Abundance	PD_41P_Abundance	PD_42P_Abundance	PD_43P_Abundance	PD_44P_Abundance	PD_45P_Abundance	PD_46P_Abundance	PD_47P_Abundance	PD_48P_Abundance	PD_4P_Abundance	PD_50P_Abundance	PD_51P_Abundance	PD_52P_Abundance	PD_53P_Abundance	PD_54P_Abundance	PD_55P_Abundance	PD_56P_Abundance	PD_57P_Abundance	PD_58P_Abundance	PD_59P_Abundance	PD_5P_Abundance	PD_60P_Abundance	PD_63P_Abundance	PD_64P_Abundance	PD_65P_Abundance	PD_66P_Abundance	PD_6P_Abundance	PD_70P_Abundance	PD_73P_Abundance	PD_74P_Abundance	PD_75P_Abundance	PD_76P_Abundance	PD_77P_Abundance	PD_78P_Abundance	PD_79S_Abundance	PD_7P_Abundance	PD_81P_Abundance	PD_82P_Abundance	PD_83P_Abundance	PD_84P_Abundance	PD_8P_Abundance	PD_9P_Abundance	PD_Extr_neg_plate1_Abundance	PD_Extr_neg_plate2_Abundance	PD_Extr_neg_plate3_Abundance	PD_Extr_pos_plate1_Abundance	PD_Extr_pos_plate2_Abundance	PD_Extr_pos_plate3_Abundance	PD_Lib_neg_plate1_Abundance	PD_Lib_neg_plate2_Abundance	PD_Lib_pos_plate1_Abundance	PD_Lib_pos_plate2_Abundance
UNMAPPED	1231236.7371597437	1093134.4232071445	955282.5894264017	0.0000000000	1254580.5221267506	1020907.9595405363	888384.3985305446	828184.4761123272	1143059.8769900256	0.0000000000	1239156.6949375451	1110785.5751597162	707454.3957456779	1216952.6791312105	1235472.2410655557	1081503.9137642670	1345611.2039147234	1126339.8642623443	1136410.7539149188	2130065.7180241696	1158246.7066306842	1254975.1403437208	1902904.7731807576	1869577.4524308764	1375121.6379059765	757403.6802159704	869896.8995518202	775681.0965375479	862715.9650137024	1347888.7997890215	1092024.7934155080	660942.7883839954	962333.9166729605	1462612.3176985427	1767102.8716796155	840367.3233162543	1628763.4377628602	1081151.8544959915	1127673.1848640498	1331910.3944985305	1447095.6238351329	885732.1688713375	1304066.0198693990	1033999.7960590202	1124403.8108759217	1648712.5794573803	773477.6284721856	1029867.1984556447	1200630.1692191728	1062934.4750413825	918739.5295149916	1489473.9948276018	18039.2786853867	1497420.7634509779	1230108.1448013361	950991.2612615055	1719336.2708848533	985616.9868134757	1023365.8673636999	1290119.7654743684	1024079.0793504112	1204592.4292673962	1263912.6773139255	1166099.4741358429	1236229.2218077444	1237576.5257836462	924052.8033362093	1248556.4881108783	881341.5648325898	1287283.9689561026	1288580.9999846653	1135614.4507322269	1438785.3771977143	61772.4322455099	1378706.1361652883	1329823.3875662298	932059.0575228509	1144907.3556621990	1097902.4376016008	0.0000000000	0.0000000000	1138863.3522751881	897782.9372009492	1800249.6201558379	1690386.3235139491	1426647.7406446873	860499.4174544718	0.0000000000	1186642.3634195514	1355599.5760352171	1451899.9746209646	1035604.1000072785	1140832.9025048383	1302875.6288469471	1246166.2205385766	918711.7329365965	1119331.4298759731	1040478.7290043489	0.0000000000	0.0000000000	1363859.0968269079	1092612.6978662412	1305651.2225515069	0.0000000000	0.0000000000	0.0000000000	1290103.6294990724	1171357.2656386113	1622347.7432205013	1240698.8449798492	1258653.6070589265	1016794.2831344347	1037781.9166299170	1314373.6441629690	1093688.5841045182	924199.3518051625	1440190.5194505721	1346278.5117376337	1065921.1662432465	0.0000000000	1228879.5019045717	162804.9357506794	987623.5983042254	826585.1825566835	756529.7206274973	959865.2756715845	1005507.3050651358	1151607.8555016820	1218703.1820885900	866024.2745312654	0.0000000000	796188.4484073451	771518.7626808370	998841.1466899314	845110.4385554640	859523.0307196479	1156705.6742427812	814405.7679917712	917569.8049798179	1122021.7487665971	1395519.7815131557	853064.6284881626	967872.1767123087	1020776.7866095010	118856.1122339843	777226.4138412738	858531.8515427883	915586.7110780103	924795.2199843318	1073911.4320411349	1527688.9895606688	867767.8551265777	1059721.9361461485	798595.7037987581	1175688.5426745033	1046634.2202065183	802027.5346531320	1250128.0442820957	1220371.1188136658	633231.6373728451	780137.0651825685	812803.3000582497	500417.9382515126	1009967.6586801012	758102.5227263633	794946.2179419703	1163580.6969002690	809300.7976959372	1064033.8310599262	599623.2598702241	0.0000000000	833674.3111267230	43413.0713382983	1013894.2226379790	1214996.6975305427	768891.4848440296	0.0000000000	0.0000000000	0.0000000000	52160.0000000000	0.0000000000	974783.3738780440	0.0000000000	0.0000000000	894287.5864188280	851454.7771320894
UNINTEGRATED	1903231.5121925732	3086085.6824760009	2094575.4165443452	0.0000000000	3250643.5827766559	3139828.9750398411	1100676.3689047243	2575786.0656042094	3849515.5620409027	0.0000000000	4402999.1587051181	3252218.9269595300	2617541.2035305095	3770595.5606134110	2220481.7074311581	2400169.9365437636	3182573.0669957469	2703596.5346929422	1839612.6556123181	2224558.8841352551	2356642.9576568073	3245275.4376965938	2217651.9400048070	2676999.2648510248	2628075.1704448862	2124995.7848124132	1796991.7994380256	2538951.2354137804	2564350.1928330320	4040352.4043027475	3097908.0904970826	2180418.4097743044	2238019.3390011443	4608493.5782697927	2958464.8425191827	2540078.1550079375	3861397.7633848013	2420035.9696334000	2965159.2685107742	3499166.1742796111	1620524.6386989146	1746677.2533506213	2927737.4626268172	2237273.1624103449	2045386.0472574001	5442758.7737125754	2364211.5354721565	3232799.9125200179	3381891.8047098606	3834709.5916683380	2700785.4825525433	3294667.8997100927	2421.3863430208	3704659.2931104382	3412548.4668243928	2454761.2021471020	4282240.1166424025	2310065.0819736184	3825722.3927970617	2851614.0613494585	2175120.7024967852	2455680.0530278389	2920246.7361976886	1396314.0898973455	2585978.3800678188	3128418.1854072534	2164263.8791911025	2911393.7892951681	2559921.8192728688	3471037.6158337099	6839335.7077733763	2767295.8595346850	2905235.8994985744	15119.4733908996	4285648.7845269796	4790510.4510810059	2159775.4562507300	2455269.0722521581	2614553.1076281494	0.0000000000	0.0000000000	3494179.6399675119	2286058.7565248236	3244723.9319463172	6016900.9328013286	3494609.7289106846	2242356.5574926580	0.0000000000	1683965.5694443656	2444649.7628764994	2316326.6306004133	2400702.9155382132	2606775.1408110214	3447150.5281714448	3374952.0077743027	2328711.8246971169	3318999.3335870993	2651012.5166426091	0.0000000000	0.0000000000	3314825.6943651079	2948574.5447573112	4384708.5938940300	0.0000000000	0.0000000000	0.0000000000	2907817.2875845013	2599791.6961821779	4573979.2841714695	4795872.3969016261	3996211.8450869052	2826937.0986181269	2267364.9034579634	2669500.8370933551	4277529.6683604103	3385746.1202590829	3672755.7441150197	5068345.4600210534	1649180.0039163285	0.0000000000	2294296.7101516663	45547.3714559735	1868753.6784834596	1210240.6239717233	1392050.3151917267	2618446.2191342795	2442792.2621638966	2132837.4048163029	2586260.5005773134	2532578.7140936507	0.0000000000	1897193.7232930318	966209.9606358387	2928517.1786013748	2331785.1053358070	1995545.7004692911	2943076.3942290312	1418831.7442105024	2166110.1779114828	2540437.5665410273	3305933.2819044557	2246716.4424946317	2444097.7333229263	1785613.4294300042	50243.6769108340	2171329.9714016551	1338925.7451470252	1710689.4986334308	2310089.1507770792	4316789.2555166986	3806184.4916500524	2609090.4526803368	2430527.7561903638	1199415.9607122028	2764655.0568582816	1795349.3372292847	1874740.5898792029	2240618.1611438063	1836596.7070266891	1623666.0009707997	1542691.4137111232	1608217.9335034837	505549.7771917048	3133994.4997260352	1585023.1968211897	2224164.1133979182	1746679.9517631049	1447747.4747746922	2171591.7364581050	1797027.7240122368	0.0000000000	1858068.1169913800	11316.6235747320	1232605.6266701862	2749659.7491296148	2524806.1868714043	0.0000000000	0.0000000000	0.0000000000	12862.3211228396	0.0000000000	9738476.8789255414	0.0000000000	0.0000000000	6631171.5829761783	6268347.2954227077
1CMET2-PWY: folate transformations III (E. coli)	964.7541180313	1585.1268005793	776.5741431198	0	2113.2762443782	1801.5334962593	557.4191549181	1493.8376523893	1554.2704328417	0	2221.4055179111	1489.9805983632	1667.7452101503	2117.5644458846	1359.3506266374	1551.4181229770	1443.5406829009	1750.9151340543	1024.4828910790	1147.3978604898	1074.5295711007	1388.6384477041	1314.1656451458	1575.1826928274	1848.9415444489	1227.9463355049	1160.7471800229	1681.5700740587	1527.0266013786	2422.8430720494	1894.6108521451	1180.7026872860	1269.5719263427	2764.0194402789	1996.0372545118	2000.3329487301	1990.0939541384	1229.6522313739	1610.1809178555	2014.5320601148	786.6461884388	1237.5731151271	1393.6892818860	1478.2447541484	1399.5876764530	2485.4537727956	1658.9128376647	1870.8059642043	2214.7946585312	2243.0168485178	1279.7671454963	1509.3356358398	0	1702.2193342312	2203.7917513947	1145.2477596159	2122.6651542043	1170.1030420712	1802.7229868088	1997.5397681184	1373.0630814801	1239.7374676854	1898.8404787020	853.0993149057	1402.2806497052	1666.3617678122	1182.2092326410	1573.3065263602	1166.0869403534	2288.6728623853	2817.1270782004	1804.0476614025	1473.3552383634	0	2490.4656476862	2925.4708749215	1419.9219824841	1468.3450310828	1546.9222888907	0	0	1953.3092813134	1366.8874400079	1740.7922856869	3011.9609357458	1976.6277319535	1606.4375646600	0	846.4254710643	1565.4988190582	1215.0123300599	1321.2026227631	1265.4504801833	2156.7688963534	2109.7786276139	1596.3047321970	1895.7043479948	1687.5539521665	0	0	1873.2430160309	1484.1078055031	2622.0310177469	0	0	0	1506.4706859685	1597.0406784344	2932.9714571534	3151.7301806839	2338.2897023501	1664.7288772289	1261.3924796969	1554.8545036862	2310.9900159992	2403.6996108142	2119.6110409561	2309.7123205394	1181.7366764330	0	1274.4722828636	0	992.1905314713	885.9607084764	921.9927620819	1187.6004587241	1411.3421254998	1624.4116109026	1579.3851239364	1817.4745236275	0	1325.6332794727	559.4474559450	1444.7444898915	1466.1846922509	1093.3711253628	1824.5023627178	676.1973780740	1394.4464224272	1548.8852513167	1403.5385645761	1283.7126778735	1353.8082628588	937.9474859661	27.8818448893	1469.3069701610	776.6742218848	1058.2269685435	1243.1843727889	2058.2120620540	2230.2660426273	1973.1293352569	1329.8430001843	586.9583324057	1311.5875673612	1248.2153799564	1176.5767743295	1282.0856687559	951.8800619933	1115.5802848534	847.7897793190	887.8243366205	301.9972440516	1481.6751534171	1034.0388486495	1196.7691153119	1262.1270809425	862.0567310285	1457.7974021750	1512.8321253627	0	1206.5604768844	0	657.1123277082	1260.7571323883	1678.2741904174	0	0	0	0	0	3383.5709488050	0	0	2401.1501699157	2208.3769413529
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	7.7439523300	0	0	0	0	0	166.9721951257	0	37.2226265329	218.6564481334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.2929386108	0	0	0	0	0	0	0	0	0	0	17.2558740682	247.9756346063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494.0547763854	0	0	0	0	0	0	0	0	0	0	0	0	69.7563704959	275.2940866608	0	0	0	0	0	9.6635821548	0	56.1951040224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.7580155055	0	0	0	0	0	0	0	0	354.7012808400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.3694265218	19.5795858844	0	11.7741078220	0	0	0	0	0	81.6198662684	0	0	0	0	0	0	400.2408273107	0	0	8.4365288641	0	0	0	0	0	0	0	0	0	0	0	0	16.1307216863	0	0	0	0	0	0	0	0	23.5323173778	0	0	0	0	0	0	561.8820462939	0	0	229.1777122142	185.5276210432
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.9349280888	0	0	29.4725258934	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.6761582996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.7931718124	0	33.5083659462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.6548993741	0	0	0	0	0	0	0	0	0	0	43.5198667063	0	0	0	0	0	17.9926778926	0	0	14.3785977049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628.5491784023	0	0	250.0564605534	283.5941223564
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	24.9667854854	0	5.6697566687	0	19.9217098608	0	0	0	0	0	156.2964318154	0	0	0	0	0	70.4248875157	0	18.6720327974	0	0	15.8448912185	0	0	0	0	0	0	0	0	0	0	0	0	24.9862506060	0	22.0992966460	0	0	13.7598721541	0	0	13.6953167687	0	14.0428003364	219.6536903499	0	0	0	0	59.8083330456	0	0	83.7469070957	31.1679532598	3.7344882759	14.6532337741	0	20.8167732404	0	0	0	0	0	0	0	0	30.6605460270	0	0	21.7701418588	0	0	0	0	0	0	0	0	0	0	21.6440021892	0	64.2273275411	0	0	0	0	0	0	10.1747514762	0	0	0	0	0	0	16.8552769670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.9074630679	0	0	0	0	0	6.9730680823	0	0	0	0	52.2225890375	0	0	0	17.4353557821	0	0	0	38.4157556968	0	0	36.3653842244	14.5986274383	0	0	0	0	0	15.2114083621	0	0	7.3681499356	0	0	33.7759512135	0	80.3822340167	28.3987260426	0	105.6726785854	0	0	71.8797505123	0	0	42.2304903569	0	0	0	0	122.9782935867	0	0	0	0	0	22.3000790117	0	0	0	0	0	0	0	0	0	483.5697323115	0	0	289.5268882742	230.1059961898
ANAEROFRUCAT-PWY: homolactic fermentation	1029.1623382650	749.0716192226	1005.4055877770	0	552.7313792792	668.7753866795	360.0274294242	551.5320447915	1486.4530899957	0	2120.8075687598	1100.9971119717	216.0969730606	836.9444110886	733.5498888319	776.2179576494	1147.9807411101	1338.4308466423	742.1639044587	944.1733840491	864.5024151165	632.4333829123	898.2574312994	977.2882612950	938.6423268255	1403.4601077898	697.9306318261	647.8092364566	438.4041907030	697.4114431543	850.2472103219	416.8971843093	357.4956245207	1502.5321067490	505.4464903355	359.4674974712	1080.6353664343	546.2116715338	721.6814308038	885.3593432082	609.6978314154	873.9041389290	1549.6242875464	564.6289913890	591.6284229741	2511.6824979990	355.0046077192	751.9232621444	645.3691369030	671.0306636861	981.5106606973	1681.1715141017	0	1367.6257835318	861.2520701750	921.9474223484	1484.1948571990	200.9356923813	1081.4297954150	937.3230654082	498.7603532108	698.8759924028	576.7318714263	475.4451949220	922.9347382939	581.5292827243	700.5517344109	676.4523259463	482.2216604332	728.3293365780	3124.8065618224	923.9625915920	1767.3121939233	0	990.0998531303	797.4154250681	558.3441309054	719.8008996799	632.5286902165	0	0	1259.0503963123	1000.6177137783	1337.1513832005	2366.7614906379	1898.6631826733	575.3114905203	0	714.4153459385	658.1588185726	921.5619598471	789.4812530049	1139.5741504442	869.0703560679	1644.8567545931	540.2155110167	736.8901081571	534.9328399582	0	0	525.9648556682	509.6619718569	1092.0244548394	0	0	0	858.9765599185	512.1840999279	1528.3449366995	1189.3986396992	788.6082062197	407.0077456370	728.7850738206	740.9530872515	1820.6432030777	927.2918034837	940.7336905424	2164.1753687901	659.2642551686	0	664.8901736768	14.6493238703	996.5620973890	470.9042365531	452.9850310269	1292.2946998287	717.7957644653	425.1841302740	612.6077308585	565.1351600634	0	235.3315954106	400.8207057288	1159.4067830908	1003.1367781164	795.5628828171	1809.5189036476	484.5207770228	871.3921752310	773.4376887459	1402.5920591804	827.6155266118	1146.5880463138	458.6344547593	0	652.3913979468	580.2841366211	684.0140333172	699.0727590464	2174.5437319102	1329.5855074935	700.9907128033	1196.6304920302	388.2407605962	1145.9802759448	638.9910847871	378.6633523176	737.4866018882	855.8865714980	311.5199749379	492.8069755949	511.1538218384	199.4745405216	1477.3778990091	389.9094859939	993.9945787896	403.8960175984	462.6096178350	901.0853816609	184.4459477008	0	380.8914674005	0	344.2852066222	644.3085487540	1112.5773529885	0	0	0	0	0	3688.0619169928	0	0	2779.1345429050	2600.5495621989
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	1348.0540324420	2318.1412483609	1380.0723816583	0	2848.4632691571	2330.8492667085	641.3907499255	1926.1120883209	1982.0485437938	0	2686.2316554644	1711.4043906951	1970.4825148799	3186.7672475664	1612.1640066042	1889.6457008990	1752.0608148596	2172.2708450447	1378.9379290194	1656.3540590589	2044.0142404401	2055.1144828278	1593.1968371564	1958.0592036907	2468.5206864679	1866.3896136690	1211.8593648817	1846.3967170027	1609.1864753008	3422.0933558637	2598.6054611862	1313.8829324155	1555.7417121976	3769.6619286750	2429.9181469403	2352.8897291772	2784.6284385451	1881.0557493274	2291.2783741926	2729.3803153539	1399.1580821642	1563.2681982219	1980.7856370670	2030.3549033373	1496.3140862989	3417.1455248522	2130.3291794343	2314.6382972254	2837.7413043678	3224.7263635388	1869.0420848084	2208.6627684905	0	2241.7792569906	2717.0697623171	1541.8829537205	2383.7582334617	1862.7472764327	1752.7089116879	1899.6201106944	1891.7564431031	1905.2187525223	2283.2243996478	1029.3459305372	1656.7750561529	2105.0193212874	1193.7717017835	2114.3325082118	1716.7325646573	2914.2818888958	3864.7217203000	2331.6137709103	2280.8187058474	0	2958.6275772539	4130.8262287227	2071.3503299849	2092.4245771436	2252.8354206012	0	0	2073.5566200453	1896.4978195647	1796.5887229392	3336.8453348488	2551.7040957184	1883.0679730359	0	1037.5127979614	2313.8215429441	1678.3525568740	1288.0146588570	1457.7084284426	2608.0515813931	2795.6211447904	1927.6352342702	2995.6517242866	2240.5286813047	0	0	2657.3702492001	2138.7680830388	3164.8627719927	0	0	0	2094.8243384232	2344.9403749231	2824.7878591483	4225.5866500132	2841.2670844978	1955.2364268100	1870.0550561378	2289.8954455411	2859.9947249212	3297.9007798639	2889.8836909607	2746.3785588640	1621.9473292869	0	1758.6319816763	38.1594927649	1453.5548485676	995.4908775335	1124.6861192640	1664.1941198460	1686.4572142918	1804.9658709158	1740.0818211427	2503.3795578567	0	1891.0021068251	818.9801383184	1789.4588562104	1786.3243005286	1344.3231242240	2322.7589657574	925.6755671201	1874.8167481708	2100.1138786032	1803.9943908543	1775.3176362543	1567.9961148784	1169.6349032116	26.5000794830	1936.3570245652	928.3429479003	1291.6508920929	1516.5475304672	2711.1909950509	3310.7698951991	2317.9890227124	1550.4774797680	663.6888502966	1583.7354684248	1319.2262598559	1526.7658936017	1648.2026773757	1428.9843531212	1446.0152346532	1030.4564322469	1273.2231326868	414.5897502582	1885.8332755068	1329.9934711471	1323.6404672204	1406.4502878459	996.7562334599	1836.3967030372	1733.1265634315	0	1639.4601223254	0	572.6307142032	1619.9962040758	1919.0014145628	0	0	0	0	0	4409.7428667007	0	0	3170.0985233495	3009.0475816194
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	239.9879795881	206.2074030933	112.1722077594	0	202.6360400361	152.3283867723	0	174.6066542518	808.2420975745	0	673.6324340335	795.8937295241	254.2935139558	342.3142035468	98.6091744872	81.6692511026	701.7775291965	169.6859254917	220.2784207993	212.6917170257	94.6981215824	125.5572745510	292.2464485701	426.6389936307	380.8518394527	0	280.1443609966	224.8876484935	84.4058306737	381.7110963585	166.0379885650	247.0179656524	106.9736217811	494.3105847622	226.2947169414	164.3939697885	584.1123117608	216.2885853380	193.1798068337	287.2835706730	183.0093532989	138.1352720581	0	96.6228651715	376.7096438426	1959.2572912524	226.6538135355	121.0310300321	293.6284505461	346.4150050479	480.0745286840	435.2043645302	0	1047.2710406670	634.5789818363	129.2329432059	582.9903828146	0	504.1924649367	119.8309697590	146.9960545648	196.3251809652	284.1842381357	73.3283248569	198.6747217787	128.7577370318	93.5449825815	111.9018097023	72.1304996157	380.4649909187	2523.8496229392	286.3925437608	164.4617522010	0	156.7642870810	246.1465854379	182.5996346731	36.9451130580	195.9749252228	0	0	503.5105055639	72.0953624232	723.3869807407	1636.9549908203	393.6464291960	125.3612156040	0	0	134.7833645718	293.2101804489	118.6486186665	660.7498133896	360.9123354148	39.7101694448	27.7772494899	83.0959965686	271.7243771609	0	0	157.5803674193	261.6609489297	679.4461797900	0	0	0	266.2373523117	336.3857607295	1056.8945928323	305.8296700040	453.4132280381	221.7123307100	429.4646302839	173.1662231602	851.3301136811	0	221.1988668825	1579.4059407194	75.8308925397	0	256.5645152551	0	109.9178352091	54.7655895847	138.4317530523	346.0574068736	54.1511676774	347.3085281967	307.3320903445	329.4142454492	0	51.7788673270	59.6889184861	718.6536454937	695.6276902463	65.1542631297	142.6484594003	249.8128183104	107.6389738966	382.0338691421	788.2663643221	206.9960958376	409.0685046065	175.8236094788	0	0	187.6892625895	0	118.4896297150	1551.9583704992	251.0451990323	627.5230131140	186.5914536355	0	896.4201697504	158.9134965016	207.4421124019	281.4331877045	113.8816989380	0	248.8068110247	124.8045779899	0	820.7191487293	78.9988016659	565.4474243269	221.9898165538	148.1124914142	302.2109106981	0	0	218.5584152170	0	60.9370757423	421.0319619885	122.6383047055	0	0	0	0	0	3124.3847499543	0	0	1777.3776746084	1720.3888681005
