# Pathway	PD_100P_Abundance	PD_104P_Abundance	PD_105P_Abundance	PD_107P_Abundance	PD_108S_Abundance	PD_109S_Abundance	PD_10P_Abundance	PD_110S_Abundance	PD_111P_Abundance	PD_112S_Abundance	PD_113P_Abundance	PD_114P_Abundance	PD_115S_Abundance	PD_116P_Abundance	PD_117_Abundance	PD_118_Abundance	PD_119P_Abundance	PD_11P_Abundance	PD_120S_Abundance	PD_121S_Abundance	PD_122S_Abundance	PD_123P_Abundance	PD_126P_Abundance	PD_127S_Abundance	PD_128S_Abundance	PD_129P_Abundance	PD_12P_Abundance	PD_130S_Abundance	PD_131P_Abundance	PD_134S_Abundance	PD_137P_Abundance	PD_138S_Abundance	PD_13P_Abundance	PD_140S_Abundance	PD_141P_Abundance	PD_142S_Abundance	PD_145P_Abundance	PD_146S_Abundance	PD_147_Abundance	PD_148P_Abundance	PD_149S_Abundance	PD_14P_Abundance	PD_150P_Abundance	PD_151S_Abundance	PD_152P_Abundance	PD_153S_Abundance	PD_156P_Abundance	PD_157S_Abundance	PD_158P_Abundance	PD_159S_Abundance	PD_15P_Abundance	PD_160P_Abundance	PD_161S_Abundance	PD_162P_Abundance	PD_163S_Abundance	PD_164P_Abundance	PD_165S_Abundance	PD_166_Abundance	PD_167P_Abundance	PD_169P_Abundance	PD_16P_Abundance	PD_170S_Abundance	PD_171P_Abundance	PD_172S_Abundance	PD_173P_Abundance	PD_174S_Abundance	PD_175P_Abundance	PD_176S_Abundance	PD_177P_Abundance	PD_178S_Abundance	PD_179P_Abundance	PD_180S_Abundance	PD_181P_Abundance	PD_182S_Abundance	PD_183P_Abundance	PD_184S_Abundance	PD_188S_Abundance	PD_189P_Abundance	PD_190S_Abundance	PD_191P_Abundance	PD_192S_Abundance	PD_193P_Abundance	PD_194S_Abundance	PD_195_Abundance	PD_196_Abundance	PD_197_Abundance	PD_198_Abundance	PD_199P_Abundance	PD_1P_Abundance	PD_200S_Abundance	PD_203_Abundance	PD_204_Abundance	PD_205P_Abundance	PD_206S_Abundance	PD_207P_Abundance	PD_208S_Abundance	PD_209P_Abundance	PD_210S_Abundance	PD_211P_Abundance	PD_212S_Abundance	PD_213S_Abundance	PD_214S_Abundance	PD_215S_Abundance	PD_216S_Abundance	PD_217P_Abundance	PD_218S_Abundance	PD_221P_Abundance	PD_222S_Abundance	PD_223P_Abundance	PD_224S_Abundance	PD_225P_Abundance	PD_226S_Abundance	PD_227P_Abundance	PD_228S_Abundance	PD_229P_Abundance	PD_230S_Abundance	PD_231P_Abundance	PD_232S_Abundance	PD_25P_Abundance	PD_26P_Abundance	PD_27P_Abundance	PD_28P_Abundance	PD_29P_Abundance	PD_2P_Abundance	PD_30P_Abundance	PD_31P_Abundance	PD_32P_Abundance	PD_33P_Abundance	PD_34P_Abundance	PD_35P_Abundance	PD_36P_Abundance	PD_38P_Abundance	PD_39P_Abundance	PD_3P_Abundance	PD_40P_Abundance	PD_41P_Abundance	PD_42P_Abundance	PD_43P_Abundance	PD_44P_Abundance	PD_45P_Abundance	PD_46P_Abundance	PD_47P_Abundance	PD_48P_Abundance	PD_4P_Abundance	PD_50P_Abundance	PD_51P_Abundance	PD_52P_Abundance	PD_53P_Abundance	PD_54P_Abundance	PD_55P_Abundance	PD_56P_Abundance	PD_57P_Abundance	PD_58P_Abundance	PD_59P_Abundance	PD_5P_Abundance	PD_60P_Abundance	PD_63P_Abundance	PD_64P_Abundance	PD_65P_Abundance	PD_66P_Abundance	PD_6P_Abundance	PD_70P_Abundance	PD_73P_Abundance	PD_74P_Abundance	PD_75P_Abundance	PD_76P_Abundance	PD_77P_Abundance	PD_78P_Abundance	PD_79S_Abundance	PD_7P_Abundance	PD_81P_Abundance	PD_82P_Abundance	PD_83P_Abundance	PD_84P_Abundance	PD_8P_Abundance	PD_9P_Abundance	PD_Extr_neg_plate1_Abundance	PD_Extr_neg_plate2_Abundance	PD_Extr_neg_plate3_Abundance	PD_Extr_pos_plate1_Abundance	PD_Extr_pos_plate2_Abundance	PD_Extr_pos_plate3_Abundance	PD_Lib_neg_plate1_Abundance	PD_Lib_neg_plate2_Abundance	PD_Lib_pos_plate1_Abundance	PD_Lib_pos_plate2_Abundance
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	186.3040765955	241.6126606433	165.1038184406	0	439.3703541776	143.8407417565	29.7487277193	200.4900050987	985.7503701449	0	735.5454819145	913.1191597839	260.7628840099	122.8264423448	88.2090287240	294.2994754215	598.5717761283	219.5877949362	153.8695833772	316.6408532112	320.4683470387	113.1084940806	242.1285940411	581.2750044782	65.7423811306	35.4202877889	162.7000107578	299.1954069003	66.2939131594	672.1860056384	832.2731625507	145.3177686723	135.4481912092	409.8546610955	356.2444035111	533.1074735217	273.0307325747	312.4752969726	157.9737252595	383.3538038959	284.6071001160	109.5067418651	445.9872517113	493.6141000834	260.0292231553	1643.0198477271	337.8057307523	201.2601311003	428.7261803646	732.7386060752	616.2167293749	197.7586507779	0	909.6743861871	514.9520975502	204.7084107440	559.5830091753	101.5791678760	372.8007023040	150.4301282885	259.9425338777	196.0195924045	118.4592697252	105.9502802652	187.6774785515	15.6070505940	49.0990255281	310.4707501204	113.2847564622	125.1929165327	3721.1919847336	300.1576070830	537.0439688609	0	382.1280954041	543.8347845677	279.2425373870	138.2521338750	105.4203548273	0	0	86.9187073534	411.8669134617	708.6953708885	1495.9221128576	490.6410557236	65.0929637445	0	16.4208640811	202.1659306919	183.3821467859	146.0795606750	549.5306965400	277.5625615731	173.9962936074	139.7956041130	1398.3420267314	321.4530350031	0	0	284.1289787303	28.6214076965	184.5044642017	0	0	0	326.3714798164	169.3632543852	1031.9064784305	157.7308821034	217.7771319241	181.5934230582	150.4485737654	191.7088962211	652.2185251546	727.7770216999	437.5296785264	1528.8904681215	114.0741205224	0	260.4900429433	0	119.6987029988	142.7373923510	135.3045066137	85.0581424882	220.7290077335	172.6876938532	721.2952659773	302.0833392995	0	574.3951753349	82.8249057059	433.0539387925	380.8793908440	63.7660366458	225.8153209606	148.6390456034	150.6419315969	53.8929214442	1063.8182510017	846.8182895647	486.9002266461	87.9787502560	29.2210288636	196.4812163734	57.4293796922	195.5065950578	79.4234581143	1694.8247337961	400.4287548233	542.3227389384	339.4151077588	32.6192015355	1064.0600769198	88.1324973277	286.1913761012	214.5582743931	452.5888295106	216.9581962165	161.9168811755	33.5290193023	42.0544930788	1034.9249950924	153.2029082901	553.0509208302	189.6156879240	127.1389742438	109.1917565793	110.3999744499	0	341.4380311115	0	67.1729071939	254.3959869453	183.5207903908	0	0	0	0	0	4185.0626492843	0	0	2470.9524408195	2600.3415686881
P562-PWY: myo-inositol degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.5471073394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3566604091	0	0	13.7413685786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454.2606438986	0	0	611.6772219903	546.7499172515
P621-PWY: nylon-6 oligomer degradation	30.0354193943	0	0	0	0	0	0	0	0	0	20.1726456410	13.0244410154	0	54.1573037604	89.3179575811	0	0	201.5745858484	0	0	0	0	0	41.3069833607	0	37.4034267968	33.3566817878	28.2796263923	0	13.1337908758	0	0	0	50.2631218888	0	0	0	0	0	0	0	0	110.8173548499	0	0	0	9.7044302198	0	28.8086615214	0	0	0	0	0	0	0	132.0103978310	0	0	0	0	0	0	0	0	0	22.8094204984	0	0	0	17.5993977362	123.6292057902	154.6528443376	0	0	27.3053606274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.1695372678	17.1019746635	134.6076347523	0	0	0	0	0	0	0	15.6615468117	0	0	0	0	0	0	57.2715723838	0	0	0	0	0	0	0	21.2070502926	32.1543253628	0	0	0	0	0	0	60.6346967528	0	0	0	0	0	0	0	28.1653863428	0	105.8393125253	98.5708692604	0	88.6977847073	44.8646839828	0	106.9870992995	112.8586035621	0	0	0	0	0	0	31.5574926187	14.5499942119	0	84.5009369632	0	0	0	0	0	0	20.5588865892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747.1433407154	0	0	0	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	706.4196167251	1698.2688325560	308.3992550859	0	1605.1047831789	1495.2303408223	479.5335797875	1435.7008271262	1663.2747710508	0	2040.3050901336	1507.6887610324	1579.9037772504	1858.5632316529	1120.2185471278	1209.4308819087	1383.6439552396	1037.4090379735	773.7132242621	1124.2155735444	1210.9396696912	1343.1086007067	1379.8663997178	1201.6918366354	1210.0120802780	729.4157628285	689.1691053544	1604.1298383620	1002.2295360698	2138.0099711662	1380.9565169052	1114.9393855313	1122.1709622078	2290.4318967563	873.5577675150	1360.2435961443	1553.2138075313	1124.4731614066	1578.1244578257	1739.7834565149	848.8826520171	977.3013070402	1217.4454265175	1352.8925241182	990.3562149093	2373.1662313274	1150.3897299899	1646.9217250669	1989.4989945158	2551.7856064627	1160.0913278895	1335.2523304429	0	1871.8694193663	1908.0339246287	1055.5221348438	1665.8969993260	1261.4371579114	1585.4994406203	1775.6050188609	1302.4046732812	1186.8840932145	1726.9384614022	697.6231447693	1130.9807904872	1344.3962158119	1017.9159780649	1482.6610135360	1127.0256733060	1983.7778161067	2957.7332107459	1225.7633953303	798.3945314521	0	1977.6044827856	2735.2912833220	1209.0919870758	1427.1781383522	1239.9544705451	0	0	1745.0149705637	1085.6141537477	1598.5901640452	2600.0290839317	1637.5078433943	1388.3977977995	0	927.0121789299	1174.1764580398	916.8021616161	1125.7370220174	1117.3847167767	1734.4725296438	1644.5012675336	1531.5765687500	1916.2918059997	1477.5895734585	0	0	1727.1476438649	1539.5345279666	2282.5716073423	0	0	0	1148.6586426224	1546.1021308780	2261.3101038555	2744.1422669694	1992.6343785310	1459.9769055107	1012.9074198231	1399.0928756440	2029.6208811569	2271.4091670369	1959.6278824521	2360.0165298996	809.9463772555	0	1250.5149564596	23.2263995465	718.6883561343	654.0375205941	582.4685928858	1121.4738986125	1214.7073590672	902.9423659338	1363.7772060306	1506.1561152262	0	1085.2249428023	462.4865564073	1264.0714098822	1095.8928768274	770.4860877247	1084.1463660011	733.4713487214	1123.6599004414	1378.4336714596	1038.3490262928	1154.8209009816	1213.3175709880	820.7262297269	20.6705282301	1328.5480406442	673.7123949924	923.5812755068	1230.3220380519	2159.2730197532	1964.3847532410	1279.0035041016	1038.7995739814	612.6704140134	1182.2431989728	881.0600438429	1036.2164196389	1128.8097317580	762.7797495909	815.7861559966	654.3753122420	586.1999200613	185.7912648304	1623.5445335100	929.0645971617	1050.0549309059	908.3536091340	649.4416782196	1375.0906268809	970.6692851868	0	994.8076594152	0	614.5417797696	963.3064203338	1269.9468943371	0	0	0	0	0	3673.0059101078	0	0	2830.3637572601	2663.2773751770
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)	793.6540868991	1881.1836413565	447.7323965095	0	1680.6469413861	1663.1687857686	530.3929330537	1543.1188413097	1462.8720315914	0	1921.5013044228	1469.0414713419	1623.3170540142	2085.9237513381	1159.1045073563	1354.9935675604	1327.1380260942	1271.4917815579	835.7739474825	1175.2044880660	1271.4265620586	1435.6567560030	1484.0665392928	1344.3121322806	1367.9460457636	815.6187585381	814.6262246218	1719.1786503692	1070.4233961836	2368.7325929531	1513.1009837503	1156.4541500557	1190.5745365464	2484.0177405178	1071.0616414296	1486.9163360138	1720.3031593870	1214.7515486133	1715.6319802401	1937.3594903536	869.0167610721	1075.4313112023	1353.8828033766	1464.8665913489	1105.2740107928	2067.5959523042	1345.9850186968	1816.7225488129	2164.8121895496	2621.1922601384	1235.5255296372	1633.7215017085	0	1588.5034733825	1994.8169480749	1134.0304150938	1754.3239846125	1199.6614068866	1583.7202343936	1728.8853410277	1361.6230260749	1315.4947481606	1776.6892974615	726.6964451087	1273.1725858931	1545.4688723234	1108.0636870590	1584.9962124095	1181.7953294924	2182.9129952116	2789.6967528552	1393.6154452541	1062.1294434718	0	2063.9718690825	2966.3452125542	1363.9003391574	1541.7257240880	1448.0551309445	0	0	1865.2657733429	1249.2414686030	1563.8372816529	2641.8753225693	1778.6408107011	1443.3332393872	0	1010.9248703397	1391.6731756347	1058.8821108815	1191.4590130188	1126.3649179955	1906.0645272580	1801.3537272275	1479.5535204890	2034.6342898829	1551.5145844820	0	0	1870.9174263696	1597.8759697519	2389.0350299835	0	0	0	1331.4714790562	1603.9390649320	2341.0685373398	3081.6997900706	2126.2364247119	1563.7634804859	1176.5037646578	1525.1054187106	2092.4630492068	2351.6459113530	2052.1563268803	2160.8480199911	948.4547840029	0	1311.5560651325	0	798.8760507279	735.4459726399	668.8202537018	1207.5604631379	1326.8666606071	1041.5697396554	1382.5255419169	1597.5389016053	0	1100.5608630520	497.9744466537	1308.8747838893	1135.6940360454	829.9307015121	1220.4993904286	729.1734426524	1228.8467492664	1459.6357890633	1053.1092393096	1243.3686942288	1154.2800679260	865.2099260017	0	1355.8426159763	738.1171829797	1010.7992878956	1264.8442034419	1750.2738536014	2137.5058767052	1496.4909929380	1127.0600677155	652.8679966887	1144.0133050308	936.4017928922	1124.8837333858	1239.4803378189	857.6794064329	923.5416323806	680.6292506555	593.8897140065	211.7446821967	1404.7405455628	1001.4279082351	957.0979907483	1006.5003057518	732.3613763559	1387.6990030483	1113.7330485627	0	1106.2756508470	0	663.8048870501	1043.8144196736	1378.1410061830	0	0	0	0	0	3252.5863520391	0	0	2547.4048648783	2385.0537968758
PENTOSE-P-PWY: pentose phosphate pathway	762.7345090893	763.4200001191	764.0633080047	0	578.5045779126	764.2413486823	139.5639964638	721.1756379801	1364.8020875978	0	1830.8566682917	1295.6702529448	646.2887275958	290.0101735606	532.2805868565	371.4982654848	948.3708151419	588.0468164120	510.5220411921	230.7617097766	354.9344128370	944.6847340267	113.6920441905	560.5845084861	271.1274750188	1117.1557142391	267.9080990740	580.7937655998	1030.7973608594	827.1909417502	750.1399319116	826.0003821049	625.7411639061	1059.8607520502	638.9025573955	307.5601278576	821.4532434928	525.6405790650	710.9931105913	723.7499219394	173.9730497781	168.8958765459	846.8445151039	106.5233509422	313.8702791666	2323.5526455792	255.7375591346	909.6122834116	523.2856169100	690.2757272083	890.7991980961	996.8057906995	0	1112.4937295290	621.5310660847	746.5495528198	1093.0652996688	140.6351716777	1203.7509809352	846.4071207172	336.4980747475	306.8855646655	821.0857429392	194.0457595988	467.3739504761	454.7587520845	741.1143222277	520.5530708954	471.7034950771	651.0695894797	3159.4588285969	284.4153905201	538.4483796071	0	972.5622353562	900.7733413920	215.6761788428	186.8259636365	358.3591919925	0	0	1149.3791254456	774.8616450993	754.8194083375	1944.1646123509	856.4576909322	677.0701933185	0	396.6458106222	182.4386481204	562.1453372763	614.5490295885	747.0241182422	629.7496029122	1127.1074879731	649.0637398773	537.4059024501	525.3087440942	0	0	556.2922298510	245.3371389518	1161.2288478478	0	0	0	576.9709283609	311.9970144769	1163.0834347692	1039.0394794110	876.8467957351	659.4908519564	626.2490415752	416.4467642659	1442.3345830474	538.7481735868	703.5521006025	1733.8044049859	198.2178771140	0	403.5823222877	0	633.7152655132	130.6119725559	257.5429245763	947.8460813547	837.1324621696	440.8753725203	835.5430770376	116.2618040142	0	109.1262842390	245.1439672582	724.8280147363	566.2003135374	558.4083351770	1161.7192371150	356.4710748309	617.1235554174	634.5535130554	1329.9829491030	558.3133771712	613.1713864131	425.6345154875	0	704.1681639188	184.1704661974	390.1249346970	794.8730358739	2384.8973200636	639.3120883512	530.8794264538	657.5429574129	238.1172076419	847.9789831434	401.5058862399	154.0974283226	608.6305479579	468.1067662091	214.9725854036	230.1761779276	99.5857107219	63.7882408922	1291.5219832405	268.7303614026	877.4255950060	185.7128525513	345.7535191887	356.6192087414	376.9869761911	0	349.8517384384	0	182.9162564320	1014.0689410781	850.7799607046	0	0	0	0	0	5111.4903015692	0	0	4016.9028816901	3906.9128780649
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	1525.3253674019	2361.5811153892	1675.1578399742	0	2816.5036485606	2335.9463375004	1000.2932683415	1919.8622301982	2132.3912963258	0	2969.5835124346	1837.6667787909	2028.4271441552	3040.2223978214	1568.2802136116	1962.0607177628	1879.6974085080	2426.9503542128	1429.9423244267	1831.7448565402	2207.4023325415	1895.3539475439	1876.0087240913	2228.7015884560	2553.7081362969	1780.5461090794	1543.7152063013	1994.1653292577	1671.6823734002	3239.1422997737	2394.9320788423	1323.9683880790	1968.4666014527	4052.9821574997	2604.1820244274	2170.3411276858	2819.8619375883	1764.0125420390	2161.7615076750	2736.4805298173	1532.7898135158	1663.1348523383	1940.1944217609	2004.7520721590	1765.8786156963	3184.0156112981	1964.6557475040	2449.4314451053	2736.2720645396	3196.2890703620	1793.8259603807	2751.0567182853	0	2164.0737676441	2800.8843290595	1643.4870757503	2503.6233779239	2113.8143891174	1925.2313376206	2382.7907910237	2049.1096099188	2091.8895233355	2299.6135138049	1180.5953893591	2321.1759391881	2219.6416890647	1598.4323436949	2264.8175287719	1783.3455130076	3007.6748025574	4111.1838077031	2160.2416694196	2717.1255711511	0	3509.0789605649	3936.5788863499	1966.3879556944	2190.2994422311	2316.1281437608	0	0	2439.6131733227	1976.0851209377	2491.7333865850	3384.6000870966	3070.4888357342	1941.3372132633	0	1398.0683085983	2283.5047918854	1834.8205572461	1852.2688755292	1628.2682026614	2700.7371948175	3073.0769835791	1886.6698628548	2777.5542424351	2174.6727362678	0	0	2547.2641828461	2155.1862206632	3139.8705815905	0	0	0	2123.1020111958	2240.6693944424	3520.1318497712	3956.1446971763	2901.2321253216	2116.4853459344	1995.1263569840	2416.8876938382	2920.7861978165	3101.5032233846	2942.0859022172	3145.4553425290	1575.9224454197	0	2373.6420666452	12.6770770912	1479.3939760404	1394.4324996224	1174.6496481837	2029.3362157987	2007.7983375890	1982.2965716597	1724.7375797401	2577.6231349585	0	1772.4802728304	1068.6616966916	1851.5096609063	1764.6094280544	1598.9160157590	2426.0060524674	1057.2129117228	1927.0341670948	2203.0936157579	2052.6290085512	1839.3015966245	1646.0648515448	1445.0547713976	32.3059709788	1744.7096444718	1126.2822110553	1515.7221309896	1695.8909213771	2724.4579201283	3654.8064186062	2525.9011577938	1608.6242664370	831.7592499511	1782.7222002067	1778.7430518887	1568.1739009702	1843.6160725888	1353.6715108883	1462.8930237823	1205.1037275911	1386.3481949046	370.8334207205	2204.1442701859	1366.1892907127	1501.3476267645	1531.5227442717	1088.9868234640	1848.9322339172	1918.5357650436	0	1635.8210563778	0	1113.8768592618	1658.2761844378	2071.6719686507	0	0	0	0	0	4346.5520434597	0	0	3390.2679991774	3166.6943759367
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	547.6623814866	797.3412864218	237.4093177374	0	784.9189796741	1041.0287135604	238.4145865936	689.7703110458	1450.7512197061	0	1298.2895704692	1533.8468523500	325.1548665364	707.0131253815	475.8266651174	405.5725245455	1126.6524430850	871.4479680841	382.4531641326	283.9114131670	353.0009870614	371.6881273438	562.0271346818	715.7149955519	447.4455906900	0	373.8620075542	552.0686709491	662.3887348271	1069.4695397603	711.8780926824	902.0709817979	591.2459627273	1331.2291371795	394.3932599576	860.6149484384	1050.5622463960	243.8980106961	956.7997427498	755.3809819710	198.1574085740	168.6200257609	922.2887828984	627.9297789771	437.3819565923	2047.4256019068	685.5822953088	672.7936782356	627.0558294167	1498.4192152181	1117.3162105630	545.5437770892	0	1588.9374660974	1086.3323754470	589.7011941504	1269.8557842215	422.3079919806	967.4876096425	652.6681200042	474.5701178425	660.5708060582	640.3216745693	192.1238530854	508.5404827630	962.4874889445	772.9661186276	584.5828046866	944.5999435569	655.9560164801	3621.3814844416	589.3433356888	402.6235131677	0	885.5306197802	891.3755041526	798.8971724533	466.7003219866	560.9994314595	0	0	1100.3413510186	645.0153854386	889.3610700378	2412.0346358162	907.4319401224	692.3030016875	0	432.6806604341	337.0387059074	476.6005198999	772.5946917644	980.1790541724	808.9276161027	558.1029718625	554.8396558608	940.0815809956	532.6676507951	0	0	693.3322811950	925.3273669338	1332.0242799424	0	0	0	484.4655007941	466.3934019709	1404.5576558152	732.5121602482	783.3670550958	599.1247760738	737.8047187640	613.3761970640	1650.8960353575	970.8424953489	1090.9245949887	2432.3377252479	214.6277665756	0	288.0161239580	0	642.4605707473	205.8795556835	315.6972797585	560.6679139981	775.5918072994	405.0248532245	632.9992672261	808.6688892758	0	219.1148665911	71.6984708703	992.1650724107	822.9165847284	598.4383589044	624.7004186040	380.6099417707	518.2487931314	566.0264666507	1106.8485602921	650.4350742621	1022.6473984850	521.4499179079	0	560.4715880050	237.8805871214	294.5862412560	937.6621443362	2106.8002316081	542.5453982392	622.6635038080	792.9382058421	442.7545055636	1263.4212649363	275.8185394674	289.3860129076	557.5330285925	202.1278178600	419.9906758121	605.7097193634	637.3065664626	164.3183618382	1498.9210573418	366.5432229948	780.8842258348	123.8682137928	217.7950481098	426.6406074784	950.0747929333	0	216.4720483909	0	53.0848933280	692.0721840268	387.6807873866	0	0	0	0	0	4205.8488309873	0	0	2497.1269627149	2366.2479088935
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1795491781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0135024888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	46.8967978191	35.3039869037	0	102.3948030288	0	0	0	260.4764467793	0	86.0907579800	53.3472835815	0	27.0026246982	0	20.0555026497	169.1051388519	24.8590061260	71.5266875203	87.5963723195	0	67.0110895787	16.2118506455	58.9453918860	66.4774309549	0	0	52.9740081765	0	0	0	27.5421633877	0	199.7591360452	0	66.4097061188	117.5733627496	0	0	51.7501970460	55.3150587162	29.8849373252	0	0	39.4713852143	171.4070301999	0	0	0	168.8772911430	136.8082762091	183.7385009425	0	325.2233918134	195.2173582912	12.7517622711	222.6197243507	0	129.8873038587	40.2779003154	29.7175030798	0	59.7992184633	0	43.1221605528	70.3072747492	0	33.7560892777	31.3409274802	30.9697187028	0	0	0	0	0	91.1016894520	53.1543580715	0	0	0	0	69.4559165160	0	84.2676896476	534.1909065513	53.0719310885	0	0	0	43.5611977772	114.1400219292	57.6033457750	25.2986398095	0	0	14.0000876197	13.2006947033	0	0	0	24.5734992812	95.9782253400	0	0	0	0	92.0314804377	0	35.6419352857	13.5753163048	0	0	0	0	259.5838926188	0	98.4755410072	52.1039512283	0	0	91.5690248962	0	0	0	0	0	0	67.3121835940	0	141.5141307366	0	0	0	80.8833583939	28.7884625603	0	40.4815405586	99.7713122537	36.3513852695	0	0	0	133.9242082324	35.9930385548	0	0	47.0259490322	0	0	0	40.3045223664	63.8287451135	0	0	111.7343303220	0	31.2435715065	135.7485545884	0	0	48.3687017558	0	0	84.7104115951	0	46.4063498564	73.0822396725	36.9334716031	99.6407215203	0	0	78.8463933046	0	0	111.6245505380	0	0	0	0	0	0	801.1048860310	0	0	376.0595791461	369.6156483355
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	139.4102050303	109.7800894588	58.7819611922	0	106.6391335306	80.2383012140	0	95.6256876493	515.6997559879	0	385.0025559054	537.4149036315	139.1406757154	187.8433911475	52.2549015364	42.0980135437	452.8558502497	91.2662778925	122.9755868724	116.9619241738	49.0005650258	66.2190252247	163.0019843216	245.4115045507	224.4162904718	0	164.1021731445	124.8709293121	43.9365644116	209.3152436909	89.4096718011	155.3057880674	58.7258390836	273.8284328704	122.5162011061	88.4723294989	352.4732360539	136.1091420533	102.7376331033	153.4089901868	102.3800318864	74.7291985200	0	50.1595361962	214.4860693694	1465.8005966870	124.8003718920	62.8136772148	164.1247358271	187.6253221114	287.5013148977	250.6751903630	0	704.8349250120	377.5138228764	68.9466315030	350.4267585808	0	318.2449161313	62.2840538045	77.5235220049	106.3245573348	169.6919782821	38.8098254750	107.1753380950	68.2491578986	48.7140894780	57.6998265593	37.7655462961	215.0946348339	1905.9749260209	162.4259567426	87.6929309539	0	81.0071042517	130.2497875226	97.9345389731	18.6707655577	104.6047586947	0	0	296.8846673240	37.0773857818	431.9746514420	1101.8810127799	219.9612654927	65.4979747441	0	0	75.3656934557	167.4129120476	62.5195107795	448.0213234895	208.1019052690	20.0360962290	14.0346785829	42.6687365301	155.2067628824	0	0	84.2152135087	179.7881152510	402.7304146613	0	0	0	147.8616308010	190.6374388790	644.4909260395	169.8697424411	254.0382797618	121.8790250013	252.8146825201	93.5181912092	513.0393123254	0	119.4529672316	1121.1101990054	39.4318848138	0	141.5343899317	0	59.8498048632	28.8721599510	77.0378846102	200.1638869705	27.6118791248	211.1411157452	178.8203339791	181.1473864846	0	26.5982749594	31.6583189295	467.8207074077	436.9526822838	33.7679450537	74.5489745977	145.4237179695	56.1091343425	219.0463099340	535.4955972133	112.3027758954	244.1156096089	96.5234778609	0	0	107.7984943314	0	62.8524982930	1146.8077735721	132.8779384713	386.3398938022	101.3712891890	0	643.1969955829	86.1806010381	112.8887671959	157.5482438957	61.4674800339	0	143.9762376721	67.1060281902	0	539.4549371217	41.2402859406	367.1887240133	148.4308510531	82.0325035724	166.1043041097	31.4311605685	0	127.5491708010	0	33.2335775663	259.7410377928	66.5073612865	0	0	0	0	0	2511.0682760625	0	0	1242.8466232501	1195.5090128443
