#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_30P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_30P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_30P_bbmerged.fastq.gz
#1979002 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 2057105
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.0	-	-78103
k__Bacteria	2	100.0	0.4985177403855327	2057105
k__Bacteria|p__Firmicutes	2|1239	87.34491	0.4354298916418363	1662110
k__Bacteria|p__Bacteroidota	2|976	10.06505	0.05017607694927581	328341
k__Bacteria|p__Verrucomicrobiota	2|74201	1.80421	0.008994284742237239	29985
k__Bacteria|p__Actinomycetota	2|201174	0.76825	0.0038298545941158214	25511
k__Bacteria|p__Pseudomonadota	2|1224	0.01458	7.269231536640813e-05	6291
k__Bacteria|p__Chloroflexota	2|200795	0.003	1.494014270111722e-05	4867
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	64.1684	0.3198908737737241	1274435
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	10.06505	0.05017607694927581	328341
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	6.56583	0.03273183054281448	106115
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	6.53823	0.03259425606070305	80045
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.37337	0.01183167809368617	29525
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	1.44034	0.007180374897156993	22072
