#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_7P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_7P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_7P_bbmerged.fastq.gz
#2660042 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 2629845
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	1.135208	-	30197
k__Bacteria	2	98.864792	0.7199229639898501	2629845
k__Bacteria|p__Firmicutes	2|1239	94.905703	0.6910932967496027	2524069
k__Bacteria|p__Actinomycetota	2|201174	3.846685	0.028011152882621883	97244
k__Bacteria|p__Pseudomonadota	2|1224	0.112404	0.0008185143576255051	8532
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	80.783774	0.5882588989249906	2208107
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	11.474444	0.08355568542883078	230814
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	2.226802	0.01621533651764746	60378
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.704262	0.01241025788325081	54855
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.619883	0.011795816364974425	36866
k__Bacteria|p__Firmicutes|c__CFGB40326	2|1239|	0.69225	0.005040889765232342	20941
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.250974	0.001827564747298208	9352
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.112404	0.0008185143576255051	8532
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	74.18191	0.5401848260236528	2030377
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	11.474444	0.08355568542883078	230814
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	3.715429	0.027055362052817097	108773
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	2|1239|186801|3082720	2.401571	0.01748798252428762	57195
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.226802	0.01621533651764746	60378
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.704262	0.01241025788325081	54855
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	1.555751	0.011328810845607882	26938
k__Bacteria|p__Firmicutes|c__CFGB40326|o__OFGB40326	2|1239||	0.69225	0.005040889765232342	20941
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales	2|1239|186801|3085656	0.484864	0.0035307283242330683	11762
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Bacillota_unclassified	2|1239||	0.250974	0.001827564747298208	9352
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.112404	0.0008185143576255051	8532
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	2|201174|1760|2037	0.064132	0.000467005519366542	9928
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	2|1239|186801|3085636|186803	74.18191	0.5401848260236528	2030377
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	11.018042	0.08023221889360019	209346
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae	2|1239|186801|3082720|186804	2.401571	0.01748798252428762	57195
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	2.226802	0.01621533651764746	60378
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.555751	0.011328810845607882	26938
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.486543	0.010824846089808375	43643
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Butyricicoccaceae	2|1239|186801|186802|3085642	1.457662	0.010614539808101085	30740
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.390846	0.010127995481493648	45279
k__Bacteria|p__Firmicutes|c__CFGB40326|o__OFGB40326|f__FGB40326	2|1239|||	0.69225	0.005040889765232342	20941
k__Bacteria|p__Firmicutes|c__Clostridia|o__Monoglobales|f__Monoglobaceae	2|1239|186801|3085656|3085657	0.484864	0.0035307283242330683	11762
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.453999	0.0033059763173275644	13485
