#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_181P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_181P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_181P_bbmerged.fastq.gz
#3777506 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 3545473
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	6.142492	-	232033
k__Bacteria	2	93.857508	1.1147738661973547	3545473
k__Bacteria|p__Firmicutes	2|1239	80.972622	0.9617362025151399	2866283
k__Bacteria|p__Bacteroidota	2|976	6.115641	0.07263731301422544	422720
k__Bacteria|p__Actinomycetota	2|201174	5.919407	0.0703065822099376	185980
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.56541	0.006715540489093025	41659
k__Bacteria|p__Pseudomonadota	2|1224	0.284427	0.00337822796895885	28831
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	41.746604	0.4958369825800875	1729892
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	15.491483	0.18399700785473444	402734
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	6.620922	0.07863868719180367	145300
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	6.490562	0.07709035508570129	145462
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.115641	0.07263731301422544	422720
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	3.054736	0.036282020743051084	78937
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	2.757842	0.032755720560869825	78499
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	2.240242	0.026608025310880856	82403
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	1.322079	0.015702732594782665	41536
k__Bacteria|p__Firmicutes|c__CFGB9345	2|1239|	0.996596	0.011836867064530746	24757
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	0.876822	0.010414281439080275	40122
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	0.724998	0.008611015865710796	19637
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	0.625229	0.007426029329057556	15917
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.621823	0.007385581148997647	34391
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.56541	0.006715540489093025	41659
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.521128	0.006189592892071792	12003
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.494448	0.005872706765543568	22217
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.32559	0.003867132230030621	34879
k__Bacteria|p__Firmicutes|c__CFGB92044	2|1239|	0.315221	0.0037439748330721054	11637
k__Bacteria|p__Actinomycetota|c__CFGB12107	2|201174|	0.296095	0.003516807009129359	9161
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.237374	0.0028193576510166596	16246
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.220711	0.002621445929194978	16234
k__Bacteria|p__Firmicutes|c__CFGB92040	2|1239|	0.131714	0.0015644056305007367	6702
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.12868	0.0015283654881731315	7369
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.102627	0.0012189318383575593	6967
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	0.099774	0.0011850471902991842	7784
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.091562	0.001087509839841278	5315
k__Bacteria|p__Firmicutes|c__CFGB82250	2|1239|	0.091065	0.001081608149886111	6822
k__Bacteria|p__Firmicutes|c__CFGB72904	2|1239|	0.087886	0.0010438464919139976	2938
