#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_60P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_60P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_60P_bbmerged.fastq.gz
#2981539 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 3044742
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.0	-	-63203
k__Bacteria	2	100.0	0.8325466360074741	3044742
k__Bacteria|p__Firmicutes	2|1239	72.47677	0.6034028740157659	2232434
k__Bacteria|p__Verrucomicrobiota	2|74201	12.17922	0.10139769249908398	283720
k__Bacteria|p__Bacteroidota	2|976	8.74471	0.07280379162162134	370511
k__Bacteria|p__Actinomycetota	2|201174	6.24649	0.0520049224352922	145268
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.35282	0.002937355435710802	12809
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	37.31031	0.31062576765949557	1428479
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	12.17922	0.10139769249908398	283720
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	10.26995	0.08550216184983381	149193
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	8.74471	0.07280379162162134	370511
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	5.59925	0.04661634665799196	100786
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	3.15808	0.026292464100299145	65267
k__Bacteria|p__Firmicutes|c__CFGB9345	2|1239|	3.02682	0.02519969918224697	52787
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	3.00995	0.025059229286809807	55386
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	1.79142	0.014914396658004815	42468
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.32717	0.011049302763952568	21069
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	1.19908	0.009982888725479378	26682
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.19448	0.009944614295342337	58242
k__Bacteria|p__Actinomycetota|c__CFGB77988	2|201174|	1.13183	0.00942303002505374	20140
k__Bacteria|p__Firmicutes|c__CFGB1777	2|1239|	1.09438	0.009111219131534511	15313
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	1.03199	0.00859183112893599	20990
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	1.0282	0.00856022089402701	21402
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	1.01888	0.008482616307911878	27050
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.92458	0.007697597181003322	38871
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.50806	0.004229830723526371	16350
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.50156	0.004175701853647502	10576
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.49592	0.004128752618084634	17649
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.49313	0.004105565630750641	10968
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.38179	0.0031785693414444214	10774
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.35282	0.002937355435710802	12809
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.31091	0.002588468202389886	13992
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	0.29266	0.0024365345660561843	17413
k__Bacteria|p__Firmicutes|c__CFGB92040	2|1239|	0.28665	0.002386521482806185	7868
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	0.26053	0.002169037192294086	6583
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.16098	0.0013402687506078922	11365
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.14022	0.0011674375401316082	8988
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.13546	0.0011277820561986665	6455
k__Bacteria|p__Firmicutes|c__CFGB92044	2|1239|	0.09352	0.000778563454151009	6447
k__Bacteria|p__Firmicutes|c__CFGB82250	2|1239|	0.08572	0.000713652180203417	5748
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.07782	0.0006478981594658109	2284
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.06471	0.0005387291886335378	3536
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.05761	0.0004796375666171396	3988
k__Bacteria|p__Firmicutes|c__CFGB94730	2|1239|	0.04607	0.0003835644311126234	4383
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.04385	0.0003650616805412706	5017
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.04347	0.00036189344130105664	5972
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.03093	0.0002574986943193589	5190
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.01979	0.00016478798915721721	3666
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.01528	0.0001272075696778418	10382
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.01229	0.00010230800836521043	4513
k__Bacteria|p__Firmicutes|c__CFGB36777	2|1239|	0.01193	9.933362903123605e-05	2613
k__Bacteria|p__Firmicutes|c__CFGB2889	2|1239|	0.00979	8.149866121193396e-05	4126
k__Bacteria|p__Firmicutes|c__CFGB4648	2|1239|	0.00811	6.754854328696469e-05	4555
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.00733	6.104927719283907e-05	6278
