#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_2P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_2P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_2P_bbmerged.fastq.gz
#2061705 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 2253429
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.0	-	-191724
k__Bacteria	2	100.0	0.6047516246124724	2253429
k__Bacteria|p__Firmicutes	2|1239	80.31535	0.48570836994331296	1769837
k__Bacteria|p__Bacteroidota	2|976	7.89857	0.047766733587979705	258025
k__Bacteria|p__Verrucomicrobiota	2|74201	7.25487	0.04387392039948877	125320
k__Bacteria|p__Actinomycetota	2|201174	4.28932	0.02593973035278815	79003
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.16332	0.0009876827768434662	14348
k__Bacteria|p__Chloroflexota	2|200795	0.04928	0.00029802077061687795	4885
k__Bacteria|p__Pseudomonadota	2|1224	0.0293	0.00017716678144255455	2011
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	54.89844	0.3319992260270123	1322653
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	7.80433	0.04719681042880365	73896
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	7.25487	0.04387392039948877	125320
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	6.88475	0.041635611026605686	235781
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	3.35311	0.02027800616714687	61191
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	2.21614	0.01340212438795881	26875
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	2.11689	0.012801898202175336	26596
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	1.99276	0.012051258151700146	32032
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.82301	0.011024672767403185	23888
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	1.74543	0.010555510249963946	45733
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	1.51364	0.009153774081382219	24134
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	1.27033	0.007682366888062038	24690
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.9357	0.00565868325291612	12459
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.86414	0.005225900516073224	16621
k__Bacteria|p__Bacteroidota|c__CFGB629	2|976|	0.82656	0.004998624832877324	16129
