#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_13P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_13P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_13P_bbmerged.fastq.gz
#3213585 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 3053502
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	4.981446	-	160083
k__Bacteria	2	95.018554	0.8022969084913356	3053502
k__Bacteria|p__Firmicutes	2|1239	60.47441	0.5106206137585332	1939988
k__Bacteria|p__Actinomycetota	2|201174	15.952805	0.13469880912029733	336536
k__Bacteria|p__Bacteroidota	2|976	13.270178	0.11204782771004046	629236
k__Bacteria|p__Verrucomicrobiota	2|74201	3.989329	0.0336842249985266	107459
k__Bacteria|p__Pseudomonadota	2|1224	1.149398	0.009705036814845197	28656
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.182434	0.0015403960890928883	11627
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	56.617582	0.4780551679841143	1772099
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	14.489893	0.12234659120237125	306836
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	13.270178	0.11204782771004046	629236
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	3.989329	0.0336842249985266	107459
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.62971	0.013760590263913523	44385
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.462912	0.012352217917926093	29700
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.149398	0.009705036814845197	28656
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.888999	0.0075063326471453435	38053
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.420833	0.0035533414785658525	17119
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.276568	0.0023352220153021004	8039
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.191317	0.0016154039163818073	25824
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.182434	0.0015403960890928883	11627
k__Bacteria|p__Firmicutes|c__CFGB94810	2|1239|	0.160682	0.0013567310642527885	8789
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.086241	0.0007281816634963287	7097
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.067384	0.0005689585070060495	4085
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.052646	0.0004445172635694988	4101
k__Bacteria|p__Firmicutes|c__CFGB1374	2|1239|	0.048947	0.00041328428870534184	5652
k__Bacteria|p__Firmicutes|c__CFGB36777	2|1239|	0.027368	0.0002310803686229019	2730
k__Bacteria|p__Firmicutes|c__CFGB3034	2|1239|	0.006135	5.180229745733872e-05	2015
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	36.427348	0.30757728243685717	1164969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	18.779967	0.15857018494613154	562032
