#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_223P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_223P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_223P_bbmerged.fastq.gz
#4945933 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 4681476
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	5.346959	-	264457
k__Bacteria	2	91.038644	1.2875001053060746	4586941
k__Archaea	2157	3.614397	0.051116056838973384	94535
k__Bacteria|p__Firmicutes	2|1239	49.71606	0.7031017700928328	2366184
k__Bacteria|p__Bacteroidota	2|976	27.603167	0.3903735668642676	1534991
k__Bacteria|p__Verrucomicrobiota	2|74201	8.680523	0.12276297048463491	389278
k__Archaea|p__Methanobacteriota	2157|28890	3.614397	0.051116056838973384	94535
k__Bacteria|p__Actinomycetota	2|201174	2.291909	0.032412978569187435	97808
k__Bacteria|p__Pseudomonadota	2|1224	2.20782	0.031223751539527167	163695
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.539166	0.007625067755624786	34985
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	36.931767	0.5223018734239478	1737819
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	26.328261	0.3723434086250853	1485838
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	8.680523	0.12276297048463491	389278
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	3.805376	0.05381695499176803	141441
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	3.614397	0.051116056838973384	94535
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	2.277238	0.03220548441043029	92656
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	2.137048	0.03022286907777689	151380
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	2.105865	0.02978187958891659	91358
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.926454	0.027244582508757335	61559
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	1.252904	0.01771899997475762	42810
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.754766	0.010674157793478847	30855
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	0.591029	0.008358533665581274	18952
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.562005	0.007948062863273398	21864
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.539166	0.007625067755624786	34985
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.525233	0.007428032654494401	28670
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.364531	0.005155318895949174	36557
k__Bacteria|p__Firmicutes|c__CFGB82250	2|1239|	0.242794	0.003433676014476349	12951
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	0.239379	0.0033853825382687223	26439
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.217748	0.0030794707905621947	9785
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.194455	0.0027500486083241052	7089
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.154118	0.0021795947236088065	5140
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.12066	0.0017064119203011108	9025
k__Bacteria|p__Firmicutes|c__CFGB94730	2|1239|	0.108464	0.0015339348548806257	5555
k__Bacteria|p__Firmicutes|c__CFGB41726	2|1239|	0.106421	0.0015050412028956787	6919
