#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_203_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/metaphlan4/PD_203_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/results_0526/bbmerge/PD_203_bbmerged.fastq.gz
#3403037 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 3492396
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.0	-	-89359
k__Bacteria	2	95.36364	0.8320697781103621	3415646
k__Archaea	2157	4.63636	0.040453278420825675	76750
k__Bacteria|p__Firmicutes	2|1239	70.55415	0.6156012095728202	2473949
k__Bacteria|p__Bacteroidota	2|976	15.32058	0.1336755930703069	660520
k__Bacteria|p__Actinomycetota	2|201174	8.64441	0.07542448564371146	201105
k__Archaea|p__Methanobacteriota	2157|28890	4.63636	0.040453278420825675	76750
k__Bacteria|p__Pseudomonadota	2|1224	0.4323	0.003771957523140149	36702
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.13062	0.0011397317052411929	10198
k__Bacteria|p__Synergistota	2|508458	0.09324	0.0008135272696907917	6676
k__Bacteria|p__Chloroflexota	2|200795	0.07996	0.000697637444230253	5740
k__Bacteria|p__Verrucomicrobiota	2|74201	0.06158	0.0005373252721335552	7022
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.0468	0.00040831060908760365	13734
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.07403	0.40200651985264213	1718442
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	15.27567	0.1332837121852288	656315
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	5.81009	0.050694340670133654	177142
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	4.63636	0.040453278420825675	76750
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	4.20197	0.036663195219768734	96977
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.728	0.023802409626791896	89492
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	2.21051	0.01928719254745626	47827
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	2.18391	0.019055087032228014	64600
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	1.91537	0.01671200977544898	55112
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.78151	0.015544084778749523	37228
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.48879	0.012990035612480254	42158
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	1.46013	0.012739959100170154	26079
k__Bacteria|p__Firmicutes|c__CFGB2979	2|1239|	1.3457	0.011741565299690736	27842
k__Bacteria|p__Actinomycetota|c__CFGB12107	2|201174|	0.93872	0.008190582821502352	17557
k__Bacteria|p__Firmicutes|c__CFGB74971	2|1239|	0.81769	0.007134561344471133	21705
k__Bacteria|p__Firmicutes|c__CFGB1776	2|1239|	0.81434	0.007105324926730443	13102
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.75161	0.0065579705428810125	12795
k__Bacteria|p__Firmicutes|c__CFGB9345	2|1239|	0.7004	0.006111160261167564	13415
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.64069	0.005590193461267892	15826
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.32674	0.002850899837955817	6316
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.30715	0.0026799463780370226	24285
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.2901	0.0025312252634037673	7028
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.28356	0.0024741018142968203	17970
k__Bacteria|p__Firmicutes|c__CFGB10309	2|1239|	0.21804	0.0019024495975120776	3724
k__Bacteria|p__Firmicutes|c__CFGB2921	2|1239|	0.20897	0.0018233215845684355	6068
k__Bacteria|p__Firmicutes|c__CFGB79291	2|1239|	0.19767	0.001724730980235488	6860
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.18552	0.0016186645821085243	9008
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.16936	0.0014777170470665387	5429
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.16823	0.001467815196250888	15906
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.15789	0.0013776088217261999	8233
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.13062	0.0011397317052411929	10198
k__Bacteria|p__Actinomycetota|c__CFGB94686	2|201174|	0.12822	0.001118738726821239	5380
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.12516	0.0010920111451031265	12417
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.12391	0.0010811385702620198	5800
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.10496	0.0009157669218562699	16761
k__Bacteria|p__Firmicutes|c__CFGB9119	2|1239|	0.10409	0.0009082067544344778	3052
k__Bacteria|p__Synergistota|c__Synergistia	2|508458|649775	0.09324	0.0008135272696907917	6676
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.08124	0.0007088259977961927	5399
k__Bacteria|p__Chloroflexota|c__CFGB94700	2|200795|	0.07996	0.000697637444230253	5740
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.07472	0.0006519057939160096	7021
