Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_1_bbduk_polyg_filt	pass	0.0	pass	138.880952968	Sanger / Illumina 1.9	pass	462.1 Mbp	51-151	Conventional base calls	pass	fail	warn	3327794.0	pass	warn	pass	49.0	96.8726929485	PD_100P_1_bbduk_polyg_filt.fastq	fail	pass
PD_100P_2_bbduk_polyg_filt	pass	0.0	pass	138.842507679	Sanger / Illumina 1.9	pass	462 Mbp	50-151	Conventional base calls	pass	fail	warn	3327794.0	pass	warn	pass	49.0	96.8233398552	PD_100P_2_bbduk_polyg_filt.fastq	fail	pass
PD_104P_1_bbduk_polyg_filt	pass	0.0	pass	125.638445503	Sanger / Illumina 1.9	pass	628.3 Mbp	51-151	Conventional base calls	pass	pass	warn	5001542.0	pass	pass	pass	46.0	97.1819781023	PD_104P_1_bbduk_polyg_filt.fastq	fail	pass
PD_104P_2_bbduk_polyg_filt	pass	0.0	pass	125.621486534	Sanger / Illumina 1.9	pass	628.3 Mbp	50-151	Conventional base calls	pass	pass	warn	5001542.0	pass	warn	pass	46.0	97.2581391204	PD_104P_2_bbduk_polyg_filt.fastq	fail	pass
PD_105P_1_bbduk_polyg_filt	pass	0.0	pass	124.435452494	Sanger / Illumina 1.9	pass	420.3 Mbp	51-151	Conventional base calls	pass	fail	warn	3378256.0	pass	pass	pass	53.0	94.0198766167	PD_105P_1_bbduk_polyg_filt.fastq	fail	pass
PD_105P_2_bbduk_polyg_filt	pass	0.0	pass	124.420368675	Sanger / Illumina 1.9	pass	420.3 Mbp	50-151	Conventional base calls	pass	fail	warn	3378256.0	pass	pass	pass	53.0	94.056727622	PD_105P_2_bbduk_polyg_filt.fastq	fail	pass
PD_107P_1_bbduk_polyg_filt	pass	0.0	pass	123.920676203	Sanger / Illumina 1.9	pass	95.2 kbp	51-151	Conventional base calls	pass	pass	warn	769.0	pass	fail	warn	45.0	96.0988296489	PD_107P_1_bbduk_polyg_filt.fastq	fail	pass
PD_107P_2_bbduk_polyg_filt	pass	0.0	pass	123.763328999	Sanger / Illumina 1.9	pass	95.1 kbp	50-151	Conventional base calls	pass	warn	warn	769.0	pass	warn	warn	45.0	96.488946684	PD_107P_2_bbduk_polyg_filt.fastq	fail	pass
PD_108S_1_bbduk_polyg_filt	pass	0.0	pass	129.978574254	Sanger / Illumina 1.9	pass	727.4 Mbp	51-151	Conventional base calls	pass	warn	warn	5596678.0	pass	warn	pass	48.0	97.1772383799	PD_108S_1_bbduk_polyg_filt.fastq	fail	pass
PD_108S_2_bbduk_polyg_filt	pass	0.0	pass	129.955586332	Sanger / Illumina 1.9	pass	727.3 Mbp	50-151	Conventional base calls	pass	warn	warn	5596678.0	pass	pass	pass	48.0	97.15156338	PD_108S_2_bbduk_polyg_filt.fastq	fail	pass
