Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
PD_100P_1_bbduk_polyg_filt	3.12730705147	49.0	138.880952968	3327794.0	18.1818181818
PD_100P_2_bbduk_polyg_filt	3.17666014477	49.0	138.842507679	3327794.0	18.1818181818
PD_104P_1_bbduk_polyg_filt	2.81802189768	46.0	125.638445503	5001542.0	9.09090909091
PD_104P_2_bbduk_polyg_filt	2.74186087959	46.0	125.621486534	5001542.0	9.09090909091
PD_105P_1_bbduk_polyg_filt	5.9801233833	53.0	124.435452494	3378256.0	18.1818181818
PD_105P_2_bbduk_polyg_filt	5.94327237805	53.0	124.420368675	3378256.0	18.1818181818
PD_107P_1_bbduk_polyg_filt	3.90117035111	45.0	123.920676203	769.0	18.1818181818
PD_107P_2_bbduk_polyg_filt	3.51105331599	45.0	123.763328999	769.0	9.09090909091
PD_108S_1_bbduk_polyg_filt	2.82276162007	48.0	129.978574254	5596678.0	9.09090909091
PD_108S_2_bbduk_polyg_filt	2.84843662002	48.0	129.955586332	5596678.0	9.09090909091
PD_109S_1_bbduk_polyg_filt	3.29069853168	46.0	128.666271073	5175347.0	9.09090909091
PD_109S_2_bbduk_polyg_filt	3.34149643164	46.0	128.640468166	5175347.0	9.09090909091
PD_10P_1_bbduk_polyg_filt	1.92036850749	50.0	123.729487011	2789574.0	18.1818181818
PD_10P_2_bbduk_polyg_filt	1.90718829786	50.0	123.701877061	2789574.0	9.09090909091
PD_110S_1_bbduk_polyg_filt	2.60150173825	46.0	126.345322307	4210452.0	9.09090909091
PD_110S_2_bbduk_polyg_filt	2.59500513023	46.0	126.322417166	4210452.0	9.09090909091
PD_111P_1_bbduk_polyg_filt	3.33383694238	49.0	129.712071017	4262176.0	9.09090909091
PD_111P_2_bbduk_polyg_filt	3.23024746999	49.0	129.691383697	4262176.0	9.09090909091
PD_112S_1_bbduk_polyg_filt	3.94532209217	45.0	125.624785135	12217.0	18.1818181818
PD_112S_2_bbduk_polyg_filt	3.81435704346	45.0	125.50609806	12217.0	9.09090909091
PD_113P_1_bbduk_polyg_filt	6.20742697794	51.0	134.153006426	5240525.0	18.1818181818
PD_113P_2_bbduk_polyg_filt	6.08356958538	51.0	134.129008067	5240525.0	18.1818181818
PD_114P_1_bbduk_polyg_filt	3.3083065376	47.0	121.19588825	3638110.0	9.09090909091
PD_114P_2_bbduk_polyg_filt	3.3558634457	47.0	121.179278526	3638110.0	9.09090909091
PD_115S_1_bbduk_polyg_filt	4.60766477216	47.0	136.132162968	3882661.0	9.09090909091
PD_115S_2_bbduk_polyg_filt	4.48356526339	47.0	136.112448911	3882661.0	9.09090909091
PD_116P_1_bbduk_polyg_filt	2.69100639934	46.0	128.808431852	6007648.0	9.09090909091
PD_116P_2_bbduk_polyg_filt	2.71275785603	46.0	128.794552044	6007648.0	9.09090909091
PD_117_1_bbduk_polyg_filt	3.08937120266	46.0	132.005138594	4312269.0	9.09090909091
PD_117_2_bbduk_polyg_filt	3.131363925	46.0	131.978976497	4312269.0	9.09090909091
PD_118_1_bbduk_polyg_filt	2.52649420386	47.0	132.726220049	4377059.0	9.09090909091
PD_118_2_bbduk_polyg_filt	2.42549412257	47.0	132.689408345	4377059.0	9.09090909091
PD_119P_1_bbduk_polyg_filt	2.5636751084	48.0	125.025465382	4266223.0	9.09090909091
PD_119P_2_bbduk_polyg_filt	2.51785299862	48.0	125.00056209	4266223.0	9.09090909091
PD_11P_1_bbduk_polyg_filt	2.63450109911	48.0	125.221612649	4261449.0	9.09090909091
PD_11P_2_bbduk_polyg_filt	2.61669983283	48.0	125.192984358	4261449.0	9.09090909091
PD_120S_1_bbduk_polyg_filt	2.62473870396	48.0	125.479437948	3482167.0	9.09090909091
PD_120S_2_bbduk_polyg_filt	2.54556403462	48.0	125.454403824	3482167.0	9.09090909091
PD_121S_1_bbduk_polyg_filt	3.06832962197	50.0	131.357913508	6032843.0	9.09090909091
PD_121S_2_bbduk_polyg_filt	3.10708958764	50.0	131.332845393	6032843.0	9.09090909091
PD_122S_1_bbduk_polyg_filt	2.67310202017	49.0	126.364995864	4739440.0	9.09090909091
PD_122S_2_bbduk_polyg_filt	2.63649927318	49.0	126.348172569	4739440.0	9.09090909091
PD_123P_1_bbduk_polyg_filt	4.95903958032	46.0	131.781636883	5493991.0	9.09090909091
PD_123P_2_bbduk_polyg_filt	4.99397536408	46.0	131.757395125	5493991.0	9.09090909091
PD_126P_1_bbduk_polyg_filt	3.76573069861	51.0	125.376279851	5552891.0	18.1818181818
PD_126P_2_bbduk_polyg_filt	3.84157350912	51.0	125.355992761	5552891.0	18.1818181818
PD_127S_1_bbduk_polyg_filt	2.174048445	49.0	132.400660639	5703565.0	9.09090909091
PD_127S_2_bbduk_polyg_filt	2.1174215949	49.0	132.376696855	5703565.0	9.09090909091
PD_128S_1_bbduk_polyg_filt	2.63278177492	46.0	128.836561646	5152279.0	9.09090909091
PD_128S_2_bbduk_polyg_filt	2.55455953339	46.0	128.808332584	5152279.0	9.09090909091
PD_129P_1_bbduk_polyg_filt	4.48260375897	53.0	122.897326996	3113389.0	18.1818181818
PD_129P_2_bbduk_polyg_filt	4.47640152311	53.0	122.868969473	3113389.0	18.1818181818
PD_12P_1_bbduk_polyg_filt	2.25494382455	48.0	122.882416547	3221142.0	9.09090909091
PD_12P_2_bbduk_polyg_filt	2.24640670313	48.0	122.861779456	3221142.0	9.09090909091
PD_130S_1_bbduk_polyg_filt	3.05547722068	45.0	132.869266999	3877376.0	9.09090909091
PD_130S_2_bbduk_polyg_filt	3.02463863894	45.0	132.839141729	3877376.0	9.09090909091
PD_131P_1_bbduk_polyg_filt	6.43424584463	46.0	122.511709969	4267902.0	9.09090909091
PD_131P_2_bbduk_polyg_filt	6.3141246102	47.0	122.489337853	4267902.0	9.09090909091
PD_134S_1_bbduk_polyg_filt	3.52500580927	46.0	128.699466999	6545015.0	9.09090909091
PD_134S_2_bbduk_polyg_filt	3.52471852379	46.0	128.671657743	6545015.0	9.09090909091
PD_137P_1_bbduk_polyg_filt	2.22300916461	45.0	132.918109047	5054722.0	9.09090909091
PD_137P_2_bbduk_polyg_filt	2.25564125086	45.0	132.898079855	5054722.0	9.09090909091
PD_138S_1_bbduk_polyg_filt	4.29176554615	44.0	123.915046709	3422363.0	9.09090909091
PD_138S_2_bbduk_polyg_filt	4.2878236253	44.0	123.89678798	3422363.0	9.09090909091
PD_13P_1_bbduk_polyg_filt	4.36422311099	47.0	126.183440425	4268612.0	9.09090909091
PD_13P_2_bbduk_polyg_filt	4.36077280954	48.0	126.158868269	4268612.0	9.09090909091
PD_140S_1_bbduk_polyg_filt	3.07549682145	47.0	132.081294986	6811195.0	9.09090909091
PD_140S_2_bbduk_polyg_filt	3.04393420981	47.0	132.060455324	6811195.0	9.09090909091
PD_141P_1_bbduk_polyg_filt	7.16816205972	46.0	133.145352056	6422097.0	9.09090909091
PD_141P_2_bbduk_polyg_filt	7.11518469682	46.0	133.124627361	6422097.0	9.09090909091
PD_142S_1_bbduk_polyg_filt	4.63233065231	44.0	136.550750557	4401065.0	9.09090909091
PD_142S_2_bbduk_polyg_filt	4.71600790755	44.0	136.522406281	4401065.0	9.09090909091
PD_145P_1_bbduk_polyg_filt	2.44318653668	47.0	132.493852054	6580003.0	9.09090909091
PD_145P_2_bbduk_polyg_filt	2.45812263607	48.0	132.466906778	6580003.0	9.09090909091
PD_146S_1_bbduk_polyg_filt	2.48839386416	47.0	131.035429343	4252859.0	9.09090909091
PD_146S_2_bbduk_polyg_filt	2.44580407667	47.0	131.00959966	4252859.0	9.09090909091
PD_147_1_bbduk_polyg_filt	2.76854837117	46.0	135.782059109	4938807.0	9.09090909091
PD_147_2_bbduk_polyg_filt	2.67133492112	46.0	135.753094826	4938807.0	9.09090909091
PD_148P_1_bbduk_polyg_filt	3.31255446763	47.0	131.402160235	6003050.0	9.09090909091
PD_148P_2_bbduk_polyg_filt	3.13879549703	47.0	131.36630796	6003050.0	9.09090909091
PD_149S_1_bbduk_polyg_filt	2.27471194151	49.0	132.449676751	4200782.0	9.09090909091
PD_149S_2_bbduk_polyg_filt	2.21826363039	49.0	132.411224386	4200782.0	9.09090909091
PD_14P_1_bbduk_polyg_filt	2.23478427573	47.0	122.316583956	3338154.0	9.09090909091
PD_14P_2_bbduk_polyg_filt	2.24339420753	47.0	122.299838773	3338154.0	9.09090909091
PD_150P_1_bbduk_polyg_filt	3.38519146289	45.0	128.264296188	4490935.0	9.09090909091
PD_150P_2_bbduk_polyg_filt	3.38540010991	45.0	128.2421734	4490935.0	9.09090909091
PD_151S_1_bbduk_polyg_filt	2.44169037766	46.0	126.613989275	4306256.0	9.09090909091
PD_151S_2_bbduk_polyg_filt	2.43099833845	46.0	126.595147386	4306256.0	9.09090909091
PD_152P_1_bbduk_polyg_filt	2.35615449714	49.0	133.756615321	4051126.0	9.09090909091
PD_152P_2_bbduk_polyg_filt	2.35333364625	49.0	133.717372405	4051126.0	9.09090909091
PD_153S_1_bbduk_polyg_filt	3.10574965924	50.0	125.671047324	5862515.0	9.09090909091
PD_153S_2_bbduk_polyg_filt	3.12497615127	50.0	125.652612573	5862515.0	9.09090909091
PD_156P_1_bbduk_polyg_filt	5.51095923814	44.0	126.281729459	3828989.0	9.09090909091
PD_156P_2_bbduk_polyg_filt	5.49579543586	44.0	126.265060829	3828989.0	9.09090909091
PD_157S_1_bbduk_polyg_filt	3.7019750783	47.0	125.185204815	5124505.0	9.09090909091
PD_157S_2_bbduk_polyg_filt	3.76096841533	47.0	125.171319766	5124505.0	9.09090909091
PD_158P_1_bbduk_polyg_filt	3.36328184413	45.0	132.0784047	5735600.0	9.09090909091
PD_158P_2_bbduk_polyg_filt	3.4123332795	45.0	132.059754864	5735600.0	9.09090909091
PD_159S_1_bbduk_polyg_filt	3.54909739361	46.0	130.845546272	5744277.0	9.09090909091
PD_159S_2_bbduk_polyg_filt	3.60823040421	46.0	130.826013613	5744277.0	9.09090909091
PD_15P_1_bbduk_polyg_filt	2.16544572414	47.0	123.373677241	3639079.0	9.09090909091
PD_15P_2_bbduk_polyg_filt	2.14740033095	47.0	123.349596148	3639079.0	9.09090909091
PD_160P_1_bbduk_polyg_filt	3.74282125761	49.0	127.667385885	5619061.0	9.09090909091
PD_160P_2_bbduk_polyg_filt	3.6654526848	49.0	127.648722447	5619061.0	9.09090909091
PD_161S_1_bbduk_polyg_filt	4.87696610094	46.0	135.718864211	67583.0	9.09090909091
PD_161S_2_bbduk_polyg_filt	4.44046579761	46.0	135.363227439	67583.0	9.09090909091
PD_162P_1_bbduk_polyg_filt	2.09414448284	47.0	132.85514658	4792921.0	9.09090909091
PD_162P_2_bbduk_polyg_filt	2.05898131098	47.0	132.819723922	4792921.0	9.09090909091
PD_163S_1_bbduk_polyg_filt	2.36905742767	47.0	128.086637518	5560247.0	9.09090909091
PD_163S_2_bbduk_polyg_filt	2.28815844516	47.0	128.056061538	5560247.0	9.09090909091
PD_164P_1_bbduk_polyg_filt	2.18833685697	48.0	130.079056207	3725476.0	9.09090909091
PD_164P_2_bbduk_polyg_filt	2.11358294393	48.0	130.044271121	3725476.0	9.09090909091
PD_165S_1_bbduk_polyg_filt	2.82122786698	48.0	127.90759261	6106622.0	9.09090909091
PD_165S_2_bbduk_polyg_filt	2.78068817073	48.0	127.887104851	6106622.0	9.09090909091
PD_166_1_bbduk_polyg_filt	2.31114969819	49.0	132.36185242	4327745.0	9.09090909091
PD_166_2_bbduk_polyg_filt	2.27724548121	49.0	132.340330588	4327745.0	9.09090909091
PD_167P_1_bbduk_polyg_filt	3.79069515129	47.0	137.159554522	4807598.0	9.09090909091
PD_167P_2_bbduk_polyg_filt	3.69094538176	47.0	137.128860192	4807598.0	9.09090909091
PD_169P_1_bbduk_polyg_filt	3.11686982772	50.0	125.5055348	5400105.0	9.09090909091
PD_169P_2_bbduk_polyg_filt	3.02602756327	50.0	125.47934142	5400105.0	9.09090909091
PD_16P_1_bbduk_polyg_filt	2.29538620748	47.0	121.228992883	4133373.0	9.09090909091
PD_16P_2_bbduk_polyg_filt	2.29853550383	47.0	121.214705762	4133373.0	9.09090909091
PD_170S_1_bbduk_polyg_filt	2.10541848957	47.0	128.679499929	4490882.0	9.09090909091
PD_170S_2_bbduk_polyg_filt	2.12475708629	48.0	128.648537192	4490882.0	9.09090909091
PD_171P_1_bbduk_polyg_filt	2.540667314	46.0	132.45619689	5522633.0	9.09090909091
PD_171P_2_bbduk_polyg_filt	2.61798030123	46.0	132.439809417	5522633.0	9.09090909091
PD_172S_1_bbduk_polyg_filt	2.07892506758	49.0	131.651243876	3270744.0	9.09090909091
PD_172S_2_bbduk_polyg_filt	2.07899565291	49.0	131.630346184	3270744.0	9.09090909091
PD_173P_1_bbduk_polyg_filt	2.6074590315	48.0	132.79960328	4841197.0	9.09090909091
PD_173P_2_bbduk_polyg_filt	2.5582632969	48.0	132.776158045	4841197.0	9.09090909091
PD_174S_1_bbduk_polyg_filt	3.84589746837	46.0	137.526097013	4763821.0	9.09090909091
PD_174S_2_bbduk_polyg_filt	3.74795933667	46.0	137.47834207	4763821.0	9.09090909091
PD_175P_1_bbduk_polyg_filt	3.148582575	48.0	126.395309032	3822708.0	9.09090909091
PD_175P_2_bbduk_polyg_filt	3.10610456433	48.0	126.36136294	3822708.0	9.09090909091
PD_176S_1_bbduk_polyg_filt	2.45511726869	47.0	134.467455247	5106983.0	9.09090909091
PD_176S_2_bbduk_polyg_filt	2.36377923482	47.0	134.441570493	5106983.0	9.09090909091
PD_177P_1_bbduk_polyg_filt	3.06611261197	47.0	133.967730775	3760332.0	9.09090909091
PD_177P_2_bbduk_polyg_filt	3.02594738993	47.0	133.94933958	3760332.0	9.09090909091
PD_178S_1_bbduk_polyg_filt	2.64738914602	48.0	131.754458514	6009457.0	9.09090909091
PD_178S_2_bbduk_polyg_filt	2.62323004171	48.0	131.729496026	6009457.0	9.09090909091
PD_179P_1_bbduk_polyg_filt	4.9399375549	46.0	133.50528179	5521234.0	9.09090909091
PD_179P_2_bbduk_polyg_filt	4.87839967947	46.0	133.481810226	5521234.0	9.09090909091
PD_180S_1_bbduk_polyg_filt	2.6701227373	45.0	133.288457266	4721871.0	9.09090909091
PD_180S_2_bbduk_polyg_filt	2.65326415408	45.0	133.249037087	4721871.0	9.09090909091
PD_181P_1_bbduk_polyg_filt	2.8009210216	46.0	129.213539604	5034874.0	9.09090909091
PD_181P_2_bbduk_polyg_filt	2.84993509018	46.0	129.191910066	5034874.0	9.09090909091
PD_182S_1_bbduk_polyg_filt	5.18370375149	46.0	135.054046644	62002.0	9.09090909091
PD_182S_2_bbduk_polyg_filt	5.082094126	46.0	134.808280378	62002.0	9.09090909091
PD_183P_1_bbduk_polyg_filt	3.16974627304	48.0	135.193828714	6959846.0	9.09090909091
PD_183P_2_bbduk_polyg_filt	3.16094991437	48.0	135.169237653	6959846.0	9.09090909091
PD_184S_1_bbduk_polyg_filt	3.5675831308	45.0	133.555075842	7677259.0	9.09090909091
PD_184S_2_bbduk_polyg_filt	3.57491192887	45.0	133.534999015	7677259.0	9.09090909091
PD_188S_1_bbduk_polyg_filt	2.11419859505	47.0	127.683689757	3959524.0	9.09090909091
PD_188S_2_bbduk_polyg_filt	2.09056944101	47.0	127.664425825	3959524.0	9.09090909091
PD_189P_1_bbduk_polyg_filt	2.67886979974	46.0	128.69929395	4628141.0	9.09090909091
PD_189P_2_bbduk_polyg_filt	2.71925437859	46.0	128.680616256	4628141.0	9.09090909091
PD_190S_1_bbduk_polyg_filt	2.2159371916	48.0	134.94063378	4625324.0	9.09090909091
PD_190S_2_bbduk_polyg_filt	2.16674796828	48.0	134.911991679	4625324.0	9.09090909091
PD_192S_1_bbduk_polyg_filt	3.23722812342	43.0	125.675265554	1977.0	9.09090909091
PD_192S_2_bbduk_polyg_filt	3.54071825999	44.0	125.562468386	1977.0	18.1818181818
PD_193P_1_bbduk_polyg_filt	2.90040802513	46.0	129.212081992	5127201.0	9.09090909091
PD_193P_2_bbduk_polyg_filt	2.87935902801	46.0	129.189503786	5127201.0	9.09090909091
PD_194S_1_bbduk_polyg_filt	1.90379283345	48.0	129.062297769	3705237.0	9.09090909091
PD_194S_2_bbduk_polyg_filt	1.88478408153	49.0	129.040903456	3705237.0	9.09090909091
PD_195_1_bbduk_polyg_filt	3.03576145419	50.0	130.462546989	5615650.0	18.1818181818
PD_195_2_bbduk_polyg_filt	3.07037598313	50.0	130.446736531	5615650.0	18.1818181818
PD_196_1_bbduk_polyg_filt	3.00371613368	47.0	132.020994469	6596404.0	9.09090909091
PD_196_2_bbduk_polyg_filt	3.02232860413	47.0	131.994580835	6596404.0	9.09090909091
PD_197_1_bbduk_polyg_filt	2.70054377142	49.0	132.661047159	5515667.0	9.09090909091
PD_197_2_bbduk_polyg_filt	2.71285960667	49.0	132.623276931	5515667.0	9.09090909091
PD_198_1_bbduk_polyg_filt	2.97037150616	47.0	137.80228172	4014778.0	9.09090909091
PD_198_2_bbduk_polyg_filt	2.87482828452	47.0	137.778297331	4014778.0	9.09090909091
PD_199P_1_bbduk_polyg_filt	0.0	45.0	151.0	1.0	27.2727272727
PD_199P_2_bbduk_polyg_filt	0.0	47.0	151.0	1.0	36.3636363636
PD_1P_1_bbduk_polyg_filt	3.35072180723	52.0	124.119494414	3913639.0	9.09090909091
PD_1P_2_bbduk_polyg_filt	3.41713216763	52.0	124.095458728	3913639.0	9.09090909091
PD_200S_1_bbduk_polyg_filt	2.1114386502	48.0	132.713178775	5079129.0	9.09090909091
PD_200S_2_bbduk_polyg_filt	2.12890481296	48.0	132.685211185	5079129.0	9.09090909091
PD_203_1_bbduk_polyg_filt	1.52833353751	48.0	131.169472374	4394852.0	9.09090909091
PD_203_2_bbduk_polyg_filt	1.52579966283	48.0	131.151891804	4394852.0	9.09090909091
PD_204_1_bbduk_polyg_filt	2.52175557163	47.0	125.516587962	4269542.0	9.09090909091
PD_204_2_bbduk_polyg_filt	2.4987619866	48.0	125.492349531	4269542.0	9.09090909091
PD_205P_1_bbduk_polyg_filt	3.82699376526	45.0	137.11389752	3367975.0	9.09090909091
PD_205P_2_bbduk_polyg_filt	3.79253228413	46.0	137.088062114	3367975.0	9.09090909091
PD_206S_1_bbduk_polyg_filt	2.59899274228	48.0	132.488362857	5912276.0	9.09090909091
PD_206S_2_bbduk_polyg_filt	2.50637659512	48.0	132.455452181	5912276.0	9.09090909091
PD_207P_1_bbduk_polyg_filt	3.48442468726	48.0	130.391209116	5240770.0	9.09090909091
PD_207P_2_bbduk_polyg_filt	3.46906771139	48.0	130.370836537	5240770.0	9.09090909091
PD_208S_1_bbduk_polyg_filt	2.72142891029	48.0	132.670278751	4108431.0	9.09090909091
PD_208S_2_bbduk_polyg_filt	2.72176780259	48.0	132.649067734	4108431.0	9.09090909091
PD_209P_1_bbduk_polyg_filt	3.47778243226	46.0	132.349770915	5396698.0	9.09090909091
PD_209P_2_bbduk_polyg_filt	3.39175908696	46.0	132.327896058	5396698.0	9.09090909091
PD_210S_1_bbduk_polyg_filt	2.66487884133	46.0	133.681901801	4623217.0	9.09090909091
PD_210S_2_bbduk_polyg_filt	2.61564448387	46.0	133.646405955	4623217.0	9.09090909091
PD_211P_1_bbduk_polyg_filt	4.83130966725	44.0	134.609046251	43156.0	9.09090909091
PD_211P_2_bbduk_polyg_filt	4.52544258041	44.0	134.29451293	43156.0	9.09090909091
PD_212S_1_bbduk_polyg_filt	4.84281570067	42.0	132.112604346	16891.0	18.1818181818
PD_212S_2_bbduk_polyg_filt	4.70664851104	42.0	131.933455686	16891.0	9.09090909091
PD_213S_1_bbduk_polyg_filt	2.45660915625	46.0	132.421173112	5921926.0	9.09090909091
PD_213S_2_bbduk_polyg_filt	2.48607163035	46.0	132.398217404	5921926.0	9.09090909091
PD_214S_1_bbduk_polyg_filt	4.01546494808	46.0	136.107177085	4634890.0	9.09090909091
PD_214S_2_bbduk_polyg_filt	3.97344811952	46.0	136.078476943	4634890.0	9.09090909091
PD_215S_1_bbduk_polyg_filt	3.24378651975	46.0	133.184239879	6810024.0	9.09090909091
PD_215S_2_bbduk_polyg_filt	3.15618740269	46.0	133.151736763	6810024.0	9.09090909091
PD_216S_1_bbduk_polyg_filt	4.66160429097	44.0	133.240824444	33186.0	9.09090909091
PD_216S_2_bbduk_polyg_filt	4.58024468149	44.0	133.049448563	33186.0	9.09090909091
PD_217P_1_bbduk_polyg_filt	5.39986097689	42.0	135.91261889	58983.0	9.09090909091
PD_217P_2_bbduk_polyg_filt	5.22692979333	43.0	135.699269281	58983.0	9.09090909091
PD_218S_1_bbduk_polyg_filt	4.75285171103	47.0	135.44486692	1052.0	9.09090909091
PD_218S_2_bbduk_polyg_filt	4.75285171103	47.0	135.461977186	1052.0	9.09090909091
PD_221P_1_bbduk_polyg_filt	2.30669972238	48.0	134.025107893	4900690.0	9.09090909091
PD_221P_2_bbduk_polyg_filt	2.2945245822	48.0	134.00026078	4900690.0	9.09090909091
PD_222S_1_bbduk_polyg_filt	2.12030636978	47.0	129.814809379	4701750.0	9.09090909091
PD_222S_2_bbduk_polyg_filt	2.06360211529	47.0	129.782707077	4701750.0	9.09090909091
PD_223P_1_bbduk_polyg_filt	3.27004812643	49.0	132.823969966	6768078.0	9.09090909091
PD_223P_2_bbduk_polyg_filt	3.1591928114	49.0	132.794516848	6768078.0	9.09090909091
PD_224S_1_bbduk_polyg_filt	6.8615664295	45.0	134.326330719	7266524.0	9.09090909091
