	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_100P_1_bbduk_polyg_filt	11657.0	18910.0	23079.0	27560.0	31925.0	36291.0	40722.0	44306.0	47390.0	51678.0	56098.0	58510.0	62424.0	65108.0	68621.0	57506.0	61954.0	76364.0	77908.0	75102.0	2334681.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_100P_2_bbduk_polyg_filt	11668.0	18917.0	23099.0	27560.0	31947.0	36298.0	40740.0	44303.0	47380.0	51691.0	56097.0	58521.0	62449.0	65136.0	68697.0	57750.0	63134.0	79298.0	82527.0	76478.0	2324104.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_104P_1_bbduk_polyg_filt	48110.0	77330.0	95042.0	110163.0	124203.0	135636.0	145746.0	151768.0	154266.0	157187.0	160040.0	159370.0	157930.0	155305.0	154262.0	122100.0	124043.0	146306.0	140262.0	132171.0	2350302.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_104P_2_bbduk_polyg_filt	48178.0	77361.0	95080.0	110197.0	124243.0	135645.0	145783.0	151763.0	154258.0	157196.0	160066.0	159401.0	157905.0	155310.0	154320.0	122222.0	124665.0	147661.0	142779.0	132916.0	2344593.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_105P_1_bbduk_polyg_filt	45771.0	67608.0	77980.0	84675.0	90116.0	95204.0	100600.0	100812.0	98897.0	102142.0	103446.0	101244.0	102199.0	100057.0	101075.0	79622.0	83318.0	97607.0	93742.0	86903.0	1565238.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_105P_2_bbduk_polyg_filt	45796.0	67659.0	78008.0	84710.0	90120.0	95194.0	100627.0	100800.0	98906.0	102168.0	103409.0	101254.0	102216.0	100065.0	101086.0	79684.0	83673.0	98450.0	95288.0	87358.0	1561785.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_107P_1_bbduk_polyg_filt	12.0	15.0	12.0	27.0	21.0	16.0	26.0	21.0	18.0	25.0	36.0	28.0	18.0	24.0	25.0	15.0	17.0	21.0	21.0	23.0	348.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_107P_2_bbduk_polyg_filt	14.0	14.0	13.0	26.0	22.0	15.0	26.0	20.0	18.0	25.0	37.0	28.0	18.0	24.0	24.0	15.0	17.0	24.0	22.0	23.0	344.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_108S_1_bbduk_polyg_filt	47689.0	74626.0	90226.0	102709.0	113803.0	121862.0	130469.0	135250.0	138603.0	142404.0	145020.0	145671.0	146845.0	147104.0	148125.0	119577.0	123910.0	148667.0	146867.0	138887.0	3088364.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_108S_2_bbduk_polyg_filt	47734.0	74701.0	90261.0	102757.0	113820.0	121882.0	130469.0	135276.0	138601.0	142388.0	145002.0	145713.0	146924.0	147097.0	148174.0	119783.0	124889.0	151118.0	151137.0	140132.0	3078820.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_109S_1_bbduk_polyg_filt	47159.0	75233.0	91530.0	106332.0	118199.0	127113.0	134942.0	137995.0	138095.0	139166.0	139184.0	136285.0	135537.0	132548.0	130983.0	104119.0	105913.0	124607.0	121735.0	114453.0	2814219.0
	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
