clade_name	clade_taxid	PD_Lib_pos_plate2_metaphlan4	PD_Lib_pos_plate1_metaphlan4	PD_Lib_neg_plate2_metaphlan4	PD_Lib_neg_plate1_metaphlan4	PD_Extr_pos_plate3_metaphlan4	PD_Extr_pos_plate2_metaphlan4	PD_Extr_pos_plate1_metaphlan4	PD_Extr_neg_plate3_metaphlan4	PD_Extr_neg_plate2_metaphlan4	PD_Extr_neg_plate1_metaphlan4	PD_9P_metaphlan4	PD_8P_metaphlan4	PD_84P_metaphlan4	PD_83P_metaphlan4	PD_82P_metaphlan4	PD_81P_metaphlan4	PD_7P_metaphlan4	PD_79S_metaphlan4	PD_78P_metaphlan4	PD_77P_metaphlan4	PD_76P_metaphlan4	PD_75P_metaphlan4	PD_74P_metaphlan4	PD_73P_metaphlan4	PD_70P_metaphlan4	PD_6P_metaphlan4	PD_66P_metaphlan4	PD_65P_metaphlan4	PD_64P_metaphlan4	PD_63P_metaphlan4	PD_60P_metaphlan4	PD_5P_metaphlan4	PD_59P_metaphlan4	PD_58P_metaphlan4	PD_57P_metaphlan4	PD_56P_metaphlan4	PD_55P_metaphlan4	PD_54P_metaphlan4	PD_53P_metaphlan4	PD_52P_metaphlan4	PD_51P_metaphlan4	PD_50P_metaphlan4	PD_4P_metaphlan4	PD_48P_metaphlan4	PD_47P_metaphlan4	PD_46P_metaphlan4	PD_45P_metaphlan4	PD_44P_metaphlan4	PD_43P_metaphlan4	PD_42P_metaphlan4	PD_41P_metaphlan4	PD_40P_metaphlan4	PD_3P_metaphlan4	PD_39P_metaphlan4	PD_38P_metaphlan4	PD_36P_metaphlan4	PD_35P_metaphlan4	PD_34P_metaphlan4	PD_33P_metaphlan4	PD_32P_metaphlan4	PD_31P_metaphlan4	PD_30P_metaphlan4	PD_2P_metaphlan4	PD_29P_metaphlan4	PD_28P_metaphlan4	PD_27P_metaphlan4	PD_26P_metaphlan4	PD_25P_metaphlan4	PD_232S_metaphlan4	PD_231P_metaphlan4	PD_230S_metaphlan4	PD_229P_metaphlan4	PD_228S_metaphlan4	PD_227P_metaphlan4	PD_226S_metaphlan4	PD_225P_metaphlan4	PD_224S_metaphlan4	PD_223P_metaphlan4	PD_222S_metaphlan4	PD_221P_metaphlan4	PD_218S_metaphlan4	PD_217P_metaphlan4	PD_216S_metaphlan4	PD_215S_metaphlan4	PD_214S_metaphlan4	PD_213S_metaphlan4	PD_212S_metaphlan4	PD_211P_metaphlan4	PD_210S_metaphlan4	PD_209P_metaphlan4	PD_208S_metaphlan4	PD_207P_metaphlan4	PD_206S_metaphlan4	PD_205P_metaphlan4	PD_204_metaphlan4	PD_203_metaphlan4	PD_200S_metaphlan4	PD_1P_metaphlan4	PD_199P_metaphlan4	PD_198_metaphlan4	PD_197_metaphlan4	PD_196_metaphlan4	PD_195_metaphlan4	PD_194S_metaphlan4	PD_193P_metaphlan4	PD_192S_metaphlan4	PD_191P_metaphlan4	PD_190S_metaphlan4	PD_189P_metaphlan4	PD_188S_metaphlan4	PD_184S_metaphlan4	PD_183P_metaphlan4	PD_182S_metaphlan4	PD_181P_metaphlan4	PD_180S_metaphlan4	PD_179P_metaphlan4	PD_178S_metaphlan4	PD_177P_metaphlan4	PD_176S_metaphlan4	PD_175P_metaphlan4	PD_174S_metaphlan4	PD_173P_metaphlan4	PD_172S_metaphlan4	PD_171P_metaphlan4	PD_170S_metaphlan4	PD_16P_metaphlan4	PD_169P_metaphlan4	PD_167P_metaphlan4	PD_166_metaphlan4	PD_165S_metaphlan4	PD_164P_metaphlan4	PD_163S_metaphlan4	PD_162P_metaphlan4	PD_161S_metaphlan4	PD_160P_metaphlan4	PD_15P_metaphlan4	PD_159S_metaphlan4	PD_158P_metaphlan4	PD_157S_metaphlan4	PD_156P_metaphlan4	PD_153S_metaphlan4	PD_152P_metaphlan4	PD_151S_metaphlan4	PD_150P_metaphlan4	PD_14P_metaphlan4	PD_149S_metaphlan4	PD_148P_metaphlan4	PD_147_metaphlan4	PD_146S_metaphlan4	PD_145P_metaphlan4	PD_142S_metaphlan4	PD_141P_metaphlan4	PD_140S_metaphlan4	PD_13P_metaphlan4	PD_138S_metaphlan4	PD_137P_metaphlan4	PD_134S_metaphlan4	PD_131P_metaphlan4	PD_130S_metaphlan4	PD_12P_metaphlan4	PD_129P_metaphlan4	PD_128S_metaphlan4	PD_127S_metaphlan4	PD_126P_metaphlan4	PD_123P_metaphlan4	PD_122S_metaphlan4	PD_121S_metaphlan4	PD_120S_metaphlan4	PD_11P_metaphlan4	PD_119P_metaphlan4	PD_118_metaphlan4	PD_117_metaphlan4	PD_116P_metaphlan4	PD_115S_metaphlan4	PD_114P_metaphlan4	PD_113P_metaphlan4	PD_112S_metaphlan4	PD_111P_metaphlan4	PD_110S_metaphlan4	PD_10P_metaphlan4	PD_109S_metaphlan4	PD_108S_metaphlan4	PD_107P_metaphlan4	PD_105P_metaphlan4	PD_104P_metaphlan4	PD_100P_metaphlan4
UNCLASSIFIED	-1	0	0	569.0	3560.0	0	1390.0	0	793.0	64.0	2275.0	0	0	0	0	0	1457.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3413.0	0	0	0	0	0	0	0	0	0	0	6903.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1947.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	3297.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346.0	0	0	0
UNCLASSIFIED	-1	63947.0	113674.0	0	0	220531.0	0	19936.0	0	0	0	299116.0	1428850.0	-259002.0	23144.0	218486.0	0	169791.0	415310.0	162900.0	296694.0	439716.0	63536.0	585005.0	-211130.0	363755.0	-56305.0	570838.0	211031.0	237016.0	324841.0	106551.0	369602.0	79489.0	327537.0	516601.0	1012758.0	734450.0	453523.0	457957.0	-148710.0	114519.0	-69789.0	289095.0	353909.0	395462.0	700896.0	624216.0	305417.0	-13580.0	1076696.0	281316.0	1190102.0	297100.0	-203183.0	506597.0	0	1082010.0	601183.0	374330.0	221324.0	192136.0	112957.0	-109604.0	47294.0	-207102.0	419645.0	0	-94409.0	1130092.0	1227173.0	938465.0	915253.0	175814.0	412648.0	707544.0	1459424.0	1378752.0	1042377.0	392966.0	685506.0	0	5554.0	24127.0	1347090.0	-712972.0	800132.0	964.0	-5358.0	265156.0	792821.0	320914.0	899887.0	1396985.0	1119758.0	342905.0	202127.0	396740.0	620783.0	0	382215.0	41707.0	1173017.0	498950.0	121669.0	697070.0	0	-5324.0	236865.0	848775.0	206384.0	1322819.0	238653.0	-14242.0	929172.0	866676.0	1165806.0	626334.0	-275878.0	722730.0	442203.0	709204.0	385803.0	-198586.0	342181.0	289476.0	501403.0	502628.0	745341.0	534079.0	1146170.0	514020.0	669352.0	564434.0	16175.0	561857.0	380657.0	867014.0	1222439.0	1041472.0	714386.0	693958.0	185442.0	569125.0	856894.0	100241.0	705391.0	984574.0	558894.0	404987.0	990719.0	511267.0	1467725.0	1045215.0	636675.0	161754.0	609730.0	1089105.0	933843.0	-1544.0	140270.0	-6879.0	396915.0	687057.0	875912.0	1183067.0	666949.0	815775.0	366813.0	382274.0	588019.0	561856.0	93516.0	908565.0	703841.0	794555.0	725024.0	2638.0	590306.0	369107.0	-22602.0	903604.0	956101.0	0	512791.0	773372.0	560201.0
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0	0	40898.0	209538.0	0	0	0	0	192857.0	160007.0	83292.0	0	37827.0	0	20529.0	0	22134.0	0	0	62003.0	0	0	60536.0	0	152172.0	0	164923.0	0	0	95446.0	78075.0	0	0	19237.0	6732.0	0	194920.0	0	83003.0	38741.0	0	0	0	0	97918.0	0	0	0	0	0	0	0	0	0	28970.0	8403.0	87557.0	0	0	0	15692.0	0	0	38024.0	0	0	0	0	238835.0	46122.0	162190.0	0	0	0	0	24143.0	0	0	0	32926.0	0	0	0	0	0	114979.0	183330.0	0	73626.0	0	0	81629.0	9434.0	825622.0	0	0	0	0	99232.0	0	32585.0	0	0	0	0	0	0	5270.0	0	146276.0	0	42483.0	234650.0	64367.0	0	62820.0	87074.0	236036.0	0	28158.0	73114.0	15079.0	0	0	0	46816.0	0	0	0	0	0	39574.0	156773.0	0	0	0	193419.0	41468.0	0	67991.0	167196.0	0	0	0	0	0	0	0	0	0	0	0	68862.0	0	565546.0	0	91274.0	637875.0	89297.0	104449.0	15608.0	27350.0	114820.0	18618.0	0	0	0	0	78551.0	0	73102.0	0	0	0	0	0	71124.0
k__Archaea|p__Methanobacteriota	2157|28890	0	0	0	0	0	0	0	0	0	0	0	40898.0	209538.0	0	0	0	0	192857.0	160007.0	83292.0	0	37827.0	0	20529.0	0	22134.0	0	0	62003.0	0	0	60536.0	0	152172.0	0	164923.0	0	0	95446.0	78075.0	0	0	19237.0	6732.0	0	194920.0	0	83003.0	38741.0	0	0	0	0	97918.0	0	0	0	0	0	0	0	0	0	28970.0	8403.0	87557.0	0	0	0	15692.0	0	0	38024.0	0	0	0	0	238835.0	46122.0	162190.0	0	0	0	0	17865.0	0	0	0	32926.0	0	0	0	0	0	114979.0	183330.0	0	73626.0	0	0	81629.0	9434.0	818450.0	0	0	0	0	99232.0	0	32585.0	0	0	0	0	0	0	5270.0	0	146276.0	0	42483.0	234650.0	64367.0	0	62820.0	87074.0	236036.0	0	28158.0	73114.0	15079.0	0	0	0	46816.0	0	0	0	0	0	39574.0	156773.0	0	0	0	193419.0	41468.0	0	67991.0	167196.0	0	0	0	0	0	0	0	0	0	0	0	68862.0	0	565546.0	0	91274.0	637875.0	89297.0	104449.0	15608.0	27350.0	114820.0	18618.0	0	0	0	0	78551.0	0	73102.0	0	0	0	0	0	71124.0
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	0	0	0	0	0	40898.0	209538.0	0	0	0	0	192857.0	160007.0	83292.0	0	37827.0	0	20529.0	0	22134.0	0	0	62003.0	0	0	60536.0	0	152172.0	0	164923.0	0	0	95446.0	78075.0	0	0	19237.0	6732.0	0	194920.0	0	83003.0	38741.0	0	0	0	0	97918.0	0	0	0	0	0	0	0	0	0	28970.0	8403.0	87557.0	0	0	0	15692.0	0	0	38024.0	0	0	0	0	238835.0	46122.0	162190.0	0	0	0	0	17865.0	0	0	0	32926.0	0	0	0	0	0	114979.0	183330.0	0	73626.0	0	0	81629.0	9434.0	818450.0	0	0	0	0	99232.0	0	32585.0	0	0	0	0	0	0	5270.0	0	146276.0	0	42483.0	234650.0	64367.0	0	62820.0	87074.0	236036.0	0	28158.0	73114.0	15079.0	0	0	0	46816.0	0	0	0	0	0	39574.0	156773.0	0	0	0	193419.0	41468.0	0	67991.0	167196.0	0	0	0	0	0	0	0	0	0	0	0	68862.0	0	565546.0	0	91274.0	637875.0	89297.0	104449.0	15608.0	27350.0	114820.0	18618.0	0	0	0	0	78551.0	0	73102.0	0	0	0	0	0	71124.0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	0	0	0	0	0	40898.0	209538.0	0	0	0	0	192857.0	160007.0	83292.0	0	37827.0	0	20529.0	0	22134.0	0	0	62003.0	0	0	60536.0	0	152172.0	0	164923.0	0	0	95446.0	78075.0	0	0	19237.0	6732.0	0	194920.0	0	83003.0	38741.0	0	0	0	0	97918.0	0	0	0	0	0	0	0	0	0	28970.0	8403.0	87557.0	0	0	0	15692.0	0	0	38024.0	0	0	0	0	238835.0	46122.0	162190.0	0	0	0	0	17865.0	0	0	0	32926.0	0	0	0	0	0	114979.0	183330.0	0	73626.0	0	0	81629.0	9434.0	818450.0	0	0	0	0	99232.0	0	32585.0	0	0	0	0	0	0	5270.0	0	146276.0	0	42483.0	234650.0	64367.0	0	62820.0	87074.0	236036.0	0	28158.0	73114.0	15079.0	0	0	0	46816.0	0	0	0	0	0	39574.0	156773.0	0	0	0	193419.0	41468.0	0	67991.0	167196.0	0	0	0	0	0	0	0	0	0	0	0	68862.0	0	565546.0	0	91274.0	637875.0	89297.0	104449.0	15608.0	27350.0	114820.0	18618.0	0	0	0	0	78551.0	0	73102.0	0	0	0	0	0	71124.0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	0	0	0	0	0	40898.0	209538.0	0	0	0	0	192857.0	160007.0	83292.0	0	37827.0	0	20529.0	0	22134.0	0	0	62003.0	0	0	60536.0	0	152172.0	0	164923.0	0	0	95446.0	78075.0	0	0	19237.0	6732.0	0	194920.0	0	83003.0	38741.0	0	0	0	0	97918.0	0	0	0	0	0	0	0	0	0	28970.0	8403.0	87557.0	0	0	0	15692.0	0	0	38024.0	0	0	0	0	238835.0	46122.0	162190.0	0	0	0	0	17865.0	0	0	0	32926.0	0	0	0	0	0	114979.0	183330.0	0	73626.0	0	0	81629.0	9434.0	818450.0	0	0	0	0	99232.0	0	32585.0	0	0	0	0	0	0	5270.0	0	146276.0	0	42483.0	234650.0	64367.0	0	62820.0	87074.0	236036.0	0	28158.0	73114.0	15079.0	0	0	0	46816.0	0	0	0	0	0	39574.0	156773.0	0	0	0	193419.0	41468.0	0	67991.0	167196.0	0	0	0	0	0	0	0	0	0	0	0	68862.0	0	565546.0	0	91274.0	637875.0	89297.0	104449.0	15608.0	27350.0	114820.0	18618.0	0	0	0	0	78551.0	0	73102.0	0	0	0	0	0	71124.0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532	2157|28890|183925|2158|2159|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5270.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532|s__GGB532_SGB711	2157|28890|183925|2158|2159||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5270.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__GGB532|s__GGB532_SGB711|t__SGB711	2157|28890|183925|2158|2159|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5270.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
