Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PD_100P_bmtagged_1	0	0
PD_100P_bmtagged_2	0	0
PD_104P_bmtagged_1	0	0
PD_104P_bmtagged_2	0	0
PD_105P_bmtagged_1	0	0
PD_105P_bmtagged_2	0	0
PD_107P_bmtagged_1	0.422535211268	99.5774647887
PD_107P_bmtagged_2	0.422535211268	99.5774647887
PD_108S_bmtagged_1	0	0
PD_108S_bmtagged_2	0	0
PD_109S_bmtagged_1	0	0
PD_109S_bmtagged_2	0	0
PD_10P_bmtagged_1	0	0
PD_10P_bmtagged_2	0	0
PD_110S_bmtagged_1	0	0
PD_110S_bmtagged_2	0	0
PD_111P_bmtagged_1	0	0
PD_111P_bmtagged_2	0	0
PD_112S_bmtagged_1	0	0
PD_112S_bmtagged_2	0	0
PD_113P_bmtagged_1	0	0
PD_113P_bmtagged_2	0	0
PD_114P_bmtagged_1	0	0
PD_114P_bmtagged_2	0	0
PD_115S_bmtagged_1	0	0
PD_115S_bmtagged_2	0	0
PD_116P_bmtagged_1	0	0
PD_116P_bmtagged_2	0	0
PD_117_bmtagged_1	0	0
PD_117_bmtagged_2	0	0
PD_118_bmtagged_1	0	0
PD_118_bmtagged_2	0	0
PD_119P_bmtagged_1	0	0
PD_119P_bmtagged_2	0	0
PD_11P_bmtagged_1	0	0
PD_11P_bmtagged_2	0	0
PD_120S_bmtagged_1	0	0
PD_120S_bmtagged_2	0	0
PD_121S_bmtagged_1	0	0
PD_121S_bmtagged_2	0	0
PD_122S_bmtagged_1	0	0
PD_122S_bmtagged_2	0	0
PD_123P_bmtagged_1	0	0
PD_123P_bmtagged_2	0	0
PD_126P_bmtagged_1	0	0
PD_126P_bmtagged_2	0	0
PD_127S_bmtagged_1	0	0
PD_127S_bmtagged_2	0	0
PD_128S_bmtagged_1	0	0
PD_128S_bmtagged_2	0	0
PD_129P_bmtagged_1	0	0
PD_129P_bmtagged_2	0	0
PD_12P_bmtagged_1	0	0
PD_12P_bmtagged_2	0	0
PD_130S_bmtagged_1	0	0
PD_130S_bmtagged_2	0	0
PD_131P_bmtagged_1	0	0
PD_131P_bmtagged_2	0	0
PD_134S_bmtagged_1	0	0
PD_134S_bmtagged_2	0	0
PD_137P_bmtagged_1	0	0
PD_137P_bmtagged_2	0	0
PD_138S_bmtagged_1	0	0
PD_138S_bmtagged_2	0	0
PD_13P_bmtagged_1	0	0
PD_13P_bmtagged_2	0	0
PD_140S_bmtagged_1	0	0
PD_140S_bmtagged_2	0	0
PD_141P_bmtagged_1	0	0
