Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_bmtagged_1	pass	0.0	pass	138.330499053	Sanger / Illumina 1.9	pass	436.5 Mbp	60-151	Conventional base calls	pass	fail	warn	3140245.0	pass	warn	pass	49.0	97.8600836506	PD_100P_bmtagged_1.fastq	fail	pass
PD_100P_bmtagged_2	pass	0.0	pass	138.340731376	Sanger / Illumina 1.9	pass	436.5 Mbp	60-151	Conventional base calls	pass	fail	warn	3140245.0	pass	warn	pass	49.0	97.787947396	PD_100P_bmtagged_2.fastq	fail	pass
PD_104P_bmtagged_1	pass	0.0	pass	126.399054931	Sanger / Illumina 1.9	pass	597.6 Mbp	60-151	Conventional base calls	pass	pass	warn	4704841.0	pass	warn	pass	46.0	97.9065540472	PD_104P_bmtagged_1.fastq	fail	pass
PD_104P_bmtagged_2	pass	0.0	pass	126.67656144	Sanger / Illumina 1.9	pass	598.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4704841.0	pass	warn	pass	46.0	97.9615475599	PD_104P_bmtagged_2.fastq	fail	pass
PD_105P_bmtagged_1	pass	0.0	pass	125.704839969	Sanger / Illumina 1.9	pass	400.3 Mbp	60-151	Conventional base calls	pass	fail	warn	3168925.0	pass	fail	pass	53.0	94.7622452206	PD_105P_bmtagged_1.fastq	fail	pass
PD_105P_bmtagged_2	pass	0.0	pass	125.960656058	Sanger / Illumina 1.9	pass	401.1 Mbp	60-151	Conventional base calls	pass	fail	warn	3168925.0	pass	fail	pass	53.0	94.7693451814	PD_105P_bmtagged_2.fastq	fail	pass
PD_107P_bmtagged_1	pass	0.0	pass	124.515492958	Sanger / Illumina 1.9	pass	88.8 kbp	60-151	Conventional base calls	pass	warn	warn	710.0	pass	fail	warn	45.0	99.014084507	PD_107P_bmtagged_1.fastq	fail	pass
PD_107P_bmtagged_2	pass	0.0	pass	123.718309859	Sanger / Illumina 1.9	pass	88.3 kbp	60-151	Conventional base calls	pass	warn	warn	710.0	pass	warn	warn	45.0	99.014084507	PD_107P_bmtagged_2.fastq	fail	pass
PD_108S_bmtagged_1	pass	0.0	pass	130.373390017	Sanger / Illumina 1.9	pass	688.2 Mbp	60-151	Conventional base calls	pass	warn	warn	5252540.0	pass	warn	pass	47.0	97.8489494076	PD_108S_bmtagged_1.fastq	fail	pass
PD_108S_bmtagged_2	pass	0.0	pass	130.545854006	Sanger / Illumina 1.9	pass	689.1 Mbp	60-151	Conventional base calls	pass	warn	warn	5252540.0	pass	warn	pass	48.0	97.7873100028	PD_108S_bmtagged_2.fastq	fail	pass
PD_109S_bmtagged_1	pass	0.0	pass	129.182324912	Sanger / Illumina 1.9	pass	630.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4859676.0	pass	warn	pass	46.0	97.3183662379	PD_109S_bmtagged_1.fastq	fail	pass
PD_109S_bmtagged_2	pass	0.0	pass	129.352530909	Sanger / Illumina 1.9	pass	631.7 Mbp	60-151	Conventional base calls	pass	pass	warn	4859676.0	pass	warn	pass	46.0	97.2585845066	PD_109S_bmtagged_2.fastq	fail	pass
PD_10P_bmtagged_1	pass	0.0	pass	125.278737691	Sanger / Illumina 1.9	pass	324.4 Mbp	60-151	Conventional base calls	pass	fail	warn	2576738.0	pass	warn	pass	50.0	98.9557025676	PD_10P_bmtagged_1.fastq	fail	pass
PD_10P_bmtagged_2	pass	0.0	pass	125.543293886	Sanger / Illumina 1.9	pass	325.1 Mbp	60-151	Conventional base calls	pass	warn	warn	2576738.0	pass	warn	pass	50.0	98.9585921461	PD_10P_bmtagged_2.fastq	fail	pass
PD_110S_bmtagged_1	pass	0.0	pass	127.247360236	Sanger / Illumina 1.9	pass	502.8 Mbp	60-151	Conventional base calls	pass	pass	warn	3932075.0	pass	warn	pass	46.0	98.2101895086	PD_110S_bmtagged_1.fastq	fail	pass
PD_110S_bmtagged_2	pass	0.0	pass	127.419967829	Sanger / Illumina 1.9	pass	503.5 Mbp	60-151	Conventional base calls	pass	pass	warn	3932075.0	pass	warn	pass	46.0	98.2136286247	PD_110S_bmtagged_2.fastq	fail	pass
PD_111P_bmtagged_1	pass	0.0	pass	130.02150122	Sanger / Illumina 1.9	pass	525.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4025446.0	pass	warn	pass	49.0	97.4316454731	PD_111P_bmtagged_1.fastq	fail	pass
PD_111P_bmtagged_2	pass	0.0	pass	130.19665647	Sanger / Illumina 1.9	pass	526.6 Mbp	60-151	Conventional base calls	pass	pass	warn	4025446.0	pass	warn	pass	49.0	97.4976087403	PD_111P_bmtagged_2.fastq	fail	pass
PD_112S_bmtagged_1	pass	0.0	pass	126.277610657	Sanger / Illumina 1.9	pass	1.4 Mbp	60-151	Conventional base calls	pass	pass	warn	11635.0	pass	fail	pass	45.0	98.8225182639	PD_112S_bmtagged_1.fastq	fail	pass
PD_112S_bmtagged_2	pass	0.0	pass	125.639020198	Sanger / Illumina 1.9	pass	1.4 Mbp	60-151	Conventional base calls	pass	pass	warn	11635.0	pass	warn	pass	45.0	98.9428448646	PD_112S_bmtagged_2.fastq	fail	pass
