	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_100P_1_bbduk_adapt_filt	125.0	74.0	146.0	650.0	1681.0	3488.0	6189.0	9699.0	14198.0	18933.0	23146.0	27627.0	31998.0	36363.0	40839.0	44389.0	47518.0	51780.0	56255.0	58678.0	62580.0	65312.0	68833.0	57701.0	62151.0	76543.0	76608.0	74654.0	2374406.0
	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_100P_2_bbduk_adapt_filt	125.0	74.0	146.0	650.0	1681.0	3488.0	6189.0	9699.0	14198.0	18933.0	23146.0	27627.0	31998.0	36363.0	40839.0	44389.0	47518.0	51780.0	56255.0	58678.0	62580.0	65312.0	68833.0	57701.0	62151.0	76543.0	76608.0	74654.0	2374406.0
	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_104P_1_bbduk_adapt_filt	833.0	250.0	557.0	2284.0	6260.0	13659.0	25671.0	40538.0	58421.0	77507.0	95279.0	110416.0	124489.0	135942.0	146109.0	152135.0	154690.0	157628.0	160498.0	159898.0	158410.0	155797.0	154770.0	122538.0	124485.0	146693.0	139396.0	131830.0	2369908.0
	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_104P_2_bbduk_adapt_filt	833.0	250.0	557.0	2284.0	6260.0	13659.0	25671.0	40538.0	58421.0	77507.0	95279.0	110416.0	124489.0	135942.0	146109.0	152135.0	154690.0	157628.0	160498.0	159898.0	158410.0	155797.0	154770.0	122538.0	124485.0	146693.0	139396.0	131830.0	2369908.0
	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
PD_105P_1_bbduk_adapt_filt	696.0	434.0	998.0	3801.0	9126.0	17112.0	28983.0	41483.0	55749.0	67857.0	78252.0	84929.0	90439.0	95503.0	100929.0	101169.0	99240.0	102517.0	103829.0	101584.0	102592.0	100469.0	101493.0	80006.0	83686.0	97907.0	92933.0	86643.0	1580990.0
