Sample	Top over-represented sequence	Sum of remaining over-represented sequences
PD_100P_1_bbduk_adapt_filt	0	0
PD_100P_2_bbduk_adapt_filt	0.557012336392	0.0
PD_104P_1_bbduk_adapt_filt	0	0
PD_104P_2_bbduk_adapt_filt	0.236576123815	0.0
PD_105P_1_bbduk_adapt_filt	0	0
PD_105P_2_bbduk_adapt_filt	0.2957552781	0.0
PD_107P_1_bbduk_adapt_filt	18.3448434292	51.8140963977
PD_107P_2_bbduk_adapt_filt	64.1186520984	31.1188961794
PD_108S_1_bbduk_adapt_filt	0	0
PD_108S_2_bbduk_adapt_filt	0.246032392115	0.0
PD_109S_1_bbduk_adapt_filt	0	0
PD_109S_2_bbduk_adapt_filt	0.329396798808	0.0
PD_10P_1_bbduk_adapt_filt	0.141818130577	0.140778063852
PD_10P_2_bbduk_adapt_filt	1.22831880259	0.152051045133
PD_110S_1_bbduk_adapt_filt	0	0
PD_110S_2_bbduk_adapt_filt	0.526193402651	0.0
PD_111P_1_bbduk_adapt_filt	0	0
PD_111P_2_bbduk_adapt_filt	0.321133487882	0.0
PD_112S_1_bbduk_adapt_filt	9.69462709133	46.2423870719
PD_112S_2_bbduk_adapt_filt	41.5968963501	35.977236097
PD_113P_1_bbduk_adapt_filt	0	0
PD_113P_2_bbduk_adapt_filt	0.28161323969	0.0
PD_114P_1_bbduk_adapt_filt	0	0
PD_114P_2_bbduk_adapt_filt	0.376932920502	0.0
PD_115S_1_bbduk_adapt_filt	0	0
PD_115S_2_bbduk_adapt_filt	0.332428813403	0.0
PD_116P_1_bbduk_adapt_filt	0	0
PD_116P_2_bbduk_adapt_filt	0.209861409031	0.0
PD_117_1_bbduk_adapt_filt	0	0
PD_117_2_bbduk_adapt_filt	0.278830288885	0.0
PD_118_1_bbduk_adapt_filt	0	0
PD_118_2_bbduk_adapt_filt	0.463834231661	0.0
PD_119P_1_bbduk_adapt_filt	0	0
PD_119P_2_bbduk_adapt_filt	0.379837008142	0.0
PD_11P_1_bbduk_adapt_filt	0	0
PD_11P_2_bbduk_adapt_filt	0.543270005551	0.0
PD_120S_1_bbduk_adapt_filt	0	0
