Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
PD_100P_1_bbduk_adapt_filt	3.15161428863	49.0	138.30401932	3392564.0	18.1818181818
PD_100P_2_bbduk_adapt_filt	3.82165953884	50.0	138.30401932	3392564.0	18.1818181818
PD_104P_1_bbduk_adapt_filt	2.8019962583	46.0	124.082947931	5126891.0	9.09090909091
PD_104P_2_bbduk_adapt_filt	2.98433262324	46.0	124.082947931	5126891.0	9.09090909091
PD_105P_1_bbduk_adapt_filt	5.8234765399	53.0	121.870263537	3511349.0	18.1818181818
PD_105P_2_bbduk_adapt_filt	6.08153987339	53.0	121.870263537	3511349.0	18.1818181818
PD_107P_1_bbduk_adapt_filt	83.8131200735	81.0	107.257950581	69649.0	63.6363636364
PD_107P_2_bbduk_adapt_filt	97.0853852891	97.0	107.257950581	69649.0	54.5454545455
PD_108S_1_bbduk_adapt_filt	2.78951458935	48.0	128.375825548	5736643.0	9.09090909091
PD_108S_2_bbduk_adapt_filt	3.08648447613	48.0	128.375825548	5736643.0	9.09090909091
PD_109S_1_bbduk_adapt_filt	3.25875964713	46.0	127.023925767	5320331.0	9.09090909091
PD_109S_2_bbduk_adapt_filt	3.68278241033	47.0	127.023925767	5320331.0	9.09090909091
PD_10P_1_bbduk_adapt_filt	2.72713739605	51.0	120.216329182	2980578.0	9.09090909091
PD_10P_2_bbduk_adapt_filt	3.42704801552	51.0	120.216329182	2980578.0	27.2727272727
PD_110S_1_bbduk_adapt_filt	2.76919991672	46.0	124.234839236	4364935.0	9.09090909091
PD_110S_2_bbduk_adapt_filt	3.1649008644	46.0	124.234839236	4364935.0	9.09090909091
PD_111P_1_bbduk_adapt_filt	3.34749428856	49.0	128.3850686	4358935.0	9.09090909091
PD_111P_2_bbduk_adapt_filt	3.56472565348	49.0	128.3850686	4358935.0	9.09090909091
PD_112S_1_bbduk_adapt_filt	66.197886209	69.0	93.1057038125	70111.0	54.5454545455
PD_112S_2_bbduk_adapt_filt	80.2170843377	85.0	93.1057038125	70111.0	54.5454545455
PD_113P_1_bbduk_adapt_filt	6.13461026792	51.0	132.876960931	5351666.0	18.1818181818
PD_113P_2_bbduk_adapt_filt	6.29267923094	51.0	132.876960931	5351666.0	18.1818181818
PD_114P_1_bbduk_adapt_filt	3.30661225856	47.0	118.086240691	3818186.0	9.09090909091
PD_114P_2_bbduk_adapt_filt	3.67878028656	48.0	118.086240691	3818186.0	9.09090909091
PD_115S_1_bbduk_adapt_filt	4.62176929448	47.0	135.253677041	3946108.0	9.09090909091
PD_115S_2_bbduk_adapt_filt	4.82321270555	47.0	135.253677041	3946108.0	9.09090909091
PD_116P_1_bbduk_adapt_filt	2.64745451581	46.0	127.047200317	6162162.0	9.09090909091
PD_116P_2_bbduk_adapt_filt	2.89602613168	47.0	127.047200317	6162162.0	9.09090909091
PD_117_1_bbduk_adapt_filt	3.05697612021	46.0	130.772523397	4403754.0	9.09090909091
PD_117_2_bbduk_adapt_filt	3.39195614416	46.0	130.772523397	4403754.0	9.09090909091
PD_118_1_bbduk_adapt_filt	2.54318658753	47.0	130.932969458	4518209.0	9.09090909091
PD_118_2_bbduk_adapt_filt	2.91737984635	48.0	130.932969458	4518209.0	9.09090909091
PD_119P_1_bbduk_adapt_filt	2.59095376951	48.0	123.005458514	4413472.0	9.09090909091
PD_119P_2_bbduk_adapt_filt	2.92735558277	49.0	123.005458514	4413472.0	9.09090909091
PD_11P_1_bbduk_adapt_filt	2.78328592244	48.0	122.351318558	4467760.0	9.09090909091
PD_11P_2_bbduk_adapt_filt	3.22224085922	48.0	122.351318558	4467760.0	18.1818181818
PD_120S_1_bbduk_adapt_filt	2.61659239608	48.0	123.74744617	3591860.0	9.09090909091
PD_120S_2_bbduk_adapt_filt	2.95658409861	49.0	123.74744617	3591860.0	9.09090909091
PD_121S_1_bbduk_adapt_filt	3.03174109865	50.0	129.588472122	6202321.0	9.09090909091
PD_121S_2_bbduk_adapt_filt	3.36979098944	51.0	129.588472122	6202321.0	9.09090909091
PD_122S_1_bbduk_adapt_filt	2.6331234215	49.0	124.591168466	4866946.0	9.09090909091
PD_122S_2_bbduk_adapt_filt	2.82658818695	49.0	124.591168466	4866946.0	9.09090909091
PD_123P_1_bbduk_adapt_filt	4.92111328066	46.0	130.487291535	5621214.0	9.09090909091
PD_123P_2_bbduk_adapt_filt	5.32205103051	46.0	130.487291535	5621214.0	9.09090909091
PD_126P_1_bbduk_adapt_filt	3.6721503144	51.0	122.902416468	5757908.0	18.1818181818
PD_126P_2_bbduk_adapt_filt	3.99350246	51.0	122.902416468	5757908.0	18.1818181818
PD_127S_1_bbduk_adapt_filt	2.15132375354	49.0	130.970067609	5843302.0	9.09090909091
PD_127S_2_bbduk_adapt_filt	2.46542382959	49.0	130.970067609	5843302.0	9.09090909091
PD_128S_1_bbduk_adapt_filt	2.61644028934	46.0	126.920526267	5312812.0	9.09090909091
PD_128S_2_bbduk_adapt_filt	2.87373674645	46.0	126.920526267	5312812.0	9.09090909091
PD_129P_1_bbduk_adapt_filt	4.540216065	53.0	119.006578993	3314337.0	18.1818181818
PD_129P_2_bbduk_adapt_filt	5.02134473345	54.0	119.006578993	3314337.0	18.1818181818
PD_12P_1_bbduk_adapt_filt	2.52268735785	49.0	119.503796737	3398313.0	9.09090909091
PD_12P_2_bbduk_adapt_filt	2.8928416032	49.0	119.503796737	3398313.0	9.09090909091
PD_130S_1_bbduk_adapt_filt	3.07912034309	45.0	131.706055888	3964274.0	9.09090909091
PD_130S_2_bbduk_adapt_filt	3.4403429008	46.0	131.706055888	3964274.0	9.09090909091
PD_131P_1_bbduk_adapt_filt	6.31458540388	47.0	119.99670955	4446201.0	9.09090909091
PD_131P_2_bbduk_adapt_filt	6.52941109296	47.0	119.99670955	4446201.0	9.09090909091
PD_134S_1_bbduk_adapt_filt	3.50533820997	46.0	126.707148117	6755234.0	9.09090909091
PD_134S_2_bbduk_adapt_filt	3.84497237299	46.0	126.707148117	6755234.0	9.09090909091
PD_137P_1_bbduk_adapt_filt	2.23034444834	45.0	131.680007734	5156484.0	9.09090909091
PD_137P_2_bbduk_adapt_filt	2.54335395337	46.0	131.680007734	5156484.0	9.09090909091
PD_138S_1_bbduk_adapt_filt	4.1554892457	44.0	121.034478435	3565417.0	9.09090909091
PD_138S_2_bbduk_adapt_filt	4.35754908756	45.0	121.034478435	3565417.0	9.09090909091
PD_13P_1_bbduk_adapt_filt	4.37385689437	48.0	123.802283196	4436588.0	9.09090909091
PD_13P_2_bbduk_adapt_filt	4.73866856662	48.0	123.802283196	4436588.0	9.09090909091
PD_140S_1_bbduk_adapt_filt	3.06789367454	47.0	130.667143503	6965350.0	9.09090909091
PD_140S_2_bbduk_adapt_filt	3.30467564843	47.0	130.667143503	6965350.0	9.09090909091
PD_141P_1_bbduk_adapt_filt	7.08114909995	46.0	131.757230777	6563748.0	9.09090909091
PD_141P_2_bbduk_adapt_filt	7.27619219527	46.0	131.757230777	6563748.0	9.09090909091
PD_142S_1_bbduk_adapt_filt	4.6056277049	44.0	135.297715655	4488333.0	9.09090909091
PD_142S_2_bbduk_adapt_filt	4.91870866542	44.0	135.297715655	4488333.0	9.09090909091
PD_145P_1_bbduk_adapt_filt	2.42508199292	48.0	131.149536293	6735074.0	9.09090909091
PD_145P_2_bbduk_adapt_filt	2.79850248514	48.0	131.149536293	6735074.0	9.09090909091
PD_146S_1_bbduk_adapt_filt	2.43988228456	47.0	129.467136753	4362031.0	9.09090909091
PD_146S_2_bbduk_adapt_filt	2.72982473516	48.0	129.467136753	4362031.0	9.09090909091
PD_147_1_bbduk_adapt_filt	2.76381164998	46.0	134.887862482	5024215.0	9.09090909091
PD_147_2_bbduk_adapt_filt	2.99856648298	47.0	134.887862482	5024215.0	9.09090909091
PD_148P_1_bbduk_adapt_filt	3.30323716125	47.0	129.79888836	6188692.0	9.09090909091
PD_148P_2_bbduk_adapt_filt	3.68130601194	48.0	129.79888836	6188692.0	9.09090909091
PD_149S_1_bbduk_adapt_filt	2.25771859622	49.0	130.402149545	4348549.0	9.09090909091
PD_149S_2_bbduk_adapt_filt	2.6678747931	49.0	130.402149545	4348549.0	9.09090909091
PD_14P_1_bbduk_adapt_filt	2.37768784307	47.0	118.626490044	3530851.0	9.09090909091
PD_14P_2_bbduk_adapt_filt	2.78472009076	48.0	118.626490044	3530851.0	9.09090909091
PD_150P_1_bbduk_adapt_filt	3.33426439868	45.0	126.196473404	4633874.0	9.09090909091
PD_150P_2_bbduk_adapt_filt	3.59322115622	45.0	126.196473404	4633874.0	9.09090909091
PD_151S_1_bbduk_adapt_filt	2.31979492091	46.0	123.36548671	4505644.0	9.09090909091
PD_151S_2_bbduk_adapt_filt	2.5970740633	46.0	123.36548671	4505644.0	9.09090909091
PD_152P_1_bbduk_adapt_filt	2.35407734817	49.0	132.371077357	4162213.0	9.09090909091
PD_152P_2_bbduk_adapt_filt	2.87257810044	49.0	132.371077357	4162213.0	9.09090909091
PD_153S_1_bbduk_adapt_filt	3.04444988579	50.0	123.418859438	6064168.0	9.09090909091
PD_153S_2_bbduk_adapt_filt	3.34641205598	51.0	123.418859438	6064168.0	9.09090909091
PD_156P_1_bbduk_adapt_filt	5.58065551336	44.0	124.214728956	3958013.0	9.09090909091
PD_156P_2_bbduk_adapt_filt	5.92116112331	45.0	124.214728956	3958013.0	9.09090909091
PD_157S_1_bbduk_adapt_filt	3.65377795207	47.0	123.424079374	5261640.0	9.09090909091
PD_157S_2_bbduk_adapt_filt	3.9161106393	47.0	123.424079374	5261640.0	9.09090909091
PD_158P_1_bbduk_adapt_filt	3.30908912264	45.0	130.579556146	5863601.0	9.09090909091
PD_158P_2_bbduk_adapt_filt	3.57774541383	45.0	130.579556146	5863601.0	9.09090909091
PD_159S_1_bbduk_adapt_filt	3.49559314106	46.0	129.037316019	5895511.0	9.09090909091
PD_159S_2_bbduk_adapt_filt	3.77355250741	46.0	129.037316019	5895511.0	9.09090909091
PD_15P_1_bbduk_adapt_filt	2.19551455365	47.0	120.409253054	3811412.0	9.09090909091
PD_15P_2_bbduk_adapt_filt	2.56352612441	48.0	120.409253054	3811412.0	9.09090909091
PD_160P_1_bbduk_adapt_filt	3.66815177393	49.0	125.734063531	5785833.0	9.09090909091
PD_160P_2_bbduk_adapt_filt	3.87951172863	50.0	125.734063531	5785833.0	9.09090909091
PD_161S_1_bbduk_adapt_filt	33.5030924737	59.0	128.422741413	170693.0	45.4545454545
PD_161S_2_bbduk_adapt_filt	57.1646171782	73.0	128.422741413	170693.0	54.5454545455
PD_162P_1_bbduk_adapt_filt	2.083309583	47.0	131.593354889	4913176.0	9.09090909091
PD_162P_2_bbduk_adapt_filt	2.53009427462	47.0	131.593354889	4913176.0	9.09090909091
PD_163S_1_bbduk_adapt_filt	2.33697349146	47.0	125.540537725	5778346.0	9.09090909091
PD_163S_2_bbduk_adapt_filt	2.57622841986	47.0	125.540537725	5778346.0	9.09090909091
PD_164P_1_bbduk_adapt_filt	2.38160767126	48.0	128.586949097	3844485.0	9.09090909091
PD_164P_2_bbduk_adapt_filt	2.91850906934	49.0	128.586949097	3844485.0	9.09090909091
PD_165S_1_bbduk_adapt_filt	2.78412096629	48.0	126.164993667	6278544.0	9.09090909091
PD_165S_2_bbduk_adapt_filt	3.04023145796	48.0	126.164993667	6278544.0	9.09090909091
