Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_1_bbduk_adapt_filt	pass	0.0	pass	138.30401932	Sanger / Illumina 1.9	pass	469.2 Mbp	10-151	Conventional base calls	pass	fail	warn	3392564.0	pass	warn	pass	49.0	96.8483857114	PD_100P_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_100P_2_bbduk_adapt_filt	pass	0.0	pass	138.30401932	Sanger / Illumina 1.9	pass	469.2 Mbp	10-151	Conventional base calls	pass	fail	warn	3392564.0	pass	warn	warn	50.0	96.1783404612	PD_100P_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_104P_1_bbduk_adapt_filt	pass	0.0	pass	124.082947931	Sanger / Illumina 1.9	pass	636.1 Mbp	10-151	Conventional base calls	pass	pass	warn	5126891.0	pass	pass	pass	46.0	97.1980037417	PD_104P_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_104P_2_bbduk_adapt_filt	pass	0.0	pass	124.082947931	Sanger / Illumina 1.9	pass	636.1 Mbp	10-151	Conventional base calls	pass	pass	warn	5126891.0	pass	pass	warn	46.0	97.0156673768	PD_104P_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_105P_1_bbduk_adapt_filt	pass	0.0	pass	121.870263537	Sanger / Illumina 1.9	pass	427.9 Mbp	10-151	Conventional base calls	pass	fail	warn	3511349.0	pass	pass	pass	53.0	94.1765234601	PD_105P_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_105P_2_bbduk_adapt_filt	pass	0.0	pass	121.870263537	Sanger / Illumina 1.9	pass	427.9 Mbp	10-151	Conventional base calls	pass	fail	warn	3511349.0	pass	pass	warn	53.0	93.9184601266	PD_105P_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_107P_1_bbduk_adapt_filt	fail	0.0	fail	107.257950581	Sanger / Illumina 1.9	fail	7.4 Mbp	10-151	Conventional base calls	pass	fail	warn	69649.0	pass	fail	fail	81.0	16.1868799265	PD_107P_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_107P_2_bbduk_adapt_filt	fail	0.0	fail	107.257950581	Sanger / Illumina 1.9	pass	7.4 Mbp	10-151	Conventional base calls	pass	fail	warn	69649.0	pass	fail	fail	97.0	2.91461471091	PD_107P_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_108S_1_bbduk_adapt_filt	pass	0.0	pass	128.375825548	Sanger / Illumina 1.9	pass	736.4 Mbp	10-151	Conventional base calls	pass	warn	warn	5736643.0	pass	warn	pass	48.0	97.2104854107	PD_108S_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_108S_2_bbduk_adapt_filt	pass	0.0	pass	128.375825548	Sanger / Illumina 1.9	pass	736.4 Mbp	10-151	Conventional base calls	pass	warn	warn	5736643.0	pass	pass	warn	48.0	96.9135155239	PD_108S_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_109S_1_bbduk_adapt_filt	pass	0.0	pass	127.023925767	Sanger / Illumina 1.9	pass	675.8 Mbp	10-151	Conventional base calls	pass	pass	warn	5320331.0	pass	warn	pass	46.0	96.7412403529	PD_109S_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_109S_2_bbduk_adapt_filt	pass	0.0	pass	127.023925767	Sanger / Illumina 1.9	pass	675.8 Mbp	10-151	Conventional base calls	pass	pass	warn	5320331.0	pass	warn	warn	47.0	96.3172175897	PD_109S_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_10P_1_bbduk_adapt_filt	pass	0.0	pass	120.216329182	Sanger / Illumina 1.9	pass	358.3 Mbp	10-151	Conventional base calls	pass	warn	warn	2980578.0	pass	pass	warn	51.0	97.2728626039	PD_10P_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_10P_2_bbduk_adapt_filt	pass	0.0	pass	120.216329182	Sanger / Illumina 1.9	pass	358.3 Mbp	10-151	Conventional base calls	pass	fail	warn	2980578.0	pass	pass	fail	51.0	96.5729519845	PD_10P_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_110S_1_bbduk_adapt_filt	pass	0.0	pass	124.234839236	Sanger / Illumina 1.9	pass	542.2 Mbp	10-151	Conventional base calls	pass	warn	warn	4364935.0	pass	warn	pass	46.0	97.2308000833	PD_110S_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_110S_2_bbduk_adapt_filt	pass	0.0	pass	124.234839236	Sanger / Illumina 1.9	pass	542.2 Mbp	10-151	Conventional base calls	pass	warn	warn	4364935.0	pass	warn	warn	46.0	96.8350991356	PD_110S_2_bbduk_adapt_filt.fastq.gz	fail	pass
PD_111P_1_bbduk_adapt_filt	pass	0.0	pass	128.3850686	Sanger / Illumina 1.9	pass	559.6 Mbp	10-151	Conventional base calls	pass	pass	warn	4358935.0	pass	pass	pass	49.0	96.6525057114	PD_111P_1_bbduk_adapt_filt.fastq.gz	fail	pass
PD_111P_2_bbduk_adapt_filt	pass	0.0	pass	128.3850686	Sanger / Illumina 1.9	pass	559.6 Mbp	10-151	Conventional base calls	pass	pass	warn	4358935.0	pass	pass	warn	49.0	96.4352743465	PD_111P_2_bbduk_adapt_filt.fastq.gz	fail	pass
