"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900544975"	"Group"	"PD"	"GroupPD"	-2.01830954977651	0.213862347105435	0.517256805712582	0.0125574800316185	0.485628415636134	0.0125574800316185	0.485628415636134	NA	"abundance"	146	6
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Laedolimicola;s__Laedolimicola ammoniilytica"	"Group"	"PD"	"GroupPD"	-0.289674433106237	0.213862347105435	0.149314208738694	0.0129883733336886	0.485628415636134	0.0129883733336886	0.485628415636134	NA	"abundance"	146	9
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominiventricola;s__Hominiventricola sp003480725"	"Group"	"PD"	"GroupPD"	-0.109946330700352	0.213862347105435	0.121115533161445	0.0132251747177596	0.485628415636134	0.0132251747177596	0.485628415636134	NA	"abundance"	146	40
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900547315"	"Group"	"PD"	"GroupPD"	-0.920628357227125	0.213862347105435	0.333153135507531	0.0146247235402622	0.516365238844643	0.0146247235402622	0.516365238844643	NA	"abundance"	146	8
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_I"	"Group"	"PD"	"GroupPD"	-0.290714477543681	0.213862347105435	0.200816505090926	0.0157346854266622	0.534979304506516	0.0157346854266622	0.534979304506516	NA	"abundance"	146	63
"d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium"	"Group"	"PD"	"GroupPD"	-0.406906109448182	0.213862347105435	0.251520442692225	0.0169088884846733	0.553795051723968	0.0169088884846733	0.553795051723968	NA	"abundance"	146	66
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp902363045"	"Group"	"PD"	"GroupPD"	0.673624362992373	0.213862347105435	0.15582757759991	0.017620364049711	0.553795051723968	0.017620364049711	0.553795051723968	NA	"abundance"	146	11
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii"	"Group"	"PD"	"GroupPD"	0.843441158460071	0.213862347105435	0.260933409502032	0.0183174805464773	0.553795051723968	0.0183174805464773	0.553795051723968	NA	"abundance"	146	96
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp027692445"	"Group"	"PD"	"GroupPD"	-1.46090465614758	0.213862347105435	0.039284924425639	0.0187011400908965	0.553795051723968	0.0187011400908965	0.553795051723968	NA	"abundance"	146	3
"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilioclostridium;s__Massilioclostridium methylpentosum"	"Group"	"PD"	"GroupPD"	0.570697475549598	0.213862347105435	0.0718008747911812	0.0193728008178367	0.555757223461689	0.0193728008178367	0.555757223461689	NA	"abundance"	146	5
