Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_191P_filtered_prinseq_2	pass	0.0	pass	138.119418104	Sanger / Illumina 1.9	pass	4.9 Mbp	60-151	Conventional base calls	pass	pass	warn	35539.0	pass	warn	pass	41.0	97.909339036	PD_191P_filtered_prinseq_2.fastq	fail	pass
PD_192S_filtered_prinseq_1	pass	0.0	pass	127.088939567	Sanger / Illumina 1.9	pass	224.1 kbp	60-151	Conventional base calls	pass	warn	warn	1754.0	pass	warn	warn	43.0	99.0307867731	PD_192S_filtered_prinseq_1.fastq	fail	pass
PD_192S_filtered_prinseq_2	pass	0.0	pass	126.941847206	Sanger / Illumina 1.9	pass	223.9 kbp	60-151	Conventional base calls	pass	fail	warn	1754.0	pass	warn	warn	43.0	98.6887115165	PD_192S_filtered_prinseq_2.fastq	fail	pass
PD_193P_filtered_prinseq_1	pass	0.0	pass	129.560631422	Sanger / Illumina 1.9	pass	626.7 Mbp	60-151	Conventional base calls	pass	pass	warn	4808637.0	pass	warn	pass	46.0	97.6323658248	PD_193P_filtered_prinseq_1.fastq	fail	pass
PD_193P_filtered_prinseq_2	pass	0.0	pass	129.494777834	Sanger / Illumina 1.9	pass	626.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4808637.0	pass	warn	pass	46.0	97.6631615179	PD_193P_filtered_prinseq_2.fastq	fail	pass
PD_194S_filtered_prinseq_1	pass	0.0	pass	129.485158974	Sanger / Illumina 1.9	pass	455.4 Mbp	60-151	Conventional base calls	pass	warn	warn	3497029.0	pass	warn	pass	48.0	98.621427904	PD_194S_filtered_prinseq_1.fastq	fail	pass
PD_194S_filtered_prinseq_2	pass	0.0	pass	129.43087518	Sanger / Illumina 1.9	pass	455.2 Mbp	60-151	Conventional base calls	pass	warn	warn	3497029.0	pass	pass	pass	49.0	98.631445215	PD_194S_filtered_prinseq_2.fastq	fail	pass
PD_195_filtered_prinseq_1	pass	0.0	pass	130.536783864	Sanger / Illumina 1.9	pass	691.7 Mbp	60-151	Conventional base calls	pass	fail	warn	5268098.0	pass	pass	pass	50.0	97.5599139195	PD_195_filtered_prinseq_1.fastq	fail	pass
PD_195_filtered_prinseq_2	pass	0.0	pass	130.564905209	Sanger / Illumina 1.9	pass	691.8 Mbp	60-151	Conventional base calls	pass	fail	warn	5268098.0	pass	pass	pass	50.0	97.507432336	PD_195_filtered_prinseq_2.fastq	fail	pass
PD_196_filtered_prinseq_1	pass	0.0	pass	131.964407545	Sanger / Illumina 1.9	pass	818.3 Mbp	60-151	Conventional base calls	pass	pass	warn	6164565.0	pass	warn	pass	47.0	97.5885366198	PD_196_filtered_prinseq_1.fastq	fail	pass
PD_196_filtered_prinseq_2	pass	0.0	pass	131.897488306	Sanger / Illumina 1.9	pass	817.9 Mbp	60-151	Conventional base calls	pass	pass	warn	6164565.0	pass	warn	pass	47.0	97.558645271	PD_196_filtered_prinseq_2.fastq	fail	pass
PD_197_filtered_prinseq_1	pass	0.0	pass	132.730249091	Sanger / Illumina 1.9	pass	686.3 Mbp	60-151	Conventional base calls	pass	pass	warn	5140257.0	pass	warn	pass	49.0	97.9215025354	PD_197_filtered_prinseq_1.fastq	fail	pass
