feature	metadata	value	coef	abs coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Clostridium_AP.s__Clostridium_AP.scindens	Group	PD	0.434002879	0.434002879	0.215955899	81	16	0.047879056	0.39206332
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Limivivens.s__Limivivens.sp934393555	Group	PD	-0.406522824	0.406522824	0.198437163	81	17	0.043819951	0.39206332
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas.s__Intestinimonas.butyriciproducens	Group	PD	0.355234047	0.355234047	0.174719152	81	12	0.045393685	0.39206332
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Peptostreptococcales.f__Anaerovoracaceae.g__Lentihominibacter.s__Lentihominibacter.excrementipullorum	Group	PD	0.350251598	0.350251598	0.176064313	81	15	0.050124962	0.39206332
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Scatomonas.s__Scatomonas.merdavium	Group	PD	0.313261142	0.313261142	0.148862387	81	12	0.038526214	0.39206332
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Gordonibacter.s__Gordonibacter.pamelaeae	Group	PD	0.296388915	0.296388915	0.148685923	81	16	0.049670785	0.39206332
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__F23.B02.s__F23.B02.sp001916715	Group	PD	-0.907498108	0.907498108	0.470908921	81	23	0.057559864	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter.segnis	Group	PD	-0.791405673	0.791405673	0.416355722	81	50	0.060976562	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes.s__	Group	PD	-0.756877681	0.756877681	0.399938575	81	73	0.062089553	0.395106749
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.sp902363575	Group	PD	-0.685580874	0.685580874	0.365877827	81	19	0.064655983	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Peptostreptococcales.f__Peptostreptococcaceae.g__Intestinibacter.s__Intestinibacter.bartlettii	Group	PD	0.604443382	0.604443382	0.309965047	81	29	0.054719236	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Faecousia.s__Faecousia.sp000435995	Group	PD	-0.553030681	0.553030681	0.284161496	81	24	0.055188301	0.395106749
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter.s__Odoribacter.laneus	Group	PD	-0.539171555	0.539171555	0.279154779	81	11	0.057014673	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp002404795	Group	PD	-0.480977426	0.480977426	0.250962922	81	29	0.05891447	0.395106749
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__QAMH01.g__QAMH01.s__QAMH01.sp900544245	Group	PD	-0.398251919	0.398251919	0.210853037	81	18	0.062593396	0.395106749
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.dispar	Group	PD	-0.379797184	0.379797184	0.20194642	81	12	0.063700155	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospira.s__Lachnospira.hominis	Group	PD	-0.355121456	0.355121456	0.187511419	81	18	0.061903359	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__AF33.28.s__AF33.28.sp003477885	Group	PD	0.284015518	0.284015518	0.148681201	81	10	0.059732382	0.395106749
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Fimadaptatus.s__Fimadaptatus.sp900553645	Group	PD	-0.243352285	0.243352285	0.130098845	81	10	0.065115358	0.395106749
d__Bacteria.p__Actinomycetota.c__Actinomycetes.o__Actinomycetales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium.infantis	Group	PD	1.077457317	1.077457317	0.580610754	81	51	0.067221338	0.401087317
d__Bacteria.p__Pseudomonadota.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.s__Escherichia.coli_F	Group	PD	1.012363486	1.012363486	0.557127029	81	37	0.072991745	0.40412003
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus.s__Coprococcus.aceti	Group	PD	-0.985244494	0.985244494	0.543988495	81	25	0.073918865	0.40412003
d__Bacteria.p__Bacillota_I.c__Bacilli_A.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium_AQ.s__Clostridium_AQ.innocuum	Group	PD	0.537429726	0.537429726	0.299307608	81	20	0.076385734	0.40412003
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Anaerotignaceae.g__Anaerotignum.s__Anaerotignum.faecicola	Group	PD	-0.455704955	0.455704955	0.254122503	81	24	0.076760229	0.40412003
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Butyribacter.s__Butyribacter.intestini	Group	PD	-0.450890064	0.450890064	0.250969692	81	12	0.076222871	0.40412003
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Sellimonas.s__Sellimonas.intestinalis	Group	PD	0.389324701	0.389324701	0.216806086	81	17	0.076361463	0.40412003
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__CAG.115.s__CAG.115.sp003531585	Group	PD	-0.333944159	0.333944159	0.184888917	81	9	0.074697485	0.40412003
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium_B.s__Lachnoclostridium_B.acetigenes	Group	PD	-0.244328797	0.244328797	0.136057301	81	9	0.076353288	0.40412003
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Hominicoprocola.s__Hominicoprocola.sp900317525	Group	PD	-0.61599707	0.61599707	0.346714399	81	39	0.079472237	0.406443724
d__Bacteria.p__Bacillota_A.c__Clostridia.o__UBA1381.f__UBA1381.g__Hominilimicola.s__Hominilimicola.fabiformis	Group	PD	-0.482409674	0.482409674	0.27090137	81	67	0.078796319	0.406443724
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.caecimuris	Group	PD	0.691262962	0.691262962	0.398621219	81	20	0.086794832	0.422130389
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Anaeromassilibacillus.s__Anaeromassilibacillus.stercoravium	Group	PD	0.346494284	0.346494284	0.199520228	81	12	0.08634916	0.422130389
d__Bacteria.p__Bacillota_A.c__Clostridia.o__TANB77.f__CAG.508.g__CAG.269.s__CAG.269.sp003525075	Group	PD	-0.316838764	0.316838764	0.182979167	81	14	0.087256002	0.422130389
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus.s__Anaerotruncus.rubiinfantis	Group	PD	0.263396428	0.263396428	0.1520154	81	14	0.087051999	0.422130389
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Vescimonas.s__Vescimonas.sp900545585	Group	PD	-0.194914376	0.194914376	0.113461078	81	10	0.089732971	0.42832538
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Enterocloster.s__Enterocloster.bolteae	Group	PD	0.40496959	0.40496959	0.239044695	81	15	0.094182376	0.434073059
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia.s__Blautia.celeris	Group	PD	0.344299534	0.344299534	0.202664032	81	13	0.093279131	0.434073059
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Ruthenibacterium.s__	Group	PD	0.246706801	0.246706801	0.14580221	81	9	0.094574577	0.434073059
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Hominimerdicola.s__Hominimerdicola.aceti	Group	PD	-0.85560937	0.85560937	0.511969591	81	48	0.098637013	0.44236371
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Alitiscatomonas.s__Alitiscatomonas.sp900066785	Group	PD	-0.292561282	0.292561282	0.175173158	81	11	0.098852226	0.44236371
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Gemmiger.s__Gemmiger.formicilis	Group	PD	-0.850723947	0.850723947	0.518747072	81	53	0.104989904	0.458370559
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Evtepia.s__Evtepia.gabavorous	Group	PD	0.638560707	0.638560707	0.388833358	81	43	0.104513692	0.458370559
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.shahii	Group	PD	-0.655597983	0.655597983	0.402761023	81	50	0.107557998	0.458401943
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Pararoseburia.s__Pararoseburia.lenta	Group	PD	-0.240303444	0.240303444	0.14714231	81	9	0.106419936	0.458401943
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Wujia.s__Wujia.chipingensis	Group	PD	-0.526006435	0.526006435	0.325725383	81	15	0.110324533	0.459257938
d__Bacteria.p__Actinomycetota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella.s__Eggerthella.lenta	Group	PD	0.413769513	0.413769513	0.255329356	81	27	0.109103016	0.459257938
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Bariatricus.s__Bariatricus.comes_A	Group	PD	-0.585487183	0.585487183	0.365092928	81	68	0.112778482	0.464076974
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Negativibacillus.s__Negativibacillus.faecipullorum	Group	PD	0.244525301	0.244525301	0.153316759	81	9	0.114727122	0.466730791
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__Alistipes.onderdonkii	Group	PD	0.794303164	0.794303164	0.50301882	81	57	0.118315417	0.47592044
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UMGS1766.s__UMGS1766.sp900554855	Group	PD	-0.186067559	0.186067559	0.118288063	81	9	0.119714617	0.476198145
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia_A.s__Blautia_A.luti	Group	PD	-0.355841523	0.355841523	0.228067158	81	20	0.122698376	0.478913943
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter.faecalis	Group	PD	0.241101665	0.241101665	0.154684669	81	13	0.123072857	0.478913943
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.sp905215595	Group	PD	-0.713632695	0.713632695	0.464242445	81	64	0.128240531	0.47897764
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__CAG.217.s__	Group	PD	-0.62685391	0.62685391	0.41165853	81	24	0.131813785	0.47897764
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Mediterraneibacter.s__Mediterraneibacter.torques	Group	PD	0.580759003	0.580759003	0.383368478	81	63	0.133792637	0.47897764
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp000432135	Group	PD	-0.576862903	0.576862903	0.378710899	81	39	0.131694936	0.47897764
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus.thermophilus	Group	PD	0.56027158	0.56027158	0.369417168	81	38	0.133349969	0.47897764
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Dysosmobacter.s__Dysosmobacter.welbionis	Group	PD	0.406520213	0.406520213	0.263293005	81	52	0.126588765	0.47897764
d__Bacteria.p__Bacillota_A.c__Clostridia.o__TANB77.f__CAG.508.g__CAG.269.s__CAG.269.sp000431335	Group	PD	-0.404900335	0.404900335	0.262346913	81	14	0.126735718	0.47897764
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Scatomonas.s__Scatomonas.hejianensis	Group	PD	0.210890044	0.210890044	0.138606066	81	11	0.132125518	0.47897764
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__CAG.194.s__CAG.194.sp000432915	Group	PD	-0.475363067	0.475363067	0.317105044	81	17	0.137840796	0.488584208
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Christensenellales.f__Aristaeellaceae.g__Egerieenecus.s__Egerieenecus.merdigallinarum	Group	PD	0.429459135	0.429459135	0.287622305	81	22	0.139384894	0.489022101
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Agathobaculum.s__Agathobaculum.hominis	Group	PD	-0.421166574	0.421166574	0.28322044	81	23	0.140978734	0.489022101
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__HGM13006.s__HGM13006.sp900757695	Group	PD	-0.321566876	0.321566876	0.21684053	81	16	0.142062286	0.489022101
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospira.s__Lachnospira.pectinoschiza_A	Group	PD	-0.630608033	0.630608033	0.43333302	81	34	0.14956225	0.509936052
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Vescimonas.s__Vescimonas.sp000435555	Group	PD	0.706419603	0.706419603	0.491331005	81	36	0.154449583	0.514094324
d__Bacteria.p__Actinomycetota.c__Actinomycetes.o__Actinomycetales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium.pseudocatenulatum	Group	PD	0.490883545	0.490883545	0.340287119	81	18	0.153098494	0.514094324
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__UMGS1766.s__UMGS1766.sp959602365	Group	PD	0.222911966	0.222911966	0.155284322	81	10	0.155089908	0.514094324
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__CAG.272.g__UMGS1696.s__UMGS1696.sp900753285	Group	PD	-0.190902848	0.190902848	0.134443812	81	12	0.159557979	0.524052811
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.prausnitzii_D	Group	PD	-0.594579668	0.594579668	0.428939851	81	61	0.169597851	0.532596761
d__Bacteria.p__Bacillota_I.c__Bacilli_A.o__Erysipelotrichales.f__Coprobacillaceae.g__Faecalibacillus.s__Faecalibacillus.intestinalis	Group	PD	-0.479570622	0.479570622	0.345201641	81	51	0.168660929	0.532596761
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Fimivicinus.s__Fimivicinus.sp900544375	Group	PD	0.433875045	0.433875045	0.311013385	81	14	0.166914607	0.532596761
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides.faecis	Group	PD	-0.302700833	0.302700833	0.216299875	81	11	0.165592554	0.532596761
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__CAG.170.s__CAG.170.sp900545925	Group	PD	-0.267670644	0.267670644	0.191899997	81	16	0.166972345	0.532596761
