#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_129P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_129P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_129P_bmtagged__merged.fastq
#5458068 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 5464947
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	0.0	-	-6879
k__Bacteria	2	100.0	1.7558253442605596	5464947
k__Bacteria|p__Actinomycetota	2|201174	50.55976	0.8877410148870385	2099076
k__Bacteria|p__Firmicutes	2|1239	30.32517	0.5324570211090718	2022312
k__Bacteria|p__Verrucomicrobiota	2|74201	14.59217	0.2562129640025173	805881
k__Bacteria|p__Bacteroidota	2|976	3.85095	0.06761600426914134	483313
k__Bacteria|p__Spirochaetota	2|203691	0.65835	0.011559426525411042	37591
k__Bacteria|p__Pseudomonadota	2|1224	0.01361	0.00023891346737963485	16774
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	49.77241	0.8739166462004235	2038780
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	14.59217	0.2562129640025173	805881
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	14.51967	0.2549400881908891	811895
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.86105	0.20825926167115844	1006680
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	3.85095	0.06761600426914134	483313
k__Bacteria|p__Firmicutes|c__CFGB79330	2|1239|	1.63507	0.028708892395238824	68320
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	1.36255	0.023923964149950537	66041
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.79287	0.013921486589316487	47113
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.78734	0.013824368686614909	60296
k__Bacteria|p__Spirochaetota|c__Spirochaetia	2|203691|203692	0.65835	0.011559426525411042	37591
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.09485	0.0016653941735210124	13828
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.05911	0.0010379339389974271	8435
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.01361	0.00023891346737963485	16774
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	49.77241	0.8739166462004235	2038780
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales	2|74201|203494|48461	14.59217	0.2562129640025173	805881
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	14.51967	0.2549400881908891	811895
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	5.93128	0.10414290962707569	553287
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	5.87913	0.10322732719555203	434615
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.85095	0.06761600426914134	483313
k__Bacteria|p__Firmicutes|c__CFGB79330|o__OFGB79330	2|1239||	1.63507	0.028708892395238824	68320
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	1.36255	0.023923964149950537	66041
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.79287	0.013921486589316487	47113
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.78734	0.013824368686614909	60296
k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0.65835	0.011559426525411042	37591
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.09485	0.0016653941735210124	13828
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.05911	0.0010379339389974271	8435
k__Bacteria|p__Firmicutes|c__Clostridia|o__Christensenellales	2|1239|186801|3082768	0.05063	0.0008890248485307211	18778
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.01361	0.00023891346737963485	16774
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	49.77241	0.8739166462004235	2038780
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	14.59217	0.2562129640025173	805881
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	7.34682	0.12899733156017915	495838
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	7.06225	0.12400077932915006	289736
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae	2|1239|186801|3085636|186803	5.77505	0.10139976675036777	538852
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.40361	0.05976144266792486	393756
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	2.11528	0.037140550529016665	169152
k__Bacteria|p__Firmicutes|c__CFGB79330|o__OFGB79330|f__FGB79330	2|1239|||	1.63507	0.028708892395238824	68320
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis	2|1239|186801|186802|538999	1.5863	0.027852612227852246	77317
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054	2|1239|||	1.36255	0.023923964149950537	66041
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	2|1239|186801|186802|186806	1.25165	0.021976721559649352	95985
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.79287	0.013921486589316487	47113
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.78734	0.013824368686614909	60296
