#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_152P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_152P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_152P_bmtagged__merged.fastq
#7426068 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 7240626
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	2.497176	-	185442
k__Bacteria	2	93.214152	1.8720175671960695	7083853
k__Archaea	2157	4.288671	0.08612928277201275	156773
k__Bacteria|p__Firmicutes	2|1239	76.440432	1.5351513377729629	5492861
k__Bacteria|p__Bacteroidota	2|976	10.536135	0.211596934997825	1033453
k__Archaea|p__Methanobacteriota	2157|28890	4.288671	0.08612928277201275	156773
k__Bacteria|p__Verrucomicrobiota	2|74201	2.138848	0.042954437245181186	139876
k__Bacteria|p__Pseudomonadota	2|1224	1.735436	0.03485271544922624	221118
k__Bacteria|p__Actinomycetota	2|201174	1.199329	0.024086090491736895	91013
k__Bacteria|p__Thermodesulfobacteriota	2|200940	1.163973	0.02337605123913729	105532
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	59.061984	1.1861403848835288	4362360
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	10.536135	0.211596934997825	1033453
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	4.513258	0.09063964121030331	284905
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	4.288671	0.08612928277201275	156773
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	3.780246	0.07591859757291244	184412
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	2.138848	0.042954437245181186	139876
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.763395	0.03541422805627675	102521
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	1.266405	0.025433182979189665	181691
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	1.163973	0.02337605123913729	105532
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	1.049057	0.021068183792916282	55013
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	0.804537	0.016157500699076906	24376
k__Bacteria|p__Firmicutes|c__CFGB2979	2|1239|	0.720277	0.014465303901374002	35453
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.714067	0.014340596516341482	51299
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.698084	0.0140196038184005	43420
k__Bacteria|p__Actinomycetota|c__CFGB77988	2|201174|	0.603456	0.012119200569813617	26854
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.60297	0.01210943735749077	87347
k__Bacteria|p__Firmicutes|c__CFGB9345	2|1239|	0.50543	0.010150537012201663	23202
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.499068	0.010022766940165191	25170
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.361828	0.007266592361323593	29884
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.346479	0.006958323644288372	49734
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.297224	0.005969149695528866	14011
k__Bacteria|p__Firmicutes|c__CFGB92044	2|1239|	0.261316	0.005248006673714624	18332
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	0.249394	0.005008566277634906	14425
k__Bacteria|p__Firmicutes|c__CFGB2917	2|1239|	0.236481	0.004749236056203325	16694
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.181179	0.0036386059602839774	17763
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.146239	0.0029369172959403007	27447
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.130807	0.002626987832789524	16577
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	0.125519	0.0025207968809741795	16166
k__Bacteria|p__Firmicutes|c__CFGB15212	2|1239|	0.110128	0.0022117055532600758	8874
k__Bacteria|p__Pseudomonadota|c__CFGB2404	2|1224|	0.107202	0.0021529401087129786	9543
k__Bacteria|p__Firmicutes|c__CFGB11739	2|1239|	0.075998	0.00152625642246675	12804
k__Bacteria|p__Firmicutes|c__CFGB82250	2|1239|	0.040902	0.0008214321492762571	9920
k__Bacteria|p__Firmicutes|c__CFGB84123	2|1239|	0.032364	0.0006499752217620616	9624
k__Bacteria|p__Firmicutes|c__CFGB82363	2|1239|	0.027958	0.0005614879378894517	7300
k__Bacteria|p__Firmicutes|c__CFGB78453	2|1239|	0.01774	0.00035627811579995493	2416
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.017074	0.0003428896518652132	4211
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.016085	0.0003230268907325434	6164
k__Bacteria|p__Firmicutes|c__CFGB94733	2|1239|	0.009519	0.00019117120934636556	8705
k__Bacteria|p__Firmicutes|c__CFGB94810	2|1239|	0.000563	1.1314765561316286e-05	8528
k__Bacteria|p__Firmicutes|c__CFGB36777	2|1239|	0.000506	1.0169826944893989e-05	4331
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.000456	9.147871635138897e-06	3516
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	30.871951	0.6200006470365319	2002537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	28.051461	0.5633568117580129	2332888
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	10.536135	0.211596934997825	1033453
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	4.513258	0.09063964121030331	284905
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	4.288671	0.08612928277201275	156773
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	3.780246	0.07591859757291244	184412
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales	2|74201|203494|48461	2.138848	0.042954437245181186	139876
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.763395	0.03541422805627675	102521
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	1.163973	0.02337605123913729	105532
k__Bacteria|p__Firmicutes|c__CFGB84486|o__OFGB84486	2|1239||	1.049057	0.021068183792916282	55013
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.943424	0.018946770782214243	126708
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	0.804537	0.016157500699076906	24376
k__Bacteria|p__Firmicutes|c__CFGB2979|o__OFGB2979	2|1239||	0.720277	0.014465303901374002	35453
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.714067	0.014340596516341482	51299
k__Bacteria|p__Firmicutes|c__CFGB3057|o__OFGB3057	2|1239||	0.698084	0.0140196038184005	43420
k__Bacteria|p__Actinomycetota|c__CFGB77988|o__OFGB77988	2|201174||	0.603456	0.012119200569813617	26854
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.60297	0.01210943735749077	87347
