#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_148P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_148P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_148P_bmtagged__merged.fastq
#10842780 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 9858206
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	9.080457	-	984574
k__Bacteria	2	90.172357	2.6423692942773434	9816738
k__Archaea	2157	0.747186	0.02189519971900747	41468
k__Bacteria|p__Firmicutes	2|1239	67.720767	1.984458220311359	7037229
k__Bacteria|p__Bacteroidota	2|976	18.123275	0.5310761167480621	2338388
k__Bacteria|p__Actinomycetota	2|201174	2.984758	0.08746397641492332	250086
k__Archaea|p__Methanobacteriota	2157|28890	0.747186	0.02189519971900747	41468
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.486875	0.014267171147142124	73187
k__Bacteria|p__Verrucomicrobiota	2|74201	0.476461	0.013962000129529762	43938
k__Bacteria|p__Pseudomonadota	2|1224	0.354018	0.01037399299104155	64688
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.026202	0.0007678165352855155	9222
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	63.106293	1.8492377994138918	6481910
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	17.825094	0.5223383512691145	2309686
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	2.400959	0.07035660877235568	191874
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.035433	0.03034184985573688	88284
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	1.015982	0.02977187984352128	75720
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	0.747186	0.02189519971900747	41468
k__Bacteria|p__Actinomycetota|c__CFGB77988	2|201174|	0.568458	0.016657821298384425	36449
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.552185	0.016180989243902513	49490
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.486875	0.014267171147142124	73187
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	0.476461	0.013962000129529762	43938
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.446018	0.013069904291101296	73096
k__Bacteria|p__Firmicutes|c__CFGB79330	2|1239|	0.423818	0.012419365140010886	35193
k__Bacteria|p__Bacteroidota|c__CFGB4405	2|976|	0.298181	0.008737765478947605	28702
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.20697	0.006064960382771766	31013
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	0.203521	0.005963880384279451	20226
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2|1239|	0.191812	0.005620758878508327	33380
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.177746	0.005208596264800225	16988
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.176272	0.005165396726241324	47700
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.106242	0.00311326871384656	13436
k__Bacteria|p__Firmicutes|c__CFGB3038	2|1239|	0.086726	0.0025413779528175124	32813
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.073322	0.002148593340725275	18962
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.069434	0.0020346507373960455	12075
k__Bacteria|p__Firmicutes|c__CFGB3057	2|1239|	0.037189	0.0010897720786494582	9651
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.03706	0.0010859857337254901	6457
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.036924	0.0010820097952012313	7207
k__Bacteria|p__Firmicutes|c__CFGB94730	2|1239|	0.029973	0.0008783162801531909	7103
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2106	2|1798710|	0.026202	0.0007678165352855155	9222
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.022959	0.0006727816631010015	11352
k__Bacteria|p__Firmicutes|c__CFGB77202	2|1239|	0.021441	0.000628305789178313	12330
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.015341	0.0004495463441832165	21763
k__Bacteria|p__Firmicutes|c__CFGB73178	2|1239|	0.011289	0.00033079361248936057	5100
k__Bacteria|p__Firmicutes|c__CFGB2959	2|1239|	0.003101	9.087141636078429e-05	6861
