#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_166_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_166_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_166_bmtagged__merged.fastq
#7947737 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 7413658
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	6.719888	-	534079
k__Bacteria	2	92.722187	2.2402508029843755	7385500
k__Archaea	2157	0.557925	0.013479967658088956	28158
k__Bacteria|p__Firmicutes	2|1239	89.209305	2.1553764312754433	7023167
k__Bacteria|p__Actinomycetota	2|201174	2.997765	0.07242866934880492	192572
k__Archaea|p__Methanobacteriota	2157|28890	0.557925	0.013479967658088956	28158
k__Bacteria|p__Bacteroidota	2|976	0.378655	0.009148634263106706	125955
k__Bacteria|p__Pseudomonadota	2|1224	0.096538	0.002332442541300892	20817
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.036802	0.0008891601540231832	15555
k__Bacteria|p__Bacteria_unclassified	2|	0.003123	7.54654016964979e-05	7434
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	58.36223	1.410083569180936	4999179
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	15.510261	0.374741738762313	863052
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	5.416616	0.13087028070208412	287651
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	3.52936	0.08527249868471587	212411
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	2.376451	0.05741717245124509	201549
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	1.446397	0.03494624473394343	102461
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.966608	0.023354114322577613	53087
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.934538	0.02257926870692913	56785
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	0.755328	0.01824939865035964	57233
