#mpa_vJan25_CHOCOPhlAnSGB_202503
#/home/daniel.castanedamogo/anaconda3/envs/metaphlan4/bin/metaphlan --nproc 24 --input_type fastq --db_dir /bulk/IMCshared_bulk/shared/dbs/metaphlan4.2/ -t rel_ab_w_read_stats -o /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_75P_metaphlan4.txt --mapout /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/metaphlan4/PD_75P_bowtie2.vz2 --verbose /bulk/IMCshared_bulk/daniel/parkinsons/novaseq/metqc_output_daniel_snakemake/merged/PD_75P_bmtagged__merged.fastq
#5368069 reads processed
#SampleID	Metaphlan_Analysis
#Estimated reads mapped to known clades: 5304533
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
UNCLASSIFIED	-1	1.183591	-	63536
k__Bacteria	2	97.519408	1.3858115936979263	5266706
k__Archaea	2157	1.297001	0.018431187275560545	37827
k__Bacteria|p__Firmicutes	2|1239	80.508602	1.1440774290187707	4222294
k__Bacteria|p__Bacteroidota	2|976	10.733153	0.15252480284326767	752144
k__Bacteria|p__Actinomycetota	2|201174	4.296647	0.061058026055275716	173302
k__Bacteria|p__Verrucomicrobiota	2|74201	1.60923	0.022868155999912963	73078
k__Archaea|p__Methanobacteriota	2157|28890	1.297001	0.018431187275560545	37827
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.190275	0.002703922567168663	14909
k__Bacteria|p__Pseudomonadota	2|1224	0.126993	0.0018046433559723977	14528
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.054509	0.0007746138575580792	16451
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	71.245314	1.0124403311555537	3716733
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	8.80262	0.12509071379703177	684415
k__Bacteria|p__Bacteroidota|c__CFGB1670	2|976|	1.930534	0.027434089046235906	67729
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	1.796636	0.025531316283003903	95763
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	1.725356	0.02451839083948879	70908
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	2|74201|203494	1.60923	0.022868155999912963	73078
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	1.370752	0.01947924187541665	44600
k__Archaea|p__Methanobacteriota|c__Methanobacteria	2157|28890|183925	1.297001	0.018431187275560545	37827
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	1.159315	0.01647459551245833	37391
k__Bacteria|p__Actinomycetota|c__CFGB2992	2|201174|	1.129259	0.016047467896855166	32939
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.04453	0.014843417929320613	30977
k__Bacteria|p__Firmicutes|c__CFGB79315	2|1239|	0.986315	0.014016156526628324	48126
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.899958	0.012788964821098172	41876
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.720814	0.010243214335528071	60055
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.424689	0.0060350898363274895	23001
k__Bacteria|p__Firmicutes|c__CFGB93792	2|1239|	0.407682	0.005793419213989605	22661
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.373133	0.005302448258166437	17206
k__Bacteria|p__Firmicutes|c__CFGB84486	2|1239|	0.316634	0.004499561545996632	17756
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.300318	0.004267709074992489	21377
k__Bacteria|p__Firmicutes|c__CFGB1380	2|1239|	0.291058	0.004136112884172444	15276
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.212714	0.0030227946182909476	11817
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.190275	0.002703922567168663	14909
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.152882	0.0021725506540811565	9904
k__Bacteria|p__Pseudomonadota|c__CFGB2404	2|1224|	0.096543	0.0013719392765253811	9505
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.063405	0.0009010216298266621	14504
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.054509	0.0007746138575580792	16451
