	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_100P_filtered_1	8579.0	9118.0	9787.0	10352.0	10972.0	11855.0	12397.0	13184.0	14078.0	14563.0	15379.0	16222.0	16700.0	17639.0	17958.0	18244.0	18736.0	19607.0	20184.0	20793.0	21519.0	22458.0	22498.0	23292.0	23445.0	24081.0	24725.0	25348.0	25843.0	26051.0	26490.0	27199.0	27749.0	28529.0	28724.0	29116.0	29637.0	30110.0	30524.0	31292.0	31907.0	32629.0	33937.0	46739.0	59912.0	2125681.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_100P_filtered_2	726.0	735.0	741.0	722.0	603.0	672.0	627.0	667.0	660.0	653.0	650.0	753.0	1029.0	1389.0	1505.0	1820.0	2292.0	2600.0	2930.0	3371.0	3531.0	4003.0	4327.0	4913.0	5183.0	5324.0	5974.0	6643.0	7103.0	7576.0	8516.0	9187.0	10078.0	11153.0	11955.0	12669.0	14173.0	15877.0	32058.0	49674.0	53361.0	56835.0	62746.0	91012.0	125484.0	2511282.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_104P_filtered_1	33837.0	36568.0	39354.0	41409.0	43518.0	45601.0	47846.0	50291.0	52135.0	54165.0	55561.0	57471.0	58585.0	59940.0	60373.0	61100.0	61701.0	61584.0	62480.0	62755.0	63578.0	63897.0	63127.0	63427.0	63415.0	62936.0	62586.0	62445.0	62598.0	61071.0	61565.0	61266.0	60739.0	60350.0	59428.0	59446.0	58417.0	58226.0	57911.0	57555.0	57196.0	56738.0	57671.0	70557.0	76453.0	2144094.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_104P_filtered_2	631.0	647.0	659.0	652.0	681.0	719.0	757.0	795.0	858.0	953.0	1190.0	1726.0	2728.0	4342.0	4900.0	5955.0	8325.0	10714.0	12099.0	14206.0	15794.0	17053.0	18263.0	20155.0	20778.0	21946.0	23514.0	25562.0	26657.0	28395.0	31155.0	33412.0	35861.0	38130.0	40316.0	42071.0	44796.0	48596.0	78387.0	111365.0	117839.0	122501.0	132911.0	186604.0	241695.0	3135673.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_105P_filtered_1	28493.0	30656.0	31668.0	32501.0	33650.0	34820.0	35554.0	35976.0	37111.0	38006.0	39103.0	40487.0	40473.0	40871.0	40294.0	40130.0	39821.0	39604.0	40323.0	40667.0	41636.0	41900.0	41113.0	39952.0	40402.0	40162.0	40653.0	40973.0	40530.0	39401.0	39731.0	39926.0	39355.0	40028.0	39272.0	39213.0	38891.0	38588.0	38697.0	38037.0	37918.0	37129.0	37594.0	44470.0	43657.0	1449272.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_105P_filtered_2	461.0	427.0	431.0	466.0	500.0	478.0	481.0	522.0	521.0	617.0	701.0	1054.0	2017.0	4477.0	5794.0	6962.0	9442.0	11090.0	12032.0	13432.0	15708.0	16576.0	18497.0	19685.0	21406.0	21404.0	22387.0	23078.0	23674.0	24164.0	25796.0	27157.0	27822.0	29437.0	31075.0	31371.0	32169.0	33849.0	53519.0	74123.0	78773.0	81142.0	86157.0	112866.0	140790.0	2044178.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_107P_filtered_1	3.0	6.0	6.0	7.0	12.0	8.0	10.0	9.0	6.0	5.0	8.0	5.0	11.0	12.0	7.0	10.0	4.0	11.0	10.0	6.0	17.0	17.0	13.0	14.0	12.0	12.0	6.0	10.0	8.0	12.0	11.0	11.0	7.0	10.0	4.0	4.0	8.0	12.0	14.0	3.0	7.0	15.0	11.0	9.0	12.0	300.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_107P_filtered_2	2.0	1.0	4.0	3.0	1.0	0.0	1.0	1.0	3.0	2.0	1.0	1.0	0.0	3.0	1.0	3.0	4.0	6.0	4.0	5.0	0.0	2.0	2.0	8.0	6.0	6.0	8.0	8.0	7.0	7.0	15.0	2.0	13.0	9.0	9.0	10.0	8.0	12.0	9.0	9.0	24.0	23.0	12.0	16.0	31.0	413.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_108S_filtered_1	32217.0	34845.0	37258.0	38815.0	40470.0	42192.0	44265.0	45808.0	47728.0	48547.0	50151.0	51714.0	52964.0	53321.0	53882.0	54602.0	55248.0	55847.0	56393.0	57355.0	57613.0	58038.0	57749.0	58171.0	57911.0	58070.0	58279.0	58837.0	58442.0	58311.0	59227.0	58976.0	58467.0	58352.0	58927.0	59149.0	58420.0	58740.0	58708.0	59131.0	59531.0	59489.0	61050.0	79807.0	93152.0	2798368.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_108S_filtered_2	812.0	834.0	900.0	820.0	838.0	870.0	900.0	898.0	918.0	1018.0	1188.0	1565.0	2256.0	3902.0	4671.0	5587.0	7278.0	10056.0	11367.0	12863.0	14905.0	16985.0	18250.0	19720.0	21382.0	21780.0	22725.0	25000.0	26393.0	27323.0	30426.0	32926.0	34923.0	37495.0	39468.0	41755.0	43490.0	47380.0	78155.0	110386.0	118246.0	122894.0	132433.0	185215.0	248501.0	3686840.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_109S_filtered_1	32721.0	35391.0	37441.0	39237.0	42059.0	44219.0	45654.0	47336.0	49436.0	50581.0	51981.0	53560.0	54066.0	54929.0	54964.0	55307.0	55439.0	55016.0	55795.0	55484.0	55971.0	55689.0	55258.0	54475.0	54361.0	54514.0	54046.0	53877.0	53328.0	53163.0	51953.0	52507.0	51374.0	51825.0	51038.0	50699.0	50176.0	49822.0	49312.0	49877.0	49998.0	49614.0	51331.0	67441.0	83562.0	2552058.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_109S_filtered_2	812.0	810.0	782.0	836.0	755.0	806.0	763.0	792.0	899.0	948.0	1089.0	1528.0	2530.0	4420.0	5378.0	6698.0	7808.0	10316.0	11493.0	13531.0	15744.0	17800.0	19631.0	21118.0	22701.0	23040.0	24033.0	25566.0	27175.0	28629.0	31304.0	33917.0	35497.0	38006.0	40071.0	42144.0	43094.0	46698.0	73456.0	100710.0	109308.0	114596.0	122655.0	169027.0	237081.0	3341890.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_10P_filtered_1	28267.0	28910.0	29705.0	29841.0	30331.0	31160.0	32098.0	32073.0	32589.0	32758.0	32969.0	33479.0	33479.0	33559.0	33301.0	33353.0	32916.0	33007.0	32640.0	32694.0	32679.0	32413.0	32182.0	31496.0	31464.0	31116.0	30690.0	30344.0	30345.0	29508.0	29171.0	29269.0	28642.0	28189.0	28093.0	27697.0	27173.0	26451.0	26651.0	26470.0	26674.0	26118.0	27180.0	33915.0	38040.0	1216105.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_10P_filtered_2	572.0	554.0	516.0	554.0	561.0	520.0	553.0	586.0	629.0	771.0	837.0	1213.0	1768.0	2938.0	3343.0	3764.0	4019.0	4636.0	5092.0	6283.0	8209.0	11723.0	12856.0	14331.0	14891.0	15386.0	16187.0	17485.0	18165.0	18782.0	20193.0	21636.0	22735.0	24013.0	24821.0	25859.0	26056.0	27252.0	40955.0	55490.0	59796.0	62960.0	67866.0	93240.0	122480.0	1714128.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_110S_filtered_1	31416.0	33664.0	34966.0	36318.0	37828.0	39275.0	40483.0	41726.0	42950.0	43638.0	44960.0	45935.0	46790.0	47875.0	47375.0	48015.0	49072.0	48718.0	49177.0	49267.0	49541.0	49624.0	49661.0	49110.0	49008.0	48587.0	48246.0	48262.0	47479.0	47232.0	46491.0	46714.0	45475.0	45758.0	44924.0	44211.0	43752.0	43261.0	43417.0	42826.0	42879.0	42183.0	43542.0	55167.0	63658.0	1912905.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_110S_filtered_2	648.0	673.0	647.0	637.0	705.0	723.0	724.0	716.0	695.0	792.0	986.0	1479.0	2291.0	4545.0	5666.0	6979.0	8821.0	10819.0	13705.0	15660.0	17668.0	19206.0	20678.0	21957.0	23649.0	24723.0	25452.0	27236.0	28184.0	29251.0	30828.0	32601.0	33879.0	35431.0	36793.0	37841.0	38869.0	40795.0	63434.0	86759.0	91836.0	95095.0	102803.0	135772.0	180535.0	2594175.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_111P_filtered_1	22579.0	24133.0	26182.0	27823.0	29000.0	31110.0	32398.0	34450.0	35680.0	36894.0	38380.0	40041.0	41208.0	42143.0	42796.0	44151.0	44648.0	45212.0	45800.0	46341.0	47197.0	47620.0	47425.0	47495.0	48336.0	48242.0	47976.0	47909.0	48048.0	47238.0	47734.0	47965.0	47677.0	47377.0	47106.0	47166.0	46657.0	47166.0	46787.0	46739.0	47001.0	47028.0	47266.0	58663.0	65590.0	2095214.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_111P_filtered_2	615.0	599.0	631.0	606.0	596.0	632.0	653.0	697.0	672.0	754.0	862.0	1228.0	1819.0	3139.0	3703.0	4404.0	5156.0	6671.0	7733.0	8757.0	9918.0	11846.0	13164.0	14345.0	16107.0	17314.0	18183.0	20036.0	21300.0	21339.0	23747.0	25338.0	26964.0	28952.0	30472.0	31569.0	32665.0	35161.0	59953.0	85177.0	89945.0	94615.0	100963.0	137572.0	177927.0	2847092.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_112S_filtered_1	99.0	100.0	85.0	89.0	94.0	104.0	107.0	110.0	137.0	124.0	141.0	152.0	141.0	169.0	153.0	148.0	123.0	148.0	144.0	154.0	150.0	165.0	167.0	146.0	171.0	170.0	184.0	159.0	144.0	148.0	138.0	153.0	147.0	146.0	140.0	134.0	171.0	142.0	148.0	139.0	141.0	159.0	147.0	201.0	208.0	5183.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_112S_filtered_2	11.0	18.0	18.0	24.0	20.0	21.0	17.0	10.0	18.0	24.0	11.0	16.0	19.0	27.0	28.0	23.0	35.0	38.0	47.0	57.0	54.0	55.0	72.0	70.0	57.0	73.0	68.0	93.0	93.0	80.0	82.0	92.0	106.0	108.0	110.0	129.0	119.0	151.0	206.0	264.0	268.0	303.0	362.0	410.0	511.0	7205.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_113P_filtered_1	22997.0	24418.0	25947.0	27613.0	29030.0	30001.0	31554.0	32690.0	34003.0	35320.0	36383.0	37541.0	38659.0	39174.0	40066.0	40562.0	41513.0	42024.0	42596.0	43186.0	44256.0	45019.0	44896.0	45323.0	45523.0	46200.0	47063.0	46590.0	47381.0	47893.0	48349.0	49303.0	49073.0	49634.0	49718.0	50075.0	49854.0	50521.0	50844.0	52155.0	52840.0	53384.0	55332.0	70127.0	83340.0	2997020.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_113P_filtered_2	854.0	901.0	855.0	884.0	870.0	908.0	883.0	866.0	918.0	1013.0	1203.0	1603.0	2235.0	3966.0	4538.0	5664.0	7387.0	8940.0	10051.0	10996.0	12305.0	13389.0	14424.0	15236.0	16282.0	16878.0	17737.0	19056.0	19628.0	20781.0	22555.0	24232.0	25219.0	27009.0	28755.0	30003.0	31574.0	34107.0	61759.0	90627.0	95437.0	101860.0	111653.0	153736.0	212429.0	3684784.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_114P_filtered_1	37001.0	38789.0	39947.0	41453.0	42138.0	43007.0	44140.0	45300.0	45894.0	46789.0	47860.0	48221.0	49202.0	49355.0	49003.0	48822.0	49577.0	48977.0	49078.0	49095.0	48768.0	48391.0	48003.0	46912.0	46809.0	45635.0	45522.0	45028.0	44761.0	44433.0	43393.0	42745.0	42009.0	41526.0	40923.0	40134.0	39433.0	39111.0	38252.0	38106.0	37827.0	37116.0	37542.0	45088.0	47858.0	1418262.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_114P_filtered_2	445.0	464.0	502.0	512.0	521.0	539.0	558.0	602.0	668.0	733.0	978.0	1474.0	2508.0	4768.0	5566.0	6649.0	8381.0	9958.0	10729.0	11979.0	13428.0	14018.0	14916.0	16536.0	17712.0	18273.0	19742.0	21189.0	22363.0	23440.0	25963.0	27489.0	29130.0	31557.0	33467.0	33626.0	35406.0	38098.0	58035.0	78922.0	86044.0	89174.0	95087.0	135956.0	187559.0	2171571.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_115S_filtered_1	13081.0	14170.0	15055.0	15840.0	16645.0	17434.0	18508.0	19354.0	20401.0	21666.0	22640.0	23646.0	24607.0	24989.0	25612.0	26545.0	27140.0	27716.0	28683.0	29714.0	30340.0	30637.0	30815.0	31250.0	31775.0	32762.0	33426.0	34614.0	35425.0	35461.0	36097.0	36236.0	36977.0	37232.0	37804.0	38186.0	39038.0	39730.0	40017.0	40662.0	41706.0	42297.0	43777.0	59234.0	73149.0	2303438.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_115S_filtered_2	462.0	509.0	505.0	523.0	507.0	492.0	555.0	544.0	627.0	717.0	827.0	1060.0	1601.0	2758.0	3360.0	4103.0	4691.0	5884.0	6643.0	7242.0	8137.0	8625.0	9153.0	10130.0	10793.0	11054.0	11843.0	12923.0	13249.0	13860.0	15022.0	16142.0	16781.0	18170.0	19428.0	20382.0	21380.0	23479.0	44306.0	66043.0	71360.0	74268.0	80924.0	113613.0	153495.0	2797361.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
PD_116P_filtered_1	36931.0	39717.0	41763.0	43923.0	46218.0	48308.0	50175.0	52097.0	53853.0	55929.0	57337.0	58664.0	59888.0	60731.0	61306.0	62097.0	63464.0	63169.0	63670.0	64603.0	64632.0	65282.0	65385.0	65417.0	65476.0	65436.0	65882.0	66423.0	66231.0	65389.0	65694.0	66041.0	65398.0	65785.0	64937.0	65066.0	64329.0	64321.0	64323.0	64052.0	65045.0	64875.0	66749.0	85686.0	99869.0	2903707.0
	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
