Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_100P_filtered_1	pass	0.0	pass	138.282153837	Sanger / Illumina 1.9	pass	439 Mbp	60-151	Conventional base calls	pass	fail	warn	3155782.0	pass	warn	pass	49.0	97.7417814251	PD_100P_filtered_1.fastq	fail	pass
PD_100P_filtered_2	fail	0.0	pass	147.18662189	Sanger / Illumina 1.9	pass	467.4 Mbp	60-151	Conventional base calls	pass	fail	warn	3155782.0	pass	warn	pass	50.0	97.6667831599	PD_100P_filtered_2.fastq	fail	pass
PD_104P_filtered_1	pass	0.0	pass	126.243937522	Sanger / Illumina 1.9	pass	600.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4732966.0	pass	pass	pass	46.0	97.6769229882	PD_104P_filtered_1.fastq	fail	pass
PD_104P_filtered_2	fail	0.0	pass	144.34846648	Sanger / Illumina 1.9	pass	687.6 Mbp	60-151	Conventional base calls	pass	pass	warn	4732966.0	pass	pass	pass	47.0	97.7284722777	PD_104P_filtered_2.fastq	fail	pass
PD_105P_filtered_1	pass	0.0	pass	125.575620596	Sanger / Illumina 1.9	pass	402.7 Mbp	60-151	Conventional base calls	pass	fail	warn	3188708.0	pass	pass	pass	53.0	94.5684781342	PD_105P_filtered_1.fastq	fail	pass
PD_105P_filtered_2	fail	0.0	pass	143.018094476	Sanger / Illumina 1.9	pass	459 Mbp	60-151	Conventional base calls	pass	fail	warn	3188708.0	pass	pass	pass	53.0	94.5679290667	PD_105P_filtered_2.fastq	fail	pass
PD_107P_filtered_1	pass	0.0	pass	124.626573427	Sanger / Illumina 1.9	pass	89.6 kbp	60-151	Conventional base calls	pass	warn	warn	715.0	pass	fail	warn	45.0	98.3216783217	PD_107P_filtered_1.fastq	fail	pass
PD_107P_filtered_2	fail	0.0	pass	139.065734266	Sanger / Illumina 1.9	pass	100.1 kbp	61-151	Conventional base calls	pass	warn	warn	715.0	pass	warn	warn	46.0	98.3216783217	PD_107P_filtered_2.fastq	fail	pass
PD_108S_filtered_1	pass	0.0	pass	130.260896454	Sanger / Illumina 1.9	pass	691.1 Mbp	60-151	Conventional base calls	pass	warn	warn	5274537.0	pass	warn	pass	48.0	97.7403384646	PD_108S_filtered_1.fastq	fail	pass
PD_108S_filtered_2	fail	0.0	pass	145.019907529	Sanger / Illumina 1.9	pass	769.9 Mbp	60-151	Conventional base calls	pass	warn	warn	5274537.0	pass	pass	pass	48.0	97.6761142202	PD_108S_filtered_2.fastq	fail	pass
PD_109S_filtered_1	pass	0.0	pass	129.076332468	Sanger / Illumina 1.9	pass	633.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4877885.0	pass	warn	pass	46.0	97.2354943476	PD_109S_filtered_1.fastq	fail	pass
PD_109S_filtered_2	fail	0.0	pass	144.565369622	Sanger / Illumina 1.9	pass	709.7 Mbp	60-151	Conventional base calls	pass	pass	warn	4877885.0	pass	warn	pass	47.0	97.1803096607	PD_109S_filtered_2.fastq	fail	pass
PD_10P_filtered_1	pass	0.0	pass	125.101442166	Sanger / Illumina 1.9	pass	326.8 Mbp	60-151	Conventional base calls	pass	fail	warn	2597204.0	pass	pass	pass	50.0	98.6967900497	PD_10P_filtered_1.fastq	fail	pass
PD_10P_filtered_2	fail	0.0	pass	143.818644974	Sanger / Illumina 1.9	pass	376 Mbp	60-151	Conventional base calls	pass	fail	warn	2597204.0	pass	pass	pass	50.0	98.6990200984	PD_10P_filtered_2.fastq	fail	pass
PD_110S_filtered_1	pass	0.0	pass	127.080550954	Sanger / Illumina 1.9	pass	505.3 Mbp	60-151	Conventional base calls	pass	pass	warn	3953361.0	pass	warn	pass	46.0	97.9780881722	PD_110S_filtered_1.fastq	fail	pass
PD_110S_filtered_2	fail	0.0	pass	143.479279024	Sanger / Illumina 1.9	pass	570.9 Mbp	60-151	Conventional base calls	pass	pass	warn	3953361.0	pass	warn	pass	47.0	97.9848274201	PD_110S_filtered_2.fastq	fail	pass
PD_111P_filtered_1	pass	0.0	pass	129.910495149	Sanger / Illumina 1.9	pass	528.1 Mbp	60-151	Conventional base calls	pass	pass	warn	4041591.0	pass	pass	pass	49.0	97.2587448269	PD_111P_filtered_1.fastq	fail	pass
PD_111P_filtered_2	fail	0.0	pass	145.097422772	Sanger / Illumina 1.9	pass	590.2 Mbp	60-151	Conventional base calls	pass	pass	warn	4041591.0	pass	pass	pass	49.0	97.3301029808	PD_111P_filtered_2.fastq	fail	pass
PD_112S_filtered_1	pass	0.0	pass	126.302503657	Sanger / Illumina 1.9	pass	1.4 Mbp	60-151	Conventional base calls	pass	pass	warn	11623.0	pass	fail	pass	45.0	98.3481028994	PD_112S_filtered_1.fastq	fail	pass
PD_112S_filtered_2	fail	0.0	pass	141.667211563	Sanger / Illumina 1.9	pass	1.6 Mbp	61-151	Conventional base calls	pass	pass	warn	11623.0	pass	warn	pass	45.0	98.4599500989	PD_112S_filtered_2.fastq	fail	pass
PD_113P_filtered_1	pass	0.0	pass	134.112799502	Sanger / Illumina 1.9	pass	670.1 Mbp	60-151	Conventional base calls	pass	fail	warn	4966990.0	pass	pass	pass	51.0	94.3995378865	PD_113P_filtered_1.fastq	fail	pass
PD_113P_filtered_2	fail	0.0	pass	145.759428145	Sanger / Illumina 1.9	pass	728.6 Mbp	60-151	Conventional base calls	pass	fail	warn	4966990.0	pass	pass	pass	51.0	94.4657194296	PD_113P_filtered_2.fastq	fail	pass
PD_114P_filtered_1	pass	0.0	pass	122.7208543	Sanger / Illumina 1.9	pass	420.5 Mbp	60-151	Conventional base calls	pass	pass	warn	3407235.0	pass	warn	pass	47.0	97.1515619079	PD_114P_filtered_1.fastq	fail	pass
PD_114P_filtered_2	fail	0.0	pass	143.580750374	Sanger / Illumina 1.9	pass	492.4 Mbp	60-151	Conventional base calls	pass	pass	warn	3407235.0	pass	warn	pass	48.0	97.0802659706	PD_114P_filtered_2.fastq	fail	pass
PD_115S_filtered_1	pass	0.0	pass	135.905765193	Sanger / Illumina 1.9	pass	506.6 Mbp	60-151	Conventional base calls	pass	warn	warn	3705531.0	pass	warn	pass	47.0	96.0671496459	PD_115S_filtered_1.fastq	fail	pass
PD_115S_filtered_2	fail	0.0	pass	146.121664075	Sanger / Illumina 1.9	pass	544.9 Mbp	60-151	Conventional base calls	pass	warn	warn	3705531.0	pass	warn	pass	47.0	96.1464353712	PD_115S_filtered_2.fastq	fail	pass
PD_116P_filtered_1	pass	0.0	pass	129.264466397	Sanger / Illumina 1.9	pass	737.9 Mbp	60-151	Conventional base calls	pass	warn	warn	5675273.0	pass	pass	pass	46.0	97.7486478808	PD_116P_filtered_1.fastq	fail	pass
PD_116P_filtered_2	fail	0.0	pass	144.91005208	Sanger / Illumina 1.9	pass	827.7 Mbp	60-151	Conventional base calls	pass	warn	warn	5675273.0	pass	pass	pass	47.0	97.7073711695	PD_116P_filtered_2.fastq	fail	pass
PD_117_filtered_1	pass	0.0	pass	132.062052239	Sanger / Illumina 1.9	pass	541.8 Mbp	60-151	Conventional base calls	pass	pass	warn	4078628.0	pass	warn	pass	46.0	97.5309428533	PD_117_filtered_1.fastq	fail	pass
PD_117_filtered_2	fail	0.0	pass	144.036006226	Sanger / Illumina 1.9	pass	591.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4078628.0	pass	warn	pass	47.0	97.4863559405	PD_117_filtered_2.fastq	fail	pass
PD_118_filtered_1	pass	0.0	pass	132.970727256	Sanger / Illumina 1.9	pass	549 Mbp	60-151	Conventional base calls	pass	warn	warn	4104125.0	pass	warn	pass	47.0	98.1196114676	PD_118_filtered_1.fastq	fail	pass
PD_118_filtered_2	fail	0.0	pass	145.585799653	Sanger / Illumina 1.9	pass	601.4 Mbp	60-151	Conventional base calls	pass	pass	warn	4104125.0	pass	warn	pass	48.0	98.1817803438	PD_118_filtered_2.fastq	fail	pass
PD_119P_filtered_1	pass	0.0	pass	125.896681678	Sanger / Illumina 1.9	pass	508.8 Mbp	60-151	Conventional base calls	pass	pass	warn	4018145.0	pass	pass	pass	48.0	97.9207244725	PD_119P_filtered_1.fastq	fail	pass
PD_119P_filtered_2	fail	0.0	pass	143.804216125	Sanger / Illumina 1.9	pass	581.6 Mbp	60-151	Conventional base calls	pass	pass	warn	4018145.0	pass	pass	pass	49.0	97.9857887032	PD_119P_filtered_2.fastq	fail	pass
PD_11P_filtered_1	pass	0.0	pass	126.273755991	Sanger / Illumina 1.9	pass	506.3 Mbp	60-151	Conventional base calls	pass	warn	warn	3986426.0	pass	pass	pass	48.0	97.9107197062	PD_11P_filtered_1.fastq	fail	pass
PD_11P_filtered_2	fail	0.0	pass	143.917735837	Sanger / Illumina 1.9	pass	577.5 Mbp	60-151	Conventional base calls	pass	warn	warn	3986426.0	pass	pass	pass	48.0	97.9224574878	PD_11P_filtered_2.fastq	fail	pass
PD_120S_filtered_1	pass	0.0	pass	126.193386186	Sanger / Illumina 1.9	pass	416.8 Mbp	60-151	Conventional base calls	pass	warn	warn	3283854.0	pass	pass	pass	48.0	97.8706483409	PD_120S_filtered_1.fastq	fail	pass
